MSOA11CD,Phase3_ends2034_accumulated_growth_pro_rata_3000_per_year
E02003490,565
E02003489,2432
E02003488,3537
E02003487,274
E02003486,889
E02003485,970
E02003484,508
E02003483,1066
E02003482,2393
E02003481,8164
E02003480,4022
E02003479,1903
E02003478,4057
E02003477,3143
E02003476,4604
E02003475,12284
E02003474,504
E02003473,3043
E02003472,24362
E02003471,1111
E02003470,1283
E02003469,181
E02003468,4739
E02003467,4145
E02003466,1460
E02003465,4321
E02003464,383
E02003463,1943
E02003462,2562
E02003461,402
E02003649,527
E02003258,950
E02003259,1931
E02003260,441
E02003261,340
E02003262,1066
E02003263,828
E02003264,695
E02003265,921
E02003266,784
E02003267,784
E02003268,1084
E02003269,904
E02003270,2151
E02003271,7180
E02003272,1823
E02003273,1025
E02003274,938
E02003275,8804
E02003276,2461
E02003277,374
E02003278,5750
E02003642,304
E02003644,2720
E02003645,2268
E02003646,809
E02003647,2494
E02003648,266
E02003620,901
E02003621,504
E02003622,3698
E02003623,919
E02003624,2452
E02003625,5329
E02003626,1970
E02003627,10019
E02003628,770
E02003629,6719
E02003630,7859
E02003631,1297
E02003632,1062
E02003633,7125
E02005940,2945
E02005941,4967
E02005942,4770
E02005943,1028
E02005944,1005
E02005945,24980
E02005946,3223
E02005947,51605
E02005948,12578
E02005949,12355
E02005950,7029
E02005951,1069
E02005952,26912
E02005953,1602
E02005954,12616
E02005955,10389
E02005956,3493
E02005957,1185
E02003728,599
E02003729,454
E02003730,2008
E02003731,2713
E02003719,178
E02003720,161
E02003721,1463
E02003722,438
E02003723,1131
E02003724,760
E02003725,3957
E02003726,750
E02003727,387
E02005677,7247
E02005678,1648
E02005679,850
E02005680,227
E02005650,590
E02005651,3487
E02005652,241
E02005653,946
E02005654,74
E02005655,488
E02005656,575
E02005657,668
E02005658,187
E02005659,65
E02005660,735
E02005661,157
E02005662,340
E02005663,58
E02005664,603
E02005665,226
E02005666,663
E02005667,1178
E02005668,256
E02005669,92
E02005670,2831
E02005671,638
E02005672,973
E02005673,1524
E02005674,5558
E02005675,270
E02005676,356
E02003250,3437
E02003251,1860
E02003252,659
E02003253,486
E02003255,298
E02003257,486
E02006877,1470
E02003238,173
E02003242,728
E02006878,158
E02003243,241
E02003244,76
E02003245,638
E02003246,814
E02003247,331
E02003248,605
E02003249,2540
