MSOA11CD,Phase1_ends2024_accumulated_growth_pro_rata_3000_per_year
E02003490,0
E02003489,0
E02003488,0
E02003487,0
E02003486,0
E02003485,0
E02003484,0
E02003483,0
E02003482,0
E02003481,0
E02003480,0
E02003479,0
E02003478,0
E02003477,0
E02003476,0
E02003475,0
E02003474,0
E02003473,0
E02003472,0
E02003471,0
E02003470,0
E02003469,0
E02003468,0
E02003467,0
E02003466,0
E02003465,0
E02003464,0
E02003463,0
E02003462,0
E02003461,0
E02003649,0
E02003258,0
E02003259,0
E02003260,0
E02003261,0
E02003262,0
E02003263,0
E02003264,0
E02003265,0
E02003266,0
E02003267,0
E02003268,0
E02003269,0
E02003270,0
E02003271,0
E02003272,0
E02003273,0
E02003274,0
E02003275,0
E02003276,0
E02003277,0
E02003278,0
E02003642,0
E02003644,0
E02003645,0
E02003646,0
E02003647,0
E02003648,0
E02003620,0
E02003621,0
E02003622,0
E02003623,0
E02003624,0
E02003625,0
E02003626,0
E02003627,0
E02003628,0
E02003629,0
E02003630,0
E02003631,0
E02003632,0
E02003633,0
E02005940,2404
E02005941,4055
E02005942,3894
E02005943,839
E02005944,820
E02005945,20392
E02005946,2631
E02005947,42126
E02005948,10268
E02005949,10086
E02005950,5738
E02005951,872
E02005952,21969
E02005953,1307
E02005954,10299
E02005955,8481
E02005956,2851
E02005957,967
E02003728,0
E02003729,0
E02003730,0
E02003731,0
E02003719,0
E02003720,0
E02003721,0
E02003722,0
E02003723,0
E02003724,0
E02003725,0
E02003726,0
E02003727,0
E02005677,0
E02005678,0
E02005679,0
E02005680,0
E02005650,0
E02005651,0
E02005652,0
E02005653,0
E02005654,0
E02005655,0
E02005656,0
E02005657,0
E02005658,0
E02005659,0
E02005660,0
E02005661,0
E02005662,0
E02005663,0
E02005664,0
E02005665,0
E02005666,0
E02005667,0
E02005668,0
E02005669,0
E02005670,0
E02005671,0
E02005672,0
E02005673,0
E02005674,0
E02005675,0
E02005676,0
E02003250,0
E02003251,0
E02003252,0
E02003253,0
E02003255,0
E02003257,0
E02006877,0
E02003238,0
E02003242,0
E02006878,0
E02003243,0
E02003244,0
E02003245,0
E02003246,0
E02003247,0
E02003248,0
E02003249,0
