sourcevertex,targetvertex,weight,sourcelon,sourcelat,targetlon,targetlat
CHH,ROM,300,0.12826292,51.56803,0.18227126,51.5747
CHH,GOO,120,0.12826292,51.56803,0.111823164,51.565796
ROM,GIP,120,0.18227126,51.5747,0.20621386,51.58207
ROM,CHH,300,0.18227126,51.5747,0.12826292,51.56803
GIP,HAR,180,0.20621386,51.58207,0.23464118,51.59345
GIP,ROM,120,0.20621386,51.58207,0.18227126,51.5747
MAR,FOG,120,0.005956303,51.545986,0.023626763,51.549244
MAR,STR,60,0.005956303,51.545986,-0.004089918,51.541447
LAN,IVE,120,-0.54125136,51.50774,-0.5060939,51.508595
LAN,SLO,180,-0.54125136,51.50774,-0.59134144,51.512104
SLO,LAN,180,-0.59134144,51.512104,-0.54125136,51.50774
SLO,BUR,180,-0.59134144,51.512104,-0.6471694,51.5235
BUR,SLO,180,-0.6471694,51.5235,-0.59134144,51.512104
BUR,TAP,120,-0.6471694,51.5235,-0.6811566,51.52323
TAP,BUR,120,-0.6811566,51.52323,-0.6471694,51.5235
TAP,MAI,180,-0.6811566,51.52323,-0.7228472,51.518394
IVE,WED,120,-0.5060939,51.508595,-0.4717623,51.5099
IVE,LAN,120,-0.5060939,51.508595,-0.54125136,51.50774
HE4,HE1,240,-0.44606882,51.459217,-0.45374858,51.471924
HAH,SOU,180,-0.419389,51.503048,-0.37713668,51.506157
HAH,HE1,300,-0.419389,51.503048,-0.45374858,51.471924
HAH,WED,180,-0.419389,51.503048,-0.4717623,51.5099
WED,HAH,180,-0.4717623,51.5099,-0.419389,51.503048
WED,IVE,120,-0.4717623,51.5099,-0.5060939,51.508595
SOU,HAN,180,-0.37713668,51.506157,-0.33832523,51.51179
SOU,HAH,180,-0.37713668,51.506157,-0.419389,51.503048
HAN,WEE,240,-0.33832523,51.51179,-0.32117093,51.51348
HAN,SOU,180,-0.33832523,51.51179,-0.37713668,51.506157
WEE,EAB,120,-0.32117093,51.51348,-0.30155215,51.514755
WEE,HAN,240,-0.32117093,51.51348,-0.33832523,51.51179
AML,PAD,300,-0.26763293,51.517094,-0.17776364,51.516197
AML,EAB,180,-0.26763293,51.517094,-0.30155215,51.514755
HE1,HAH,300,-0.45374858,51.471924,-0.419389,51.503048
HE1,HE4,240,-0.45374858,51.471924,-0.44606882,51.459217
EAB,AML,180,-0.30155215,51.514755,-0.26763293,51.517094
EAB,WEE,120,-0.30155215,51.514755,-0.32117093,51.51348
MAI,TAP,180,-0.7228472,51.518394,-0.6811566,51.52323
MAI,TWY,420,-0.7228472,51.518394,-0.863148,51.475456
FOG,MAP,120,0.023626763,51.549244,0.045351613,51.552208
FOG,MAR,120,0.023626763,51.549244,0.005956303,51.545986
MAP,ILF,120,0.045351613,51.552208,0.06888167,51.559025
MAP,FOG,120,0.045351613,51.552208,0.023626763,51.549244
ILF,SEK,120,0.06888167,51.559025,0.096060686,51.563957
ILF,MAP,120,0.06888167,51.559025,0.045351613,51.552208
SEK,GOO,120,0.096060686,51.563957,0.111823164,51.565796
SEK,ILF,120,0.096060686,51.563957,0.06888167,51.559025
GOO,CHH,120,0.111823164,51.565796,0.12826292,51.56803
GOO,SEK,120,0.111823164,51.565796,0.096060686,51.563957
TWY,MAI,420,-0.863148,51.475456,-0.7228472,51.518394
TWY,RDG,300,-0.863148,51.475456,-0.972897,51.459175
RDG,TWY,300,-0.972897,51.459175,-0.863148,51.475456
STR,MAR,60,-0.004089918,51.541447,0.005956303,51.545986
STR,WHI,300,-0.004089918,51.541447,-0.059450965,51.520245
HAR,BRE,240,0.23464118,51.59345,0.30082393,51.613564
HAR,GIP,180,0.23464118,51.59345,0.20621386,51.58207
BRE,SHE,240,0.30082393,51.613564,0.32978407,51.630592
BRE,HAR,240,0.30082393,51.613564,0.23464118,51.59345
SHE,BRE,240,0.32978407,51.630592,0.30082393,51.613564
WHI,STR,300,-0.059450965,51.520245,-0.004089918,51.541447
WHI,CWC,180,-0.059450965,51.520245,-0.017226376,51.506115
WHI,LIS,120,-0.059450965,51.520245,-0.086704254,51.517696
CWC,CUH,180,-0.017226376,51.506115,0.028561672,51.50984
CWC,WHI,180,-0.017226376,51.506115,-0.059450965,51.520245
CUH,WOO,240,0.028561672,51.50984,0.07210705,51.491676
CUH,CWC,180,0.028561672,51.50984,-0.017226376,51.506115
WOO,ABW,240,0.07210705,51.491676,0.12053241,51.491085
WOO,CUH,240,0.07210705,51.491676,0.028561672,51.50984
ABW,WOO,240,0.12053241,51.491085,0.07210705,51.491676
PAD,BOS,180,-0.17776364,51.516197,-0.14633717,51.51361
PAD,AML,300,-0.17776364,51.516197,-0.26763293,51.517094
BOS,TCR,60,-0.14633717,51.51361,-0.13283238,51.51534
BOS,PAD,180,-0.14633717,51.51361,-0.17776364,51.516197
TCR,FAR,180,-0.13283238,51.51534,-0.10230238,51.519924
TCR,BOS,60,-0.13283238,51.51534,-0.14633717,51.51361
FAR,LIS,120,-0.10230238,51.519924,-0.086704254,51.517696
FAR,TCR,180,-0.10230238,51.519924,-0.13283238,51.51534
LIS,WHI,120,-0.086704254,51.517696,-0.059450965,51.520245
LIS,FAR,120,-0.086704254,51.517696,-0.10230238,51.519924
