sourcevertex,targetvertex,weight,sourcelon,sourcelat,targetlon,targetlat
9100OXFD,9100OXFPWAY,330,-1.27015,51.7535,-1.27448,51.80408
9100OXFPWAY,9100BCSTRTN,570,-1.27448,51.80408,-1.14876,51.89303
9100OXFPWAY,9100OXFD,330,-1.27448,51.80408,-1.27015,51.7535
9100BCSTRTN,9100OXFPWAY,570,-1.14876,51.89303,-1.27448,51.80408
9100BCSTRTN,XWINSLOW,428,-1.14876,51.89303,-0.886298,51.94893
XWINSLOW,9100BLTCHLY,248,-0.886298,51.94893,-0.73632,51.99534
XWINSLOW,9100BCSTRTN,428,-0.886298,51.94893,-1.14876,51.89303
XWINSLOW,9100AYLSPWY,293,-0.886298,51.94893,-0.86018,51.83117
9100BLTCHLY,9100WOBURNS,135,-0.73632,51.99534,-0.65408,52.01816
9100BLTCHLY,XWINSLOW,248,-0.73632,51.99534,-0.886298,51.94893
9100BLTCHLY,9100MKNSCEN,240,-0.73632,51.99534,-0.77414,52.0343
9100WOBURNS,9100RIDGMNT,90,-0.65408,52.01816,-0.59455,52.02641
9100WOBURNS,9100BLTCHLY,135,-0.65408,52.01816,-0.73632,51.99534
9100RIDGMNT,9100BEDFDM,338,-0.59455,52.02641,-0.47944,52.1362
9100RIDGMNT,9100WOBURNS,90,-0.59455,52.02641,-0.65408,52.01816
9100BEDFDM,9100RIDGMNT,338,-0.47944,52.1362,-0.59455,52.02641
9100BEDFDM,9100SNDY,1320,-0.47944,52.1362,-0.28119,52.12475
9100AYLSBRY,9100AYLSPWY,90,-0.81509,51.8139,-0.86018,51.83117
9100AYLSPWY,XWINSLOW,293,-0.86018,51.83117,-0.886298,51.94893
9100AYLSPWY,9100AYLSBRY,90,-0.86018,51.83117,-0.81509,51.8139
9100MKNSCEN,9100BLTCHLY,240,-0.77414,52.0343,-0.73632,51.99534
9100SNDY,XCAMBOURNE,1320,-0.28119,52.12475,-0.08761,52.215176
9100SNDY,9100BEDFDM,1320,-0.28119,52.12475,-0.47944,52.1362
XCAMBOURNE,9100CAMBDGE,1320,-0.08761,52.215176,0.13746,52.19408
XCAMBOURNE,9100SNDY,1320,-0.08761,52.215176,-0.28119,52.12475
9100CAMBDGE,XCAMBOURNE,1320,0.13746,52.19408,-0.08761,52.215176
