zonecode,zonenumber,centroidlat,centroidlon,Oi,Dj
E02006369,6230,51.245636,-0.2745712,1491,-1
E02006371,6232,51.22779,-0.32387877,4196,-1
E02006372,6233,51.202972,-0.32082492,396,-1
E02006373,6234,51.177933,-0.3702661,1369,-1
E02006374,6235,51.174557,-0.26002875,2954,-1
E02006382,6243,51.26008,-0.13881779,763,-1
E02006383,6244,51.253914,-0.18889935,3466,-1
E02006384,6245,51.244865,-0.17409797,7344,-1
E02006385,6246,51.24289,-0.1561593,6189,-1
E02006386,6247,51.23437,-0.19403364,8671,-1
E02006387,6248,51.22629,-0.20215411,1713,-1
E02006388,6249,51.21845,-0.16375305,5388,-1
E02006389,6250,51.199448,-0.19281477,3630,-1
E02006390,6251,51.181366,-0.17632444,409,-1
E02006391,6252,51.17536,-0.1442475,1052,-1
E02006392,6253,51.1699,-0.16200931,4273,-1
E02006435,6295,51.230587,-0.10717293,2324,-1
E02006436,6296,51.221615,-0.055094004,2020,-1
E02006437,6297,51.174953,0.00664691,2938,-1
E02006438,6298,51.169285,-0.08696809,3246,-1
E02006575,6433,51.1468,-0.19315901,26963,-1
E02006576,6434,51.14122,-0.14718458,2257,-1
E02006577,6435,51.12177,-0.20280923,2110,-1
E02006578,6436,51.12889,-0.17471138,38596,-1
E02006579,6437,51.123543,-0.15942919,5099,-1
E02006580,6438,51.1138,-0.21488549,857,-1
E02006581,6439,51.110134,-0.19455998,4399,-1
E02006582,6440,51.109234,-0.14625765,692,-1
E02006583,6441,51.103306,-0.16476028,719,-1
E02006584,6442,51.104904,-0.22436735,253,-1
E02006585,6443,51.09702,-0.18239747,1611,-1
E02006586,6444,51.099754,-0.21076511,194,-1
E02006587,6445,51.093906,-0.20060429,1327,-1
E02006588,6446,51.0991,-0.25803378,2202,-1
E02006589,6447,51.09293,-0.30921817,3385,-1
E02006590,6448,51.096836,-0.35327777,2332,-1
E02006591,6449,51.070267,-0.30637473,3137,-1
E02006593,6451,51.066437,-0.32643893,10895,-1
E02006594,6452,51.06338,-0.3525206,534,-1
E02006595,6453,51.03595,-0.29294968,2129,-1
E02006604,6462,51.13166,-0.0112454705,6621,-1
E02006605,6463,51.10967,-0.11768876,1767,-1
E02006606,6464,51.12211,0.015590297,888,-1
E02006607,6465,51.114075,-0.030127391,2972,-1
E02006608,6466,51.122776,-0.074870795,914,-1
E02006609,6467,51.04455,-0.055193823,2317,-1
E02006610,6468,51.043114,-0.171341,2210,-1
