sourcevertex,targetvertex,weight,sourcelon,sourcelat,targetlon,targetlat
9100EUSTON,XOOC,250,-0.13328972,51.528595,-0.24672,51.52487
9100EUSTON,9100YORK,5880,-0.13328972,51.528595,-1.09318,53.95798
9100EUSTON,9100LEEDS,6780,-0.13328972,51.528595,-1.54802,53.79564
XOOC,XBHI,1860,-0.24672,51.52487,-1.70709,52.45243
XOOC,9100EUSTON,250,-0.24672,51.52487,-0.13328972,51.528595
XBHI,9100BHAMMRS,540,-1.70709,52.45243,-1.89247,52.47909
XBHI,XOOC,1860,-1.70709,52.45243,-0.24672,51.52487
XBHI,HSMMAP,1740,-1.70709,52.45243,-2.2941,53.3708
XBHI,HSM09F,1140,-1.70709,52.45243,-2.43298,53.08964
XBHI,9100EMPKWAY,1020,-1.70709,52.45243,-1.26324,52.86252
9100BHAMMRS,XBHI,540,-1.89247,52.47909,-1.70709,52.45243
9100BHAMMRS,HSMMAP,1920,-1.89247,52.47909,-2.2941,53.3708
9100BHAMMRS,9100EMPKWAY,1200,-1.89247,52.47909,-1.26324,52.86252
9100LEEDS,HSM26MP,1980,-1.54802,53.79564,-2.23091,53.47737
9100LEEDS,9100YORK,1140,-1.54802,53.79564,-1.09318,53.95798
9100LEEDS,9100BRADIN,720,-1.54802,53.79564,-1.7496,53.79109
9100LEEDS,9100EUSTON,6780,-1.54802,53.79564,-0.13328972,51.528595
HSM09F,XBHI,1140,-2.43298,53.08964,-1.70709,52.45243
HSM26MP,HSMMAP,360,-2.23091,53.47737,-2.2941,53.3708
HSM26MP,9100LEEDS,1980,-2.23091,53.47737,-1.54802,53.79564
HSM26MP,HSMMAP,540,-2.23091,53.47737,-2.2941,53.3708
HSMMAP,HSM26MP,360,-2.2941,53.3708,-2.23091,53.47737
HSMMAP,XBHI,1740,-2.2941,53.3708,-1.70709,52.45243
HSMMAP,9100BHAMMRS,1920,-2.2941,53.3708,-1.89247,52.47909
HSMMAP,HSM26MP,540,-2.2941,53.3708,-2.23091,53.47737
HSMMAP,9100WRGTNBQ,960,-2.2941,53.3708,-2.60236,53.38603
9100SHEFFLD,9100DRBY,1920,-1.4621,53.37824,-1.46335,52.91657
9100NTNG,9100EMPKWAY,360,-1.14638,52.94709,-1.26324,52.86252
9100DRBY,9100SHEFFLD,1920,-1.46335,52.91657,-1.4621,53.37824
9100DRBY,9100EMPKWAY,600,-1.46335,52.91657,-1.26324,52.86252
9100LVRPLSH,9100WRGTNBQ,600,-2.97773,53.40732,-2.60236,53.38603
9100YORK,9100LEEDS,1140,-1.09318,53.95798,-1.54802,53.79564
9100YORK,9100DLTN,1560,-1.09318,53.95798,-1.54733,54.52045
9100YORK,9100EUSTON,5880,-1.09318,53.95798,-0.13328972,51.528595
9100DLTN,9100NWCSTLE,1860,-1.54733,54.52045,-1.61728,54.9684
9100DLTN,9100YORK,1560,-1.54733,54.52045,-1.09318,53.95798
9100NWCSTLE,9100DLTN,1860,-1.61728,54.9684,-1.54733,54.52045
9100BRADIN,9100LEEDS,720,-1.7496,53.79109,-1.54802,53.79564
9100EMPKWAY,9100NTNG,360,-1.26324,52.86252,-1.14638,52.94709
9100EMPKWAY,9100DRBY,600,-1.26324,52.86252,-1.46335,52.91657
9100EMPKWAY,9100BHAMMRS,1200,-1.26324,52.86252,-1.89247,52.47909
9100EMPKWAY,XBHI,1020,-1.26324,52.86252,-1.70709,52.45243
9100WRGTNBQ,HSMMAP,960,-2.60236,53.38603,-2.2941,53.3708
9100WRGTNBQ,9100LVRPLSH,600,-2.60236,53.38603,-2.97773,53.40732
