sourcevertex,targetvertex,weight,sourcelon,sourcelat,targetlon,targetlat
9100EUSTON,XOOC,219,-0.13328972,51.528595,-0.24672,51.52487
XOOC,XBHI,2506,-0.24672,51.52487,-1.70709,52.45243
XOOC,9100EUSTON,219,-0.24672,51.52487,-0.13328972,51.528595
XBHI,9100BHAMMRS,335,-1.70709,52.45243,-1.89247,52.47909
XBHI,XOOC,2506,-1.70709,52.45243,-0.24672,51.52487
XBHI,HSL01A,302,-1.70709,52.45243,-1.715845,52.546665
XBHI,HSM03A,386,-1.70709,52.45243,-1.80472,52.72002
9100BHAMMRS,XBHI,335,-1.89247,52.47909,-1.70709,52.45243
9100BHAMMRS,HSL01A,302,-1.89247,52.47909,-1.715845,52.546665
9100BHAMMRS,HSM03A,386,-1.89247,52.47909,-1.80472,52.72002
HSL01A,HSL06B,84,-1.715845,52.546665,-1.64216,52.60474
HSL01A,9100BHAMMRS,302,-1.715845,52.546665,-1.89247,52.47909
HSL01A,XBHI,302,-1.715845,52.546665,-1.70709,52.45243
HSL06B,HSL09G,254,-1.64216,52.60474,-1.37351,52.80411
HSL06B,HSL01A,84,-1.64216,52.60474,-1.715845,52.546665
HSL09G,HSL12H,150,-1.37351,52.80411,-1.26846,52.90068
HSL09G,HSL06B,254,-1.37351,52.80411,-1.64216,52.60474
HSL12H,HSL13J,54,-1.26846,52.90068,-1.28282,52.93624
HSL12H,HSL09G,150,-1.26846,52.90068,-1.37351,52.80411
HSL13J,HSL14F,430,-1.28282,52.93624,-1.33266,53.3122
HSL13J,HSL12H,54,-1.28282,52.93624,-1.26846,52.90068
HSL14F,HSL15K,124,-1.33266,53.3122,-1.39822,53.40943
HSL14F,HSL13J,430,-1.33266,53.3122,-1.28282,52.93624
HSL15K,HSL16L,47,-1.39822,53.40943,-1.42862,53.43372
HSL15K,HSL14F,124,-1.39822,53.40943,-1.33266,53.3122
HSL16L,HSL17M,231,-1.42862,53.43372,-1.43926,53.63245
HSL16L,HSL15K,47,-1.42862,53.43372,-1.39822,53.40943
HSL17M,HSL22Q,124,-1.43926,53.63245,-1.44289,53.7568
HSL17M,HSL17V,442,-1.43926,53.63245,-1.22759,53.82661
HSL17M,HSL16L,231,-1.43926,53.63245,-1.42862,53.43372
HSL22Q,HSL31R,117,-1.44289,53.7568,-1.54148,53.78564
HSL22Q,HSL17M,124,-1.44289,53.7568,-1.43926,53.63245
HSL17V,HSL17M,442,-1.22759,53.82661,-1.43926,53.63245
HSL31R,HSL31T,32,-1.54148,53.78564,-1.54802,53.79564
HSL31R,HSL22Q,117,-1.54148,53.78564,-1.44289,53.7568
HSL31T,HSL31R,32,-1.54802,53.79564,-1.54148,53.78564
HSM03A,HSM06C,340,-1.80472,52.72002,-2.22915,52.9287
HSM03A,9100BHAMMRS,386,-1.80472,52.72002,-1.89247,52.47909
HSM03A,XBHI,386,-1.80472,52.72002,-1.70709,52.45243
HSM06C,HSM08D,95,-2.22915,52.9287,-2.3475,52.9916
HSM06C,HSM03A,340,-2.22915,52.9287,-1.80472,52.72002
HSM08D,HSM09E,65,-2.3475,52.9916,-2.4074,53.04424
HSM08D,HSM06C,95,-2.3475,52.9916,-2.22915,52.9287
HSM09E,HSM09F,53,-2.4074,53.04424,-2.43298,53.08964
HSM09E,HSM12H,288,-2.4074,53.04424,-2.43565,53.32284
HSM09E,HSM08D,65,-2.4074,53.04424,-2.3475,52.9916
HSM09F,HSM09E,53,-2.43298,53.08964,-2.4074,53.04424
HSM12H,HSM21Q,208,-2.43565,53.32284,-2.44049,53.39784
HSM12H,HSM28BZ,171,-2.43565,53.32284,-2.36608,53.35661
HSM12H,HSM09E,288,-2.43565,53.32284,-2.4074,53.04424
HSM21Q,HSM22R,127,-2.44049,53.39784,-2.55613,53.47264
HSM21Q,HSM12H,208,-2.44049,53.39784,-2.43565,53.32284
HSM21Q,HSM28BZ,134,-2.44049,53.39784,-2.36608,53.35661
HSM22R,HSM22AA,93,-2.55613,53.47264,-2.60432,53.5098
HSM22R,HSM21Q,127,-2.55613,53.47264,-2.44049,53.39784
HSM22AA,HSM22R,93,-2.60432,53.5098,-2.55613,53.47264
HSM28BZ,HSM28BY,254,-2.36608,53.35661,-2.21432,53.47157
HSM28BZ,HSM21Q,134,-2.36608,53.35661,-2.44049,53.39784
HSM28BZ,HSM12H,171,-2.36608,53.35661,-2.43565,53.32284
HSM28BY,HSM26MP,59,-2.21432,53.47157,-2.23091,53.47737
HSM28BY,HSM28BZ,254,-2.21432,53.47157,-2.36608,53.35661
HSM26MP,HSM28BY,59,-2.23091,53.47737,-2.21432,53.47157
