sourcevertex,targetvertex,weight,sourcelon,sourcelat,targetlon,targetlat
326235_184190,327238_184612,20.39974,-3.065283,51.551754,-3.0508962,51.555687
326235_184190,326000_184135,4.4992247,-3.065283,51.551754,-3.0686603,51.551228
327238_184612,326235_184190,20.39974,-3.0508962,51.555687,-3.065283,51.551754
327238_184612,327848_185115,14.761356,-3.0508962,51.555687,-3.0422106,51.560284
325065_184022,324299_183911,14.475402,-3.0821187,51.550087,-3.09314,51.54899
325065_184022,325442_184052,7.0517554,-3.0821187,51.550087,-3.076689,51.550407
324299_183911,325065_184022,14.475402,-3.09314,51.54899,-3.0821187,51.550087
324299_183911,322806_183149,31.436226,-3.09314,51.54899,-3.1145,51.541935
324298_183926,325461_184068,21.894947,-3.0931575,51.54912,-3.0764184,51.550556
324298_183926,322803_183162,31.477982,-3.0931575,51.54912,-3.114546,51.542053
325461_184068,324298_183926,21.894947,-3.0764184,51.550556,-3.0931575,51.54912
325461_184068,326227_184205,14.517344,-3.0764184,51.550556,-3.0654016,51.551888
325461_184068,326218_184221,14.752595,-3.0764184,51.550556,-3.0655348,51.55203
325461_184068,325442_184052,0.46360508,-3.0764184,51.550556,-3.076689,51.550407
326489_184282,327228_184628,15.265413,-3.0616398,51.552612,-3.0510492,51.555824
326489_184282,326218_184221,5.179067,-3.0616398,51.552612,-3.0655348,51.55203
326489_184282,326227_184205,5.090894,-3.0616398,51.552612,-3.0654016,51.551888
327228_184628,326489_184282,15.265413,-3.0510492,51.555824,-3.0616398,51.552612
327228_184628,327834_185128,14.690707,-3.0510492,51.555824,-3.0424063,51.560394
311808_180929,312828_181466,21.932043,-3.2724802,51.520374,-3.2579188,51.525352
311808_180929,311157_180484,14.862578,-3.2724802,51.520374,-3.2817574,51.516266
312828_181466,311808_180929,21.932043,-3.2579188,51.525352,-3.2724802,51.520374
312828_181466,313380_181519,10.334832,-3.2579188,51.525352,-3.2499814,51.52592
313380_181519,312828_181466,10.334832,-3.2499814,51.52592,-3.2579188,51.525352
313380_181519,313706_181549,6.101244,-3.2499814,51.52592,-3.245294,51.526234
313380_181519,313678_181630,6.3801155,-3.2499814,51.52592,-3.2457173,51.526955
317193_183670,316418_183367,15.648302,-3.1955416,51.545822,-3.2066393,51.542984
317193_183670,317568_183719,7.0552974,-3.1955416,51.545822,-3.1901448,51.546326
316418_183367,317193_183670,15.648302,-3.2066393,51.542984,-3.1955416,51.545822
316418_183367,315497_182403,25.106815,-3.2066393,51.542984,-3.219689,51.53418
325248_183860,324838_183505,10.113563,-3.0794454,51.548656,-3.0852811,51.54541
325248_183860,325442_184052,5.0910807,-3.0794454,51.548656,-3.076689,51.550407
324838_183505,325248_183860,10.113563,-3.0852811,51.54541,-3.0794454,51.548656
324838_183505,324400_183008,12.358141,-3.0852811,51.54541,-3.0914893,51.540882
328146_185542,328175_185554,0.58495885,-3.038003,51.564156,-3.0375872,51.564266
328146_185542,328298_185831,6.091737,-3.038003,51.564156,-3.0358696,51.566772
328146_185542,327900_185203,7.8167877,-3.038003,51.564156,-3.0414817,51.561077
328146_185542,327900_185203,8.010097,-3.038003,51.564156,-3.0414817,51.561077
328175_185554,328146_185542,0.58495885,-3.0375872,51.564266,-3.038003,51.564156
328175_185554,328312_185659,3.2554882,-3.0375872,51.564266,-3.0356326,51.565228
328175_185554,328017_185318,5.295947,-3.0375872,51.564266,-3.0398178,51.562122
328175_185554,328306_185807,5.3134694,-3.0375872,51.564266,-3.0357494,51.56656
315983_119803,316391_119943,8.052785,-3.197965,50.97149,-3.1921875,50.972805
315983_119803,316427_119899,8.537827,-3.197965,50.97149,-3.191665,50.972416
315983_119803,315216_119314,16.99643,-3.197965,50.97149,-3.208772,50.96698
316391_119943,315983_119803,8.052785,-3.1921875,50.972805,-3.197965,50.97149
316391_119943,316505_119970,2.184182,-3.1921875,50.972805,-3.1905706,50.973064
316000_119831,316387_119962,7.6214285,-3.1977293,50.971745,-3.1922488,50.972977
316000_119831,316383_120001,7.857239,-3.1977293,50.971745,-3.1923091,50.973328
316000_119831,315208_119328,17.533293,-3.1977293,50.971745,-3.208889,50.967106
316387_119962,316000_119831,7.6214285,-3.1922488,50.972977,-3.1977293,50.971745
316387_119962,316501_119987,2.1765392,-3.1922488,50.972977,-3.1906314,50.973217
316427_119899,315983_119803,8.537827,-3.191665,50.972416,-3.197965,50.97149
316383_120001,316000_119831,7.857239,-3.1923091,50.973328,-3.1977293,50.971745
316498_119919,316819_120012,6.2936206,-3.1906586,50.972607,-3.1861088,50.973488
316819_120012,316498_119919,6.2936206,-3.1861088,50.973488,-3.1906586,50.972607
316819_120012,317647_120022,15.438776,-3.1861088,50.973488,-3.1743207,50.973698
316819_120012,316505_119970,5.9112906,-3.1861088,50.973488,-3.1905706,50.973064
320213_183572,321494_183208,24.84006,-3.1519752,51.54538,-3.1334276,51.542286
320213_183572,319261_183712,17.936129,-3.1519752,51.54538,-3.1657214,51.54651
321494_183208,320213_183572,24.84006,-3.1334276,51.542286,-3.1519752,51.54538
321494_183208,321774_183128,5.4309087,-3.1334276,51.542286,-3.1293733,51.541603
321494_183208,321767_183064,5.784904,-3.1334276,51.542286,-3.1294599,51.541027
279692_185789,279504_186072,6.357373,-3.7368379,51.55811,-3.7396455,51.560616
279692_185789,279571_186073,5.7612295,-3.7368379,51.55811,-3.738677,51.560642
279692_185789,280260_183337,47.03103,-3.7368379,51.55811,-3.7278132,51.536194
279504_186072,279692_185789,6.357373,-3.7396455,51.560616,-3.7368379,51.55811
279571_186073,279692_185789,5.7612295,-3.738677,51.560642,-3.7368379,51.55811
279571_186073,279491_186247,3.5647445,-3.738677,51.560642,-3.739893,51.562183
279584_186080,279700_185818,5.3416176,-3.738489,51.560703,-3.7367325,51.558372
279584_186080,279503_186252,3.5442393,-3.738489,51.560703,-3.7397215,51.562233
279700_185818,279584_186080,5.3416176,-3.7367325,51.558372,-3.738489,51.560703
279700_185818,279627_186124,5.8993607,-3.7367325,51.558372,-3.7378898,51.561108
279700_185818,280274_183358,47.210728,-3.7367325,51.558372,-3.7276185,51.536385
279491_186247,279571_186073,3.5647445,-3.739893,51.562183,-3.738677,51.560642
279491_186247,278833_187464,25.856934,-3.739893,51.562183,-3.7498007,51.57298
279491_186247,278833_187464,25.856934,-3.739893,51.562183,-3.7498007,51.57298
279503_186252,279584_186080,3.5442393,-3.7397215,51.562233,-3.738489,51.560703
279503_186252,279375_186507,5.3188753,-3.7397215,51.562233,-3.7416549,51.564495
308457_116162,307135_115760,25.794485,-3.304203,50.937614,-3.322913,50.933784
308457_116162,308978_116343,10.301465,-3.304203,50.937614,-3.2968268,50.93932
307135_115760,308457_116162,25.794485,-3.322913,50.933784,-3.304203,50.937614
307135_115760,305695_114923,31.148407,-3.322913,50.933784,-3.343177,50.926025
308479_116187,307135_115781,26.19732,-3.3038895,50.937843,-3.322905,50.933975
308479_116187,308958_116354,9.455343,-3.3038895,50.937843,-3.2971241,50.939415
307135_115781,308479_116187,26.19732,-3.322905,50.933975,-3.3038895,50.937843
307135_115781,305684_114936,31.410688,-3.322905,50.933975,-3.3433304,50.926144
297048_94281,296948_93882,7.6594567,-3.460371,50.73898,-3.461669,50.735382
297048_94281,297322_95152,17.045828,-3.460371,50.73898,-3.4567323,50.74686
296948_93882,297048_94281,7.6594567,-3.461669,50.735382,-3.460371,50.73898
296948_93882,296911_93608,5.1678824,-3.461669,50.735382,-3.4621234,50.732906
296911_93608,296948_93882,5.1678824,-3.4621234,50.732906,-3.461669,50.735382
296911_93608,296891_93175,8.071612,-3.4621234,50.732906,-3.4622858,50.72902
296911_93608,296916_93237,6.9091506,-3.4621234,50.732906,-3.461935,50.729576
291405_182728,291144_182723,4.873725,-3.5669932,51.53298,-3.5707526,51.532887
291405_182728,291026_182772,7.1257606,-3.5669932,51.53298,-3.5724792,51.5333
291405_182728,292058_182791,12.254311,-3.5669932,51.53298,-3.5576127,51.53367
291144_182723,291405_182728,4.873725,-3.5707526,51.532887,-3.5669932,51.53298
291144_182723,291098_182657,1.6029513,-3.5707526,51.532887,-3.571406,51.53228
291144_182723,291092_182707,1.0392433,-3.5707526,51.532887,-3.5715022,51.532734
293090_182619,294216_181943,25.291922,-3.5426764,51.532326,-3.5262573,51.526455
293090_182619,292055_182811,19.763332,-3.5426764,51.532326,-3.557662,51.533848
294216_181943,293090_182619,25.291922,-3.5262573,51.526455,-3.5426764,51.532326
294216_181943,295682_180729,36.30268,-3.5262573,51.526455,-3.5047731,51.515816
292055_182811,293090_182619,19.763332,-3.557662,51.533848,-3.5426764,51.532326
292055_182811,291333_182756,13.561427,-3.557662,51.533848,-3.56805,51.533215
323331_122057,322292_121248,24.56529,-3.093797,50.992786,-3.1084347,50.985367
323331_122057,324041_122609,16.742165,-3.093797,50.992786,-3.0838113,50.997837
322292_121248,323331_122057,24.56529,-3.1084347,50.985367,-3.093797,50.992786
322292_121248,321037_120560,26.956388,-3.1084347,50.985367,-3.1261644,50.97901
321037_120560,322292_121248,26.956388,-3.1261644,50.97901,-3.1084347,50.985367
321037_120560,320221_120455,15.350976,-3.1261644,50.97901,-3.1377625,50.977955
321039_120579,322282_121263,26.717222,-3.12614,50.979183,-3.10858,50.9855
321039_120579,320224_120474,15.332894,-3.12614,50.979183,-3.137724,50.978127
322282_121263,321039_120579,26.717222,-3.10858,50.9855,-3.12614,50.979183
322282_121263,323326_122075,24.650852,-3.10858,50.9855,-3.0938854,50.992943
323326_122075,322282_121263,24.650852,-3.0938854,50.992943,-3.10858,50.9855
323326_122075,324028_122621,16.578308,-3.0938854,50.992943,-3.0839992,50.997944
283252_180999,284069_180930,15.282003,-3.6839097,51.515816,-3.6721275,51.515358
283252_180999,282643_181028,11.4126625,-3.6839097,51.515816,-3.6926932,51.515953
283252_180999,282658_181067,11.157279,-3.6839097,51.515816,-3.6924982,51.516304
284069_180930,283252_180999,15.282003,-3.6721275,51.515358,-3.6839097,51.515816
284069_180930,284084_180930,0.27961704,-3.6721275,51.515358,-3.6719115,51.51536
284055_180948,283246_181021,15.139026,-3.6723351,51.515514,-3.6840024,51.51601
284055_180948,284070_180948,0.27961704,-3.6723351,51.515514,-3.672119,51.51552
283246_181021,284055_180948,15.139026,-3.6840024,51.51601,-3.6723351,51.515514
283246_181021,282646_181140,11.509597,-3.6840024,51.51601,-3.692687,51.516953
283246_181021,282659_181087,11.016166,-3.6840024,51.51601,-3.692484,51.51648
324041_122609,323331_122057,16.742165,-3.0838113,50.997837,-3.093797,50.992786
324041_122609,324446_122943,9.790325,-3.0838113,50.997837,-3.0781107,51.000893
328461_186261,328412_185942,6.0218325,-3.033606,51.57066,-3.0342479,51.567783
328461_186261,328363_185948,6.1185803,-3.033606,51.57066,-3.034956,51.567833
328461_186261,328580_186961,13.252357,-3.033606,51.57066,-3.032032,51.576965
328412_185942,328461_186261,6.0218325,-3.0342479,51.567783,-3.033606,51.57066
328412_185942,328402_185826,2.2035687,-3.0342479,51.567783,-3.0343685,51.566742
328412_185942,328522_185840,4.289698,-3.0342479,51.567783,-3.0326405,51.566883
328017_185318,328275_185557,6.5792027,-3.0398178,51.562122,-3.0361454,51.564304
328017_185318,328175_185554,5.295947,-3.0398178,51.562122,-3.0375872,51.564266
328017_185318,327848_185115,4.9145494,-3.0398178,51.562122,-3.0422106,51.560284
