idx,score,depth,combs,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-937.3959,20,1.3041175687858084E+64,0,0,1617247,0,0,311.0977,0,0,9489986,-10160.106443301445,-2849.9582318852713,13010.06467643563,-181438.32961382775,-34208.76856532157,695225.6952803655,193.55571,232.75212,   3397,3391,   31,945,   398,6199,   1003,2665,   2941,4018,   3139,3154,   3804,1130,   2332,2530,   1648,1697,   8139,8423,   
1,-371.09482,20,9.259001674301748E+60,0,0,623275,0,0,276.09058,0,0,5524844,-3738.051362622459,-1467.5959550721643,5205.6473133895715,-69205.49066000042,-24870.4553864411,311217.41712699074,186.49005,173.47156,   3005,3027,   5439,5439,   7188,7029,   7701,7575,   1424,1548,   3845,3800,   6056,6027,   3793,3731,   3008,6063,   5713,5745,   
2,-778.77997,20,1.0147504112631044E+61,0,0,4223806,0,0,201.02322,0,0,5211716,-5600.792398737917,-2087.047761035447,7687.840155444671,-93495.53034808909,-27836.672276649908,362647.89116932073,120.05385,271.54767,   1286,978,   4327,4298,   7059,7164,   3664,3282,   7851,8190,   5821,5849,   943,758,   5320,5322,   4529,1271,   8166,8168,   
3,-308.63312,20,2.5785674592892856E+62,0,0,375850,0,0,373.7975,0,0,815493.56,-2778.772325153239,-886.4355397316081,3665.2078656811714,-54503.27660541824,-11423.07166265463,144695.30084361247,176.59569,224.72232,   460,4979,   5187,1595,   7628,7545,   4591,4695,   4871,4882,   4218,4219,   6472,3529,   6939,6943,   5797,5559,   306,22,   
4,-163.36832,20,1.774242492876491E+60,0,0,258143,0,0,382.8571,0,0,875937.4,-1746.3658687698496,-710.1307537190777,2456.496625318247,-28278.639776160093,-12003.681984137145,81659.83596832768,173.09746,283.64395,   6908,6930,   1923,2121,   8361,8126,   1165,1165,   987,1066,   6425,4596,   7710,8377,   6175,5417,   3760,5363,   3236,6502,   
5,-1000.48785,20,5.513123016670121E+60,0,0,1382905,0,0,272.89822,0,0,4896809.5,-7154.207040216414,-1886.4149744202086,9040.622020674005,-137483.53240442098,-26710.296210258348,517633.2674907599,137.41649,268.337,   2404,2514,   4161,4167,   1776,1843,   395,4867,   6977,6951,   4347,4289,   793,6239,   8224,8224,   6178,5421,   5705,1668,   
6,-313.03284,20,1.1418011611754283E+63,0,0,560167,0,0,252.8884,0,0,2738794,-2901.418564120063,-1140.2667674813215,4041.685341527477,-45504.52943695371,-14808.4723991237,143141.8336139769,145.36664,282.46573,   8302,7902,   4944,4914,   1824,1813,   3369,6277,   3764,3766,   7169,7163,   8209,7831,   6223,158,   2942,2940,   2088,2206,   
7,-409.43286,20,7.89177951670325E+61,0,0,679280,0,0,385.998,0,0,3865974,-3847.928788494848,-1459.504745368387,5307.433533112049,-71005.64120458197,-23216.16239359469,332490.5224920915,173.42438,252.67046,   5017,3344,   2033,6333,   6173,5479,   1114,5163,   7664,7731,   3878,1343,   1427,1014,   6162,6153,   1223,1232,   6212,6420,   
8,-1051.1702,20,4.275568798577834E+59,0,0,8419087,0,0,452.11853,0,0,73303904,-12805.76539023119,-4802.856089410127,17608.621478033197,-224490.3119515463,-62812.17080507285,1542432.6024074738,213.56229,326.38034,   8244,7497,   4110,3177,   4093,4117,   1744,4038,   1749,5693,   7285,7288,   7669,7468,   5633,5650,   1982,6085,   5049,4973,   
9,-220.58447,20,2.0134791336929658E+58,0,0,879870,0,0,317.697,0,0,9319433,-2151.3238290726295,-1014.3470454508453,3165.6708723298784,-40275.0956740983,-14609.350348824233,148393.9398516739,182.58354,259.63757,   1195,3970,   8227,8243,   1440,1512,   5673,5677,   4988,6438,   7952,7933,   4545,3239,   5375,5330,   6051,3002,   2504,1617,   
