idx,score,depth,combs,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-570.5462,20,4.347401147887824E+29,0,0,1100077,0,0,278.921,0,0,4177341.8,-5548.807160235624,-1436.7766230288628,6985.58378187086,-99604.19937297502,-14525.83410701163,336051.87832940015,174.57692,24.787668,   5159,5097,   5097,953,   953,1073,   1073,1321,   1321,5167,   5167,1041,   1041,1304,   1304,2669,   2669,1060,   1060,1383,   
1,-266.33527,20,2.998372588794439E+27,0,0,756409,0,0,128.92276,0,0,848478.25,-1435.6386122711735,-684.311734282378,2119.950346831483,-20833.052450925166,-8422.825016512425,52879.30118306094,78.22116,7.3515067,   7626,7501,   7501,7535,   7501,7493,   7535,7556,   7556,7564,   7564,7501,   7493,7587,   7587,7534,   7534,7551,   7551,8007,   
2,-417.35986,20,8.604550085577122E+28,0,0,5008216,0,0,219.667,0,0,16930728,-4145.915832991117,-1896.626931876259,6042.542765034542,-68762.09153657788,-27055.214993696554,350839.02219844377,164.75493,23.560848,   8371,8104,   8104,7672,   7672,7650,   7650,7675,   7675,7644,   7644,7474,   7474,7908,   7908,8091,   8091,7812,   7812,8394,   
3,-68.94287,20,1.245398986368E+17,0,0,816861,0,0,188.04027,0,0,3273769.5,-723.4785089200025,-490.8417479258854,1214.3202565749907,-9008.620939687611,-4490.874185815335,39653.339765427256,130.66791,14.126356,   4124,4131,   4131,4137,   4137,4133,   4133,4134,   4133,4174,   4134,4175,   4175,4127,   4127,4132,   4132,4130,   4130,4133,   
4,-571.7945,20,1.998605574145085E+28,0,0,1674560,0,0,442.2699,0,0,5952044.5,-6004.326572983512,-1778.6625825272497,7782.989162154482,-102141.85894526354,-17737.35923162554,421928.67333199014,178.63387,22.039183,   2409,2403,   2409,2304,   2403,5652,   5652,2252,   2252,2258,   2258,5128,   5128,2409,   2304,2438,   2438,2376,   2376,2264,   
5,-145.68306,20,2.291428435953888E+21,0,0,863835,0,0,297.44055,0,0,4898174.5,-1416.783123090639,-807.0001286042767,2223.783251639195,-20248.775886806805,-10283.589858264719,89954.01344790234,138.99197,17.990875,   3941,3901,   3901,3146,   3901,3150,   3146,3901,   3150,3142,   3142,3898,   3898,3140,   3140,3139,   3139,3168,   3168,4149,   
6,-893.4254,20,9.221121960479324E+26,0,0,2871224,0,0,331.00064,0,0,12471662,-10746.900139324827,-4914.07192636372,15660.972067956769,-186304.09401121255,-97968.6948988442,1036301.1685793799,208.52786,28.318375,   2899,5281,   5281,2868,   2868,2939,   2939,5765,   5765,2919,   2919,5699,   5699,5783,   5783,5769,   5769,5773,   5773,5758,   
7,-1173.5403,20,5.329841939451159E+33,0,0,1048514,0,0,311.90024,0,0,4272090,-12908.039478329647,-2565.679138577603,15473.718614418247,-238897.57851365,-27346.835719476225,924050.2931707732,203.56999,24.058157,   29,13,   13,4453,   4453,839,   839,220,   220,471,   471,867,   867,383,   383,901,   901,143,   143,6230,   
8,-611.6495,20,1.6196147525614666E+28,0,0,2804409,0,0,223.24559,0,0,7169189.5,-5324.4504537994935,-1656.1260861566716,6980.576538702842,-91402.662900063,-17112.128939525166,355780.53481038875,149.43636,23.26409,   5898,2983,   2983,6044,   6044,6039,   6039,2077,   2077,6040,   6040,2098,   2098,2108,   2108,2084,   2084,2225,   2225,1978,   
9,-505.28244,20,3.871164618320216E+29,0,0,4428193,0,0,202.34213,0,0,7130437.5,-4179.1138639700885,-1183.8086586283107,5362.922523136924,-70484.04552156819,-11844.928654839567,315735.08744919265,139.49435,15.128416,   6017,2221,   2221,2236,   2236,2133,   2133,6042,   6042,2225,   2225,1939,   1939,6039,   6039,6037,   6037,2147,   2147,2151,   
