idx,score,depth,combs,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-406.63092,20,7.910788183669167E+25,0,0,1085301,0,0,178.01219,0,0,2319790.5,-2567.2236110790363,-1135.9087983664724,3703.132410183662,-39101.08053767417,-13173.494822455354,151180.84756100705,96.15865,9.984454,   3117,3067,   3117,1163,   3117,1158,   3117,1180,   3117,1157,   3117,3116,   3117,3037,   3117,3066,   3117,3123,   3117,6746,   
1,-75.59086,20,1.9020344936679244E+22,0,0,94871,0,0,464.39548,0,0,378974.4,-673.5440157449399,-364.5663235556541,1038.1103383913728,-14405.284537844076,-5510.582448683591,46817.36242950272,190.56914,23.457369,   6499,6537,   6499,6528,   6499,6547,   6499,6545,   6499,6500,   6499,6540,   6499,6544,   6499,6538,   6499,3244,   6499,6520,   
2,-338.23215,20,1.2221749737027203E+26,0,0,922721,0,0,374.82495,0,0,5536493.5,-3276.5464521991476,-1522.6801885660973,4799.2266421274,-58878.778111436965,-20170.8939852,213247.87677459428,174.078,22.768417,   3135,6541,   3135,5914,   3135,5913,   3135,5924,   3135,1164,   3135,1167,   3135,3080,   3135,3108,   3135,6517,   3135,1178,   
3,-64.52593,20,2.4971430003816177E+24,0,0,608852,0,0,259.31818,0,0,1055508.6,-735.7873168596955,-351.5886697210311,1087.375986459651,-12342.58069197601,-4458.49345410769,51528.13684956368,191.28094,24.086796,   8050,8049,   8050,7971,   8050,8056,   8050,7511,   8050,8208,   8050,7446,   8050,8264,   8050,8265,   8050,8041,   8050,7514,   
4,-486.2102,20,1.509523006366438E+27,0,0,1565708,0,0,233.41882,0,0,3899576.5,-4475.30166172057,-1617.63279486334,6092.934456391838,-81993.87207712723,-23113.21819697262,349626.53675592056,168.63873,21.221489,   2873,2930,   2873,2927,   2873,5997,   2873,2878,   2873,5231,   2873,2862,   2873,5785,   2873,6005,   2873,5733,   2873,6003,   
5,-580.39746,20,9.554133447449358E+25,0,0,474937,0,0,242.4322,0,0,2486167,-4221.856834753771,-1823.7966702330477,6045.6535058092095,-74377.76301448442,-23647.838391649842,220348.040318839,128.1497,18.025742,   6746,3060,   6746,3124,   6746,5924,   6746,3131,   6746,3074,   6746,6509,   6746,3135,   6746,3120,   6746,3107,   6746,1179,   
6,-855.18085,20,1.5237111644089535E+29,0,0,1507037,0,0,182.70119,0,0,3036857.2,-5917.377267573826,-1641.008983536104,7558.386254368038,-99180.8095126231,-18737.65287598531,318489.6934914416,115.97642,14.919828,   2346,2499,   2346,2394,   2346,2326,   2346,2494,   2346,2417,   2346,2531,   2346,2348,   2346,6709,   2346,2445,   2346,2434,   
7,-159.84903,20,5.928561426541717E+27,0,0,1182964,0,0,400.09152,0,0,2346794,-2006.7516401963314,-848.5725184324549,2855.3241601550867,-33290.10473878042,-9823.925168586464,154239.89892166815,208.25967,24.269785,   4239,1881,   4239,1796,   4239,2624,   4239,1860,   4239,1255,   4239,1873,   4239,2553,   4239,4280,   4239,1817,   4239,1844,   
8,-623.08966,20,1.0648901601435656E+30,0,0,2488391,0,0,208.60411,0,0,5597758.5,-6678.7609673945135,-2797.278082934574,9476.039050092693,-99242.31856466307,-35180.56631376052,406710.07283440704,159.27454,20.90185,   7810,8096,   7810,7869,   7810,8388,   7810,7673,   7810,8303,   7810,7874,   7810,7528,   7810,8307,   7810,7912,   7810,7914,   
9,-806.5623,20,4.700119758583317E+29,0,0,6315922,0,0,304.91272,0,0,20508134,-7913.731771647166,-2950.744868473787,10864.476637952366,-162723.3659085082,-45442.71829923712,720633.2260928202,201.74927,20.450953,   6563,2162,   6563,1952,   6563,2102,   6563,1926,   6563,2131,   6563,2015,   6563,2027,   6563,6620,   6563,6585,   6563,2241,   
10,-39.382713,20,1.2478750879956641E+20,0,0,1065741,0,0,354.66852,0,0,1874340,-578.0246138098171,-347.04024749081066,925.0648616755276,-8779.955929847645,-4043.2483464407655,70066.34236768637,222.93933,13.74136,   4122,4106,   4122,4100,   4122,4111,   4122,4153,   4122,4151,   4122,4099,   4122,1226,   4122,4107,   4122,4116,   4122,4101,   
11,-4649.4766,20,3.224664673786669E+34,0,0,7289399,0,0,158.71172,0,0,14339264,-31428.658208091758,-6453.754511273484,37882.412727825176,-527638.5631070997,-74132.80114024197,1964232.2659431258,113.48344,16.775656,   335,235,   335,4792,   335,4929,   335,834,   335,840,   335,886,   335,171,   335,460,   335,546,   335,284,   
12,-214.4533,20,8.733577037176729E+29,0,0,377991,0,0,377.34573,0,0,1319907.5,-1994.1035967221612,-824.3864870600233,2818.4900825498817,-26709.013641615256,-8865.684537328552,66904.77861141154,124.54467,14.669033,   8317,7473,   8317,8341,   8317,7445,   8317,7524,   8317,7851,   8317,7832,   8317,7823,   8317,7830,   8317,7516,   8317,8318,   
13,-1450.0643,20,3.2429035881095084E+30,0,0,5320448,0,0,192.9689,0,0,8714825,-11308.419909681603,-3987.938121633453,15296.358028612516,-196565.53968961036,-57314.765341797436,890009.3453933636,135.55643,16.891483,   2165,2219,   2165,1999,   2165,2179,   2165,2013,   2165,1967,   2165,2074,   2165,2097,   2165,6606,   2165,2142,   2165,2154,   
14,-1519.7039,20,4.616571906092475E+33,0,0,2402101,0,0,269.6634,0,0,6711517.5,-13767.864484834117,-2616.361079859665,16384.22556533283,-246075.4112331612,-28414.297683925954,750291.2381126599,161.92326,14.474171,   497,109,   497,171,   497,932,   497,931,   497,939,   497,531,   497,573,   497,431,   497,6194,   497,664,   
15,-289.1198,20,8.243293360202842E+32,0,0,460145,0,0,358.7962,0,0,1336366.5,-3157.997314689465,-609.8735238427813,3767.870837538215,-60182.500246058735,-5809.851576034812,204529.7939771175,208.15765,22.73945,   6276,923,   6276,904,   6276,3435,   6276,3722,   6276,3371,   6276,605,   6276,243,   6276,249,   6276,494,   6276,191,   
16,-505.32452,20,2.366778269326657E+28,0,0,1400187,0,0,245.96101,0,0,6515080.5,-5796.649326488662,-2713.2425308400766,8509.891855765214,-86467.90080673642,-34101.619542244414,513189.0454986608,171.1136,22.653595,   8430,7689,   8430,7605,   8430,7661,   8430,8112,   8430,8421,   8430,7572,   8430,7596,   8430,7630,   8430,7610,   8430,8408,   
17,-30.244099,20,1.1854045031593034E+24,0,0,77326,0,0,683.95654,0,0,534290.4,-276.47670581473346,-382.3332608981809,658.8099668971711,-6467.473381570755,-13123.552768620068,28353.5878494857,213.84248,27.492838,   5559,5786,   5559,5560,   5559,3470,   5559,5538,   5559,5563,   5559,5493,   5559,6361,   5559,3488,   5559,5788,   5559,3471,   
18,-979.019,20,1.0166577899208933E+26,0,0,2274540,0,0,211.47643,0,0,4481864.5,-8180.32047772563,-3428.6187248132533,11608.939199257255,-127860.06019530907,-39354.13103830865,464839.4963652609,130.60019,16.861406,   1169,3041,   1169,1164,   1169,7132,   1169,1165,   1169,3071,   1169,3068,   1169,3112,   1169,3034,   1169,7121,   1169,3115,   
19,-47.070126,20,2.0834483953708697E+24,0,0,233295,0,0,710.2373,0,0,1189176.9,-422.1455632005669,-236.0743134298322,658.2198771981298,-9391.966358097785,-5243.173261312667,30529.260750844816,199.53137,23.837465,   3666,3472,   3666,3682,   3666,5801,   3666,3662,   3666,3681,   3666,3483,   3666,3683,   3666,3658,   3666,3705,   3666,3673,   
20,-37.91493,20,2827926772070400,0,0,182752,0,0,368.00375,0,0,1737620.8,-303.42317667653924,-253.94078725664917,557.3639639219401,-6400.792139970322,-4792.047527009657,22631.539393745246,168.81984,22.78046,   8227,8245,   8227,8224,   8227,8225,   8227,8235,   8227,8227,   8227,8243,   8227,8226,   8227,8222,   8227,8236,   8227,8232,   
