score,deltaLkRoad,deltaDjRoad,deltaTotalJobsCreated,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9
-0.00024464162,-3534.4033,-270.28452,-610,249.34433,-1892,-2018,2675,3014,3325,3549,-3553,-3893,-6844,-8336
-0.0002444265,-13449.734,-517.8974,-850,347.75278,-5833,6068,-6194,-6289,6363,-6707,-7260,7477,-7695,8030
-0.00024438786,-6175.0176,-75.58913,-724,296.2504,3719,3720,4117,-5250,-5827,-6217,-6593,-7619,-8373,8384
-0.00024429304,-3909.395,-594.5556,-990,405.251,4632,5557,-5833,6434,-6510,-7586,-7635,-7920,7986,-8032
-0.00024414001,-8713.33,-398.97546,-960,393.21698,-4151,4477,-4642,-5270,5714,-6459,7350,-7357,7875,-7925
-0.00024388051,-16339.325,-677.5703,-698,286.20572,-6027,6028,-6499,-7034,-7066,7345,-7537,7680,7882,-8120
-0.00024384481,-3165.7239,-245.09032,-713,292.39908,-4843,5287,-5383,6536,-6569,-7170,7378,8004,-8331,-8347
-0.00024383941,-3745.064,-330.54727,-865,354.74167,-6169,-6263,-6818,-7114,-7155,-7210,7422,8047,8261,8392
-0.00024376789,-18338.508,-649.0304,-921,377.81842,3924,3925,-4633,5312,-5538,-5811,-5946,7409,-7703,-8116
-0.00024357002,-13702.919,-615.54175,-853,350.2073,-5040,5296,-5835,5846,-5979,-6091,7249,-7734,-7852,8141
-0.00024345108,-5886.9614,-259.5901,-637,261.6542,504,-1340,1833,-4153,-4967,6012,-6654,-6663,6865,-7688
-0.00024327866,-1854.0197,-316.85425,-538,221.14558,-1148,1256,-1673,-2055,-4330,4800,5221,-5642,6007,-7403
-0.00024291174,-8122.962,-580.7617,-698,287.34714,-2690,2824,3142,-4064,6434,-6461,-6653,6672,-7182,-7270
-0.00024262401,-6361.776,-107.15232,-864,356.10657,-3264,-3310,3922,4500,-4987,-6280,-7541,7547,-8106,8239
-0.00024182536,-12706.774,-375.43552,-776,320.89273,-4254,-4313,-4929,6349,-6557,6563,7408,7794,-7832,-8156
-0.00024128282,-4032.036,-417.66037,-540,223.80376,95,-931,-1996,-2283,2987,4684,-4790,4854,-5088,-7707
-0.00024128238,-3336.4954,-399.28098,-657,272.29504,-2503,2727,-3558,-3619,-3870,4015,-5490,6301,7256,-7619
-0.00024121812,-16092.316,-88.69937,-657,272.3676,-6927,6992,7235,-7395,7552,7911,-7966,-8108,-8241,-8276
-0.00024119741,-1489.7896,-58.64448,-721,298.92526,-6811,6941,-7120,7317,7465,-7619,-7757,-7967,7982,-8096
-0.00024110179,-3489.4084,-321.97925,-676,280.3795,6863,-6905,-7025,7084,-7178,7374,-7551,-7688,7742,-8068
-0.0002410433,-6046.634,-206.85063,-701,290.81912,-406,503,-2238,3083,-3208,-3848,-6097,6913,7529,-8276
-0.00024091994,-11446.163,-503.05823,-784,325.4193,-6414,-6588,6676,-6783,6824,6864,7234,-7532,-8042,-8215
-0.00024069697,-1293.9279,-16.145348,-955,396.76443,-5954,5955,-6177,6238,-6407,-6489,7202,-7407,8064,-8149
-0.00024054848,-4976.243,-374.67218,-901,374.56067,-3029,-3032,-3221,-4500,4823,5953,7288,7347,-7836,-8381
