score,deltaLkRoad,deltaDjRoad,deltaTotalJobsCreated,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9
-0.1215,-7089.8994,-596.50543,-1215,300.69644,-950,-1625,3101,-3954,-4385,4640,6096,-6803,7010,-8434
-0.1214,-11651.409,-328.52643,-1214,320.8999,-801,1120,1210,-1836,-4531,-4923,6399,-6898,-8008,8095
-0.1213,-226.38394,-125.736694,-1213,285.66068,258,466,-2387,-3266,-4919,-5702,6993,-7184,7362,-8346
-0.1212,-11662.992,-158.21841,-1212,187.25764,-1214,-1215,1695,2370,-3334,3593,-3616,-4449,4914,-6836
-0.1211,-12204.003,-348.11237,-1211,265.64676,-2811,-5452,-5594,5713,5765,-5906,-5964,6545,7489,-7501
-0.121,-725.11975,-688.8343,-1210,333.41235,-241,-555,1740,-2709,3218,5985,-6116,-6839,7256,-8028
-0.1209,-2235.8489,-272.25012,-1209,184.07724,-2501,2548,-2946,2984,-3774,3872,-4165,5109,-5342,-6601
-0.1208,-12150.505,-451.4987,-1208,347.80286,-3924,4198,-4229,-4637,-4767,5478,-5825,5907,7310,-7741
-0.1207,-17254.266,-491.01138,-1207,87.55169,7881,-7981,-8026,-8032,-8059,8084,8112,-8240,-8278,-8423
-0.1206,-18490.252,-738.0367,-1206,298.11447,1191,1260,-2404,-3318,-4715,-5211,-5266,-6839,7451,8344
-0.1205,-4931.6284,-704.49335,-1205,283.96277,-3996,-4059,-4925,5223,5232,-7023,7124,-7902,8061,-8349
-0.1204,-10166.452,-518.4001,-1204,276.57327,-5777,5870,-6053,-6217,6544,-6589,7100,-7552,-7877,8132
-0.1203,-9457.846,-690.4215,-1203,276.86816,-2537,-3032,4392,4586,-4610,-5192,-5813,6432,-8006,8391
-0.1201,-12119.82,-646.35,-1201,183.45668,108,-870,-1390,-1547,-2470,-2804,4616,4762,5457,-5994
-0.12,-7664.984,-257.254,-1200,359.15823,-3994,-3996,4795,-5677,-5788,-5977,7122,8147,-8206,8400
-0.1199,-4834.7812,-499.33182,-1199,221.91518,3871,4045,-4221,-4343,4721,-5264,-5704,-5739,7125,-7503
-0.1198,-19333.957,-830.49054,-1198,265.01062,2195,-2513,3328,-3498,-5038,-5496,6009,6795,-7479,-8364
-0.1197,-3338.3928,-468.87228,-1197,146.82997,-6974,7308,-7510,-7643,-7788,-7798,7878,-7892,-8249,8394
-0.1196,-16100.472,-555.18427,-1196,214.80722,872,-2089,-2970,-3634,-4522,-4862,5037,-5129,5323,7758
-0.1195,-17228.1,-852.96545,-1195,287.64728,-229,-309,-637,-3562,-4817,5373,6524,6960,-7777,7817
-0.1194,-14894.516,-636.0693,-1194,280.53534,-620,621,-3724,3728,-3880,5131,-6299,-6464,-7253,7502
-0.1193,-13190.086,-809.78754,-1193,343.99017,5948,-6254,-6446,6471,-6653,7457,-7531,-7610,-8052,-8105
-0.1192,-10917.51,-291.0342,-1192,385.41974,-4147,4233,-5342,-5527,-6888,-7168,7399,7759,8146,-8409
-0.1191,-7030.8696,-520.07605,-1191,326.41174,-2425,-2686,4336,5031,-5413,-6512,-6832,7744,-7870,8331
-0.119,-5884.419,-304.54187,-1190,281.62363,-4953,4954,-5243,-5731,-6106,-6324,6518,-6662,7277,-8090
-0.1189,-7048.371,-657.3267,-1189,384.49237,-3702,3722,-5428,6131,6246,-6483,-6933,-7341,7607,-7637
-0.1188,-894.0914,-236.14584,-1188,321.07202,-4140,4141,4265,-5434,-5805,6848,-6995,-7392,-7907,8261
-0.1187,-9177.748,-514.56226,-1187,292.7048,-6961,-6979,7004,-7110,-7170,7587,-7778,-7836,7841,8004
-0.1186,-20533.572,-438.58978,-1186,289.07037,-926,2588,3628,-4335,-5147,-6355,-6614,6975,7521,-8140
-0.1185,-15938.396,-589.4637,-1185,242.24039,702,703,-2293,-3894,4006,-4387,-6135,6494,-6633,-8132
-0.1184,-13137.77,-452.95587,-1184,204.08296,-3276,3278,-4961,-5249,5488,5608,-5771,-6567,6664,-7600
-0.1183,-20962.996,-894.8481,-1183,271.77066,-5287,-5288,5821,-6032,-7117,-7330,-7603,8044,8267,8367
-0.1182,-23165.998,-493.958,-1182,305.53012,-4576,-4578,-4919,-5648,5843,-5996,7082,-7316,7572,7573
-0.1181,-8331.323,-635.7965,-1181,245.27281,-2250,2552,-2701,2744,3985,4306,-5735,-6248,-6753,-8296
-0.118,-8289.975,-533.8815,-1180,282.94397,3403,-4213,4790,-5196,-5909,-6672,-6742,-6794,7716,8413
-0.1179,-2452.9304,-546.582,-1179,281.51456,1843,2056,-2423,-2716,-4411,5677,5904,-6985,-7220,-8422
-0.1178,-3979.9417,-171.08066,-1178,284.72424,436,1404,-1873,-2630,-4160,-4476,-5336,-7375,8082,8230
