score,deltaLkRoad,deltaDjRoad,deltaTotalJobsCreated,LBar,gameState0,gameState1,gameState2
-993.75,11481.792,565.2585,1540,21.292784,467,468,-680
-993.7495,4445.688,428.2092,1005,12.632378,-7048,7049,7154
-993.74866,2563.932,78.13248,189,38.734295,-8290,8291,-8396
-993.74054,9468.034,776.89685,1845,14.633527,8216,8217,-8317
-993.7394,6333.319,426.19455,1186,15.224946,-7576,7577,7735
-993.7339,14689.187,1254.4165,3000,13.947738,7801,8109,8361
-993.7282,12448.085,605.49866,1509,23.477299,-8319,8416,8424
-993.7246,23123.758,320.2335,1000,65.771996,7397,7398,-7680
-993.71576,14012.478,544.50696,1372,29.008919,-8375,8376,8400
-993.701,8381.475,379.1587,1000,23.750435,-3134,3135,5926
-993.6975,23359.53,894.7077,3000,22.052265,4319,4320,4332
-993.6883,8002.672,1220.702,3000,7.54382,7222,7223,7263
-993.6881,14761.976,777.76514,1876,22.252499,7673,7674,-8072
-993.684,10181.11,320.22885,1000,28.772621,8320,-8321,8376
-993.68085,16666.195,1294.99,3000,15.6921425,7823,7824,8134
-993.67725,6518.268,202.22763,335,54.92957,8150,-8219,-8420
-993.67456,22912.768,1303.4325,3000,21.552122,862,863,4817
-993.66327,11208.95,601.1944,1845,17.113045,-7755,7756,7758
-993.6622,9207.168,525.7994,1520,17.059551,8043,8044,-8188
-993.66205,4263.6646,375.70496,1000,12.007675,-8073,8074,8316
-993.6483,9886.702,425.62296,1000,27.78353,-726,727,4850
-993.6436,8989.928,655.05383,1745,14.466823,8071,8082,-8406
-993.6262,9306.16,373.41446,1000,26.061365,-116,233,6246
-993.62213,8830.867,418.78638,1000,24.714628,-8341,8342,8369
-993.6145,13487.613,510.81155,1000,37.70186,-8092,8093,8151
-993.60785,11200.127,697.29016,1000,31.27526,-8042,8204,8294
-993.5981,7525.853,356.43982,760,27.609468,-7678,7679,-7792
-993.59467,7605.677,458.4226,1000,21.19444,26,27,-820
-993.5935,8194.072,762.1541,1774,12.869121,8352,8353,-8391
-993.5891,7039.646,638.52765,1482,13.225408,7470,7818,-8121
-993.5875,15012.304,1260.5375,3000,13.929156,7892,7893,8327
-993.5844,9591.083,728.60815,1880,14.193793,8191,8192,-8316
-993.57025,8482.602,658.91675,1520,15.492313,8187,-8188,8308
-993.5655,14949.993,1258.4353,3000,13.823783,7810,7812,8096
-993.5615,22757.08,1491.3219,3000,21.029837,529,530,873
-993.556,15914.8,1306.355,3000,14.694305,7873,7874,8317
-993.5526,7431.4043,585.40625,1319,15.597977,7261,7262,-7269
-993.54614,23419.64,872.273,1506,43.00924,-7804,7805,8240
-993.5311,15702.7705,1270.6509,3000,14.442738,7887,7888,8315
-993.5278,14729.9795,1241.653,3000,13.541043,7897,7898,8347
-993.515,9236.834,723.0665,1769,14.37176,7882,-7883,8120
-993.51,2476.817,-37.43838,-100,68.12002,-7413,-7623,8140
-993.50635,8445.761,489.97388,1000,23.21532,63,252,-877
-993.5039,18258.064,784.8755,1000,50.1678,3774,3775,-5356
-993.5008,9795.543,685.9509,1797,14.970817,7514,7515,-8219
-993.49976,11473.792,773.47876,1623,19.412497,7520,-7521,8297
-993.492,5283.428,610.6974,1709,8.479125,7560,7561,-8001
-993.4858,5866.2686,423.81415,1000,16.074001,-7007,7008,7025
-993.47675,11015.834,484.84677,1215,24.80857,-8104,8105,8379
-993.4737,5455.3247,485.20227,1207,12.361423,7794,-7813,8386
-993.45355,6086.4844,433.22345,1000,16.595274,-8216,8217,8345
-993.4404,6070.0615,267.03668,580,28.478329,-8305,-8306,8424
-993.4342,8612.901,429.34152,1000,23.414677,7867,-7868,8300
-993.4262,26714.088,1292.625,3000,24.178331,8370,8371,8402
-993.4179,16745.572,556.8145,1000,45.410793,6296,6297,-6413
-993.41473,2431.4136,32.267086,174,37.875786,-8051,8296,-8298
-993.412,5545.4243,421.58994,1000,15.024632,-8325,8326,8385
-993.39667,10161.1,501.38535,1292,21.258879,-8332,8333,8407
-993.39435,20645.746,515.5375,1000,55.787632,-8280,8281,8419
-993.39307,9504.179,605.70404,1710,15.015559,-7690,7691,7720
-993.3917,23901.906,1360.8953,3000,21.520329,1140,1141,5187
-993.37524,5774.695,433.77902,1000,15.559043,-8213,8214,8337
-993.3731,27793.129,1127.9525,3000,24.953514,4697,4698,6450
-993.37146,9651.246,708.0817,1529,16.997335,8213,8298,-8359
-993.3678,4633.0796,342.49335,1000,12.469096,-7604,7605,7724
-993.3555,11472.066,751.04834,1848,16.6764,-8183,8184,8324
-993.3537,5111.41,388.78513,1054,13.024022,7684,7685,-8413
-993.3503,16140.635,1232.4865,3000,14.441718,8133,8345,8361
-993.3491,12247.636,667.88434,1691,19.43818,-8299,8301,8403
-993.3488,8003.764,463.3393,1186,18.110718,7574,-7576,8435
-993.34717,11623.63,373.9952,1000,31.186125,-8362,8363,8377
-993.3387,3584.814,517.43256,1000,9.605742,190,191,-6292
-993.3354,2950.1592,88.96716,242,32.649628,-7974,8142,-8344
-993.3344,6707.779,136.13412,284,63.24819,-8265,-8299,8376
-993.33075,3714.0938,112.920074,361,27.53541,-8327,-8391,8399
