score,deltaLkRoad,deltaDjRoad,deltaTotalJobsCreated,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
-979.0465,62683.098,3598.1042,7191,49.50374,8202,8203,-8205,-8211,-8219,8245,-8257,-8260,-8264,-8273,8287,8319,8322,8330,8391,8407,8410,-8414,8421,8422
-979.0457,28023.29,1017.59314,1896,83.93458,-7862,7868,-7875,-7882,7895,7931,-7942,8003,-8018,-8032,8048,-8087,8118,8140,8150,-8173,-8214,8287,8334,-8364
-979.0356,21424.428,1061.3699,2718,44.741478,-7847,-7854,-7866,7896,7910,-7950,-8063,8065,8074,8089,-8114,8119,8187,-8274,-8280,8303,-8325,8327,-8347,8422
-979.00854,31700.018,1952.6738,3722,48.280743,8107,8108,-8112,-8131,8155,8170,8184,8218,-8249,-8275,8314,-8319,-8331,-8359,-8368,-8372,-8373,8388,8399,8428
-978.9973,53897.652,3437.9934,8054,37.915485,8064,8065,8070,8083,8093,-8161,8192,8213,-8214,8218,8259,8289,8304,8308,-8318,-8324,8338,-8374,-8404,-8419
-978.9834,43085.21,1693.5981,4008,60.865547,-8202,-8203,-8222,8229,-8231,8248,8257,8269,8289,8306,-8314,8323,8333,-8337,8338,-8339,-8355,8377,8380,-8434
-978.9672,84191.664,5123.6665,11898,40.034252,8257,-8261,8280,8289,-8290,8297,8303,8305,-8307,8315,8323,8343,-8354,8355,8373,8378,8389,-8395,8411,8430
-978.9385,84122.7,5168.5605,12951,36.698895,8278,8280,8322,-8332,8336,8350,-8351,8359,8378,8386,8393,-8398,8400,8401,8406,8413,-8421,8426,-8428,8434
-978.9286,34234.758,2619.1245,6642,29.107738,-8286,-8287,8293,8299,-8300,8302,8307,8318,8346,8355,8357,-8358,-8362,-8372,8373,-8377,8391,-8396,8408,8414
-978.9269,75955.45,3436.0217,8649,49.59039,7885,7886,-7903,7911,-7920,-7991,8049,8059,8091,-8121,8126,-8136,-8168,8285,8291,8298,-8338,-8341,8370,8383
-978.924,62583.29,3715.905,7527,46.944206,-8206,8207,-8219,8245,8259,-8260,-8261,8288,-8291,8298,8321,-8329,8330,8360,8363,8376,-8377,8387,8391,-8399
-978.901,27453.426,2084.159,4783,32.37185,8321,8322,-8324,-8327,8342,8346,8347,-8366,8367,-8389,8392,8393,8395,-8397,-8398,-8401,-8412,8418,-8427,8433
-978.8875,31417.043,1009.96027,3098,57.158005,-8043,-8050,8060,-8063,-8075,-8100,-8101,-8108,8138,8151,8164,8222,8246,8280,-8347,8363,-8372,8375,-8386,8427
-978.88586,22839.516,923.16956,2326,55.33978,-7993,8015,-8041,-8053,-8064,8077,-8100,-8116,-8124,-8137,8161,8197,8296,-8327,-8335,8341,-8355,8369,8376,-8401
-978.8744,54581.633,3535.498,8839,34.78298,8375,8376,-8377,-8383,8384,-8385,-8390,8391,8392,8393,8394,8405,-8406,8407,8417,8421,-8423,-8428,8429,8430
-978.869,58383.53,3407.3384,7420,44.309868,-8203,8204,-8211,-8224,-8261,-8269,8277,-8281,8289,8297,-8319,8328,8338,-8358,8367,8378,8387,8396,8400,8424
-978.8032,14127.04,533.5493,1134,69.93601,-7736,-7737,-7760,7761,-7805,7806,7826,-7829,-7848,-7850,-7941,-8024,-8043,8074,-8087,8270,8295,8316,-8336,-8351
