score,deltaLkRoad,deltaDjRoad,deltaTotalJobsCreated,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9
-0.04008739,32400.06250455111,1428.6705763002758,2736,212.04474,+297,+691,-1167,+1696,-3063,-3954,-4693,+5010,+5193,+6422,
-0.013967835,-35927.19512206438,-1947.8262669721944,-4732,257.21378,-233,-941,+1551,-4115,-4298,-4405,-4473,-4848,-6821,+7418,
-0.02998255,27192.330741932128,1747.7144089217697,4617,346.82077,-948,+1605,-2151,+2192,-3432,+4962,+7628,+7698,+7793,+7946,
-0.046521213,29000.605450424777,1952.9206096508058,4568,249.76799,+561,-995,+1695,+3969,+4245,-4355,+5856,-6603,+6807,+7854,
-0.014516627,3096.361581494815,556.0416195459512,0,227.90022,+1391,-2922,+3136,-3994,+4259,-5010,-5045,+5164,-7175,+7199,
-0.004640472,3226.667536411473,189.9966664774288,356,243.60547,+1033,+1458,-1840,+2184,-2887,-3864,+6161,-6934,-7557,+7996,
-0.009596043,10617.14605225912,303.8371805592902,634,188.38744,-117,+2066,-2541,+2576,-4059,-4285,+4597,-4698,+5410,+5998,
-0.042146914,25812.063100643347,2072.194631628142,4368,292.52832,+2252,-2686,+3179,-4668,+5021,-6131,+6632,+6974,+6987,+8353,
-0.025077753,18538.707430899223,1072.8921249596149,2500,254.54854,-296,+454,+492,+1083,+2064,-3269,-5781,+5952,-7449,+7993,
-0.0037185918,-8183.854011182735,-212.83124325950135,-699,220.07939,+313,-807,-856,-1103,-2059,+2135,-4657,-4821,+5145,+7835,
-0.0040933345,-14930.492725008797,-1193.5924538876736,-2752,364.75134,-1610,-2888,-4142,+4375,+4585,-4927,+6653,-7251,-7287,-7622,
-0.02173982,26658.3499430665,1047.4665348018061,2674,286.6734,+302,-1541,+2215,+3528,+4503,-5543,+5599,+6782,-7081,-7233,
-0.026402494,15273.363070133486,1022.5988271094033,3036,230.44301,-515,+988,+1150,+2165,-2222,-2373,+4326,+4400,-4841,+8063,
-0.004784887,-14059.782690014203,-933.1585423093347,-1413,293.83728,-12,-740,-1808,-2374,+2864,-3425,-4165,+6000,+6930,+7234,
-0.0024599654,-7161.399946905966,-947.5173411383169,-2686,291.1179,-1759,-2861,-3601,+3699,-4084,+4356,+4898,-6475,-7314,-8356,
-0.029961543,17394.368071806002,976.9156860348592,2000,193.9975,-665,+754,-1128,-2061,+2422,+2961,+4350,+5036,-5302,+6738,
-0.06363057,43112.81466913318,2249.0428755648118,5301,210.29799,+462,+1433,+1504,+2004,+2782,-3155,+3722,-4409,+6553,-6642,
-0.060034394,30157.50821056297,2452.6310441181604,6026,243.0722,+44,-463,+664,+750,+1466,+3147,+3762,+4057,-5271,+7979,
-0.006640114,13317.918934139056,259.73776994154997,417,232.73558,+2103,-4126,+4548,-4918,+5821,+6460,+6479,-6560,-7108,-7320,
-0.054516736,34093.183848447356,1905.855409390163,4806,207.99998,+256,+443,+1302,+2351,+2439,-3969,-4657,+5335,+6852,-7089,
-0.00062149327,-1722.4465516708412,-348.7246532426882,-1057,277.14645,+464,-1272,-2067,+3464,-3919,-4156,-4305,+4637,+5487,-7349,
-0.0094068665,-22827.825801326573,-1027.3883158873339,-2350,242.67195,+203,-1495,+2683,-3332,-4348,-4551,+5771,-6299,-6730,-7758,
-0.015597259,22942.4375345093,735.1120543446692,2441,280.41965,-220,-1321,-1845,+2643,+3460,+6381,+6617,+7764,+8185,-8427,
-0.08249037,24746.03183573957,1908.7293098671953,4542,137.67159,+206,+283,+335,+591,-2059,-2332,-2954,+3279,+5243,+6129,
-0.008730064,-16984.107628387366,-1370.3946206915416,-3080,194.54735,-1316,-2007,+2148,+2156,-2474,-2560,-3192,-5132,+6855,-8193,
-0.029839566,28669.93679113391,1212.121504703362,4000,241.68896,+1510,+2502,-3438,+4121,-4135,-4885,+5232,+5335,+5496,+7454,
-0.0039501726,-10056.567615359096,-865.2992487742497,-3279,254.58551,+243,-2090,-2218,+4669,-4686,-5501,-5735,+6611,-8386,-8432,
-0.030600555,15974.316304597858,958.8494217528456,2407,186.43365,+381,-899,-902,-1073,+4225,+4572,+5436,+5713,+6017,-6420,
-0.027250957,29701.561436749278,1312.9134116217724,3269,286.6537,+1565,-3407,+4887,-5299,+5949,+6508,+6843,-7111,+8266,-8344,
-0.047185346,24204.110098256282,1693.8103436467227,4000,213.58012,+1439,+3275,-3325,+3832,+3982,+5261,-6125,-6372,+6613,+8226,
-0.009887168,-19262.077802036234,-489.58464864164705,-954,194.81895,-1428,-4315,-4330,+4430,+5134,-5856,-5912,+6101,-6221,+7074,
-0.037100587,22157.041130828304,1831.8112075852364,3705,293.76706,+435,-2169,-3996,+6818,+7093,+7510,+7608,-7934,-8000,+8333,
