idx,score,depth,combs,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-139.27289,20,3.538990714964909E+53,0,0,663676,0,0,603.74854,0,0,3417741.8,-2844.5275574549387,-942.2883608586102,3786.8159201754875,-58590.201972983254,-13102.280691013491,262802.76917827054,420.68634,28.172865,   2099,2998,   1921,5873,   6561,5873,   2167,5873,   6046,6612,   1996,5873,   6588,2998,   2214,5873,   5874,2179,   2109,6020,   
1,-92.45448,20,2.6994074911366537E+37,0,0,935109,0,0,366.29706,0,0,7693509,-1416.3981116853931,-1092.3475837924884,2508.745695696706,-25808.945272287274,-16963.25855656985,177005.36693961004,279.15298,14.225323,   6977,6931,   6974,6931,   6967,6931,   6994,6931,   6969,6931,   6964,6931,   6946,6931,   6970,6931,   6940,6977,   
2,-41.16894,20,1.943568118045791E+40,0,0,225854,0,0,696.04083,0,0,2266809.8,-1190.277266414621,-696.9944401485642,1887.2717027669544,-10456.397194126166,-6229.215056788124,102281.08855332574,253.98752,20.30146,   3607,4668,   4690,3600,   4640,3608,   3594,4690,   4619,3600,   4641,3608,   3599,4691,   4642,3607,   3604,4691,   
3,-133.61214,20,4.399646423253348E+44,0,0,2072076,0,0,820.27344,0,0,15380356,-3346.2020791846207,-1193.3043614632695,4539.506440734838,-63776.072472471926,-15243.127683564817,499041.6527049596,477.32245,31.337545,   4053,5698,   1215,1763,   2871,6068,   4032,6074,   4044,6051,   4016,6074,   4059,6074,   5696,6074,   6072,5689,   4052,6074,   
4,-45.931877,20,9.820387244459755E+44,0,0,352900,0,0,502.71997,0,0,1419449.2,-844.3075327308015,-653.5154512416091,1497.8229838451593,-20240.4324967909,-13947.590345557199,109806.43668076982,440.662,22.072405,   5610,5603,   5575,5603,   1790,5575,   1845,5575,   1787,5575,   1832,5575,   5612,5575,   5597,5575,   1799,5575,   1852,5575,   
5,-642.2415,20,2.4624320626415582E+61,0,0,1870751,0,0,563.91174,0,0,11429793,-12871.503718821401,-3659.168491482625,16530.6722093904,-271442.7209230559,-62121.269227279154,1567402.971962212,422.64896,26.939138,   247,6207,   502,4740,   4794,6207,   0,6681,   551,3372,   783,6681,   353,6681,   514,4740,   796,6681,   4883,6207,   
6,-33.270782,20,4.341388304439545E+46,0,0,502388,0,0,913.3119,0,0,3511488,-817.6188613178442,-377.5263401180075,1195.1452014438878,-13113.158002747514,-4493.748188317777,83741.38163817747,394.13434,25.481073,   7166,5925,   7072,5925,   6999,5925,   7103,5925,   7046,5925,   7106,5925,   7105,5925,   7177,5925,   7146,5925,   
7,-288.83383,20,9.199931794885656E+61,0,0,896651,0,0,502.83768,0,0,5499712.5,-5180.794912987468,-1411.4160647146962,6592.210975954426,-116660.69189982553,-19549.980434751997,625793.2009345485,403.90247,27.199125,   858,6293,   4461,6293,   884,6293,   862,6293,   4950,4857,   686,4477,   239,4984,   842,6293,   669,4477,   7,6293,   
8,-30.875097,20,3.07702630540778E+53,0,0,911377,0,0,506.5796,0,0,1545901.5,-667.3522611520497,-300.4252519704058,967.7775129888013,-11238.18917791843,-4094.301487524269,86838.76966101336,363.9888,22.765135,   7908,8376,   7805,8376,   7827,7640,   7849,7640,   7477,7972,   7912,7640,   8346,8376,   7795,8376,   8074,8376,   8087,8367,   
9,-2.9399152,20,2.705001477690229E+29,0,0,84968,0,0,2154.1194,0,0,1351745.5,-66.43367718731724,-49.65423167184687,116.08790882871426,-1035.7194252788806,-633.7565526054158,9401.610187803873,352.29572,29.663029,   6806,6812,   6807,6828,   6796,6812,   6811,6828,   6803,6812,   6799,6812,   6829,6812,   6831,6811,   
10,-27.875088,20,3.486894731286435E+45,0,0,186135,0,0,709.0968,0,0,2170175.5,-948.6752112678203,-520.1219257237689,1468.7971299598698,-8066.071191593736,-4878.994380458251,82074.5331345645,289.36487,24.35857,   3552,3607,   4668,3607,   3572,3607,   6402,3607,   3582,3608,   3590,3607,   4639,3607,   3541,3607,   4659,3607,   
11,-13.142122,20,2.705001477690229E+29,0,0,78322,0,0,598.05133,0,0,877667.4,-190.36185789718357,-135.14999878537242,325.5118566806321,-4522.621270789234,-2386.368599232998,13263.181623049235,344.1317,28.27978,   8233,8241,   8241,8229,   8239,8229,   8231,8241,   8225,8241,   8228,8245,   8224,8241,   8234,8241,   
12,-265.94327,20,4.458030673960933E+53,0,0,1430398,0,0,574.91223,0,0,4845219,-5193.226012549067,-1529.6940179265932,6722.920031461412,-104142.90577171993,-20861.459599810063,488038.0572252437,391.5982,26.77066,   1026,2394,   951,6729,   1077,4077,   1045,2394,   1539,6729,   1354,3884,   1307,6729,   1038,2394,   2687,4077,   6773,4077,   
13,-46.647526,20,1.3650096041882977E+47,0,0,337267,0,0,442.36505,0,0,889950.3,-891.4565490275941,-489.0182143508509,1380.4747633309921,-16529.6456945845,-8268.593066805706,85592.69465597172,354.35205,16.659777,   5588,4229,   5589,4229,   1812,5576,   5583,4229,   1850,5576,   1779,5576,   1776,5576,   1826,5576,   1805,5576,   1817,5576,   
14,-68.32563,20,1.610693565942823E+46,0,0,998150,0,0,721.29285,0,0,7633149.5,-2716.0595050256866,-1666.8633111005324,4382.922803515734,-23808.728815297553,-15516.502070823739,289651.754930496,348.4597,28.491743,   4613,3597,   4688,3594,   3561,3597,   3540,3598,   3590,3594,   4603,3599,   4592,3594,   4712,3594,   4726,3594,   3573,3597,   
15,NaN,20,8436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,   
16,-150.40163,20,1.0267498013469828E+49,0,0,433220,0,0,659.9014,0,0,2756010.2,-3090.6721573072405,-1385.4291457149166,4476.1013063060855,-67810.0451750242,-26648.0056920356,334962.4070652845,450.8598,31.428488,   3281,3685,   4817,3799,   3615,4786,   4762,3799,   3644,3692,   4848,3631,   4790,3645,   3497,4786,   4821,3631,   3635,4886,   
17,-25.694918,20,3.498879364401516E+48,0,0,80582,0,0,559.35626,0,0,474543.12,-645.6081871097997,-327.19002885448475,972.7982159664829,-10363.691949676644,-4200.392600870495,49674.95312164941,403.33627,26.119673,   1779,4275,   5609,4275,   1892,5606,   1855,4275,   5593,4260,   1807,4275,   1818,4275,   5585,4275,   4258,5611,   4226,5606,   
18,-266.16125,20,4.9658760115136735E+54,0,0,1505527,0,0,517.4101,0,0,8314400,-5599.392914719557,-2603.421247678151,8202.814159215466,-111935.52991697576,-51764.71060657634,716680.2024860599,420.5553,28.63335,   1965,6606,   5991,6390,   2046,6626,   2142,6385,   2098,6385,   6557,6344,   2231,6390,   2106,6385,   2214,6385,   6556,6347,   
19,-75.50572,20,8.179133107001996E+46,0,0,437837,0,0,775.47205,0,0,4672218,-1711.3808171263593,-616.9165444090837,2328.2973654335005,-36907.72276631135,-7361.2807147139665,267730.6521868218,488.80695,32.376274,   6311,6421,   6231,6421,   6300,6472,   6252,4599,   6452,4599,   6250,6421,   6284,6472,   6243,6421,   6457,6276,   6278,6472,   
20,-73.98429,20,5.1405587667285435E+37,0,0,606908,0,0,947.2994,0,0,4419266,-1388.9005275257518,-896.7319137449505,2285.632441898318,-32661.275781701028,-20735.821072668707,197767.07662434847,441.46228,29.365665,   5789,5560,   5560,4539,   6385,5861,   5561,4539,   5563,4539,   5500,4539,   5857,5560,   6391,5861,   6382,5861,   6388,5861,   
21,-42.126663,20,1.8341270405541962E+33,0,0,240579,0,0,656.12866,0,0,1427063.2,-874.8767774528765,-377.0278022029111,1251.9045799505927,-15565.973539010516,-4084.8132889205226,100612.06949800842,369.50406,29.58786,   1238,4207,   4207,1249,   4207,1240,   4220,4216,   1236,4208,   4218,4216,   5952,4216,   4203,4220,   1235,4208,   
22,-49.710793,20,5.019046544947148E+45,0,0,448626,0,0,769.0525,0,0,1856090.4,-805.7348914897846,-580.7638842805018,1386.4987753140997,-19373.97085193513,-15740.311020988189,115550.74889763138,389.7337,30.593203,   6369,6623,   6588,5794,   2165,5794,   6377,6615,   6377,6623,   2061,6623,   6363,5794,   6662,6623,   5789,6615,   
23,-34.656765,20,4.587698032384291E+39,0,0,231886,0,0,508.48712,0,0,1507103.4,-999.4073779944476,-1092.1549564523211,2091.5623348511413,-12038.079182974494,-34163.67869083508,106753.01990126465,347.3515,26.56427,   5407,5482,   5421,5448,   5412,5480,   5456,5482,   5405,6175,   5457,5482,   5463,6167,   5471,6175,   5470,6175,   
24,-370.87744,20,1.626125082752154E+60,0,0,1245067,0,0,557.1748,0,0,12965778,-10330.663660475657,-2950.119795179237,13280.783456423263,-182688.4844783461,-29580.475921222147,1367569.2917119977,492.5845,32.18438,   9,6648,   6648,4423,   552,4405,   162,4408,   779,4408,   121,4408,   4956,4886,   560,4408,   157,4779,   818,4408,   
25,-225.43915,20,3.439174036396133E+54,0,0,2412372,0,0,553.246,0,0,12155351,-5165.290169415949,-2197.3906471052364,7362.68081980748,-100576.98905190745,-40107.86103163301,734207.6840338035,446.1381,30.566948,   1977,6612,   6625,6339,   6625,6341,   1973,6612,   2218,6368,   2228,6384,   2092,6339,   5985,6368,   6559,6335,   6329,6612,   
26,-81.36212,20,4.341388304439545E+46,0,0,1082963,0,0,780.10645,0,0,6258722,-1656.156322593421,-788.1769233937301,2444.3332491523834,-36596.819555423,-15829.035311516704,199256.78240935723,449.8017,30.78591,   3672,6680,   5799,3646,   5827,3646,   3694,5560,   3697,5560,   3719,3488,   3673,3646,   4756,5817,   3490,3724,   3492,5830,   
27,-104.680626,20,3.068998921662569E+49,0,0,503139,0,0,549.3457,0,0,2678327,-2471.2791641415456,-1047.1264660899842,3518.405627811459,-46185.78063433852,-19134.000958972065,370822.55030068976,441.20657,30.539595,   5687,1628,   2516,2846,   2513,2846,   2400,1671,   2534,2831,   2522,2757,   2363,2757,   1619,2846,   1639,5653,   2776,5653,   
28,-107.23607,20,9.820387244459755E+44,0,0,829057,0,0,587.98364,0,0,3265821.8,-2013.6379394055427,-735.8465958676576,2749.4845346788325,-49334.520076993664,-11358.08991329453,255030.8179159616,460.05527,31.626347,   2977,5884,   5884,6058,   2239,5882,   5984,5882,   6058,5884,   6059,5884,   3026,5903,   2232,5882,   5893,6058,   2983,6051,   
29,-38.853428,20,7.408325934820739E+35,0,0,473717,0,0,777.8688,0,0,4232281.5,-657.2231892787213,-489.8160781022622,1147.0392673727536,-16282.983640650025,-9658.669504276335,136017.9503260287,419.08743,30.851685,   5887,6844,   5887,5885,   6844,5885,   5901,6844,   5892,6844,   3816,6887,   6887,6844,   5878,6887,   6881,6887,   
30,-56.568287,20,2.1247732669006707E+41,0,0,536717,0,0,775.31085,0,0,2441264.2,-1175.7914082080495,-744.3943997435804,1920.185811477046,-24250.72942175948,-15685.685966994815,169972.8292489085,428.6983,27.365114,   5868,6504,   5813,4541,   5816,4541,   3246,5795,   5869,6743,   5817,4541,   5867,6504,   5843,4541,   5808,6504,   3235,5795,   
31,-145.0349,20,5.7944301976872666E+48,0,0,899756,0,0,605.8013,0,0,6139363,-3229.1184202637173,-2086.727566928628,5315.845987427177,-57722.97526440181,-60955.25227092574,445090.6293281722,397.9937,26.303524,   5703,5769,   6685,5760,   5730,5715,   2951,5715,   4086,5779,   5726,5715,   2868,5760,   2928,5760,   5759,5228,   2946,6661,   
32,-28.488659,20,2.705001477690229E+29,0,0,362645,0,0,323.8765,0,0,4172288.8,-398.5596933575454,-444.50658897434374,843.0662819268848,-4887.24451547204,-5338.603754112693,53745.89992183936,171.55054,16.851622,   3974,1195,   1195,7374,   3978,1196,   3969,1195,   3970,1195,   3973,1195,   3967,1195,   3968,1195,   
