idx,score,depth,combs,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-310.19254,20,2.47437921338751E+62,0,0,1114768,0,0,569.0695,0,0,9323148,-4583.60530298839,-1712.894010382405,6296.499312937572,-85937.26773156198,-33975.38190229205,397655.86736335355,277.04492,249.70503,   5233,5270,   4172,4137,   607,6716,   7260,7250,   2374,5163,   3038,1270,   660,6297,   6723,5314,   1911,6049,   7127,3100,   
1,-107.760765,20,3.3379159479630006E+61,0,0,308618,0,0,680.80444,0,0,2716458.5,-1730.169332066461,-768.628815315699,2498.7981460153696,-32163.249322436204,-9519.682649656432,146887.49716699962,298.46902,263.60638,   8001,7730,   1140,6826,   6456,6419,   4712,6535,   4710,1280,   344,6648,   5580,8229,   2254,5633,   561,6647,   4200,6534,   
2,-255.1624,20,1.6493677468275952E+61,0,0,568175,0,0,546.3163,0,0,5183921,-3076.6264779178896,-1015.8436551786239,4092.470132499828,-68892.52254309537,-14944.40540874408,259230.61993596808,269.9948,389.80276,   8154,7733,   3175,4094,   2590,5660,   3403,5827,   2647,5199,   497,6241,   807,4989,   7207,7250,   7634,7639,   8309,8394,   
3,-185.30371,20,8.83584100631246E+61,0,0,1481733,0,0,545.28754,0,0,10646975,-2864.0761211033514,-1675.6936936204402,4539.769814183673,-48615.0849038573,-23201.438392378586,262163.04883449344,262.35355,310.4717,   3052,5924,   5465,5449,   7979,7335,   3456,5827,   7602,7752,   7782,7758,   1493,6848,   2120,6637,   8206,7335,   5925,7028,   
4,-147.68144,20,9.834804013830206E+59,0,0,104569,0,0,873.88605,0,0,876045.1,-2091.3805488933726,-843.7584692871428,2935.139019874758,-41904.124818241195,-15258.64355625584,148069.4894742736,283.74673,227.08598,   5561,6376,   5654,5658,   6466,6311,   1202,1205,   2861,5288,   4734,3287,   4997,4908,   1853,5611,   3034,6506,   2729,2800,   
5,-282.86337,20,3.257324107362194E+61,0,0,538441,0,0,435.6306,0,0,3800912.8,-4099.971375934076,-1271.533707884767,5371.5050804572675,-76841.4516336666,-17645.704846712633,324252.8034070357,271.65573,330.62585,   8009,8012,   398,6782,   7279,7265,   2356,4070,   2067,6587,   4025,5765,   8111,7651,   4459,4977,   3247,5855,   7322,7783,   
6,-208.59833,20,2.1938813841063837E+63,0,0,513344,0,0,531.1131,0,0,2228649.2,-3224.973983737054,-1342.7061314020443,4567.680116093884,-60019.24579734815,-20552.085642729053,237925.45809829887,287.7264,234.51999,   1333,3828,   6111,4507,   8000,7728,   1986,6612,   1875,5608,   6411,6420,   6081,5288,   5360,6722,   6256,6234,   748,4980,   
7,-390.2418,20,5.130303484396838E+64,0,0,1082699,0,0,528.5119,0,0,3829537.5,-5619.714873952638,-1622.9966480147164,7242.7115276557115,-113907.63178950263,-26361.029463693023,461446.9900969986,291.8899,229.89796,   4081,6729,   833,4878,   4377,4514,   5229,6335,   8098,7668,   5948,4211,   442,6681,   228,5054,   6699,4275,   291,6782,   
8,-628.74994,20,1.254977298362546E+62,0,0,2399478,0,0,592.92566,0,0,14967983,-9705.799313565536,-3120.1746885656735,12825.974004818692,-181626.12774377712,-35350.91629742637,837685.4798292293,288.86862,287.98215,   1471,6846,   5146,988,   1294,5086,   2685,6772,   7959,7950,   85,4350,   6632,2958,   7402,7769,   1231,5974,   4766,3435,   
9,-130.51965,20,8.328540215172145E+60,0,0,532972,0,0,587.9662,0,0,4396916.5,-2220.2515802931703,-1144.815722717225,3365.0673012061307,-38258.63790312411,-15500.933797919264,220894.05928597026,293.1255,278.77756,   7592,7761,   7652,8304,   5356,5771,   1505,6846,   5642,5631,   4431,4483,   7015,7035,   3046,5924,   7413,7758,   3805,1535,   
