idx,score,depth,combs,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-284.74036,20,3.893853062170809E+29,0,0,863677,0,0,503.08774,0,0,5021878,-4418.923298585853,-1320.1234157310455,5739.046713629853,-82279.66383574942,-15224.04372069252,373980.09622978984,288.96384,36.112934,   2361,5128,   2361,4073,   2361,4072,   2361,1605,   2361,2252,   2361,4071,   2361,2543,   2361,5163,   2361,1628,   2361,5071,   
1,-19.324297,20,4.289530622818138E+26,0,0,41744,0,0,674.43884,0,0,165443.44,-233.71448656695836,-112.96991738210355,346.6844042266291,-5294.886720854353,-2110.7461350711906,20086.587085096067,274.00153,20.705757,   4412,4371,   4412,4375,   4412,4741,   4412,4738,   4412,4781,   4412,4786,   4412,4737,   4412,4780,   4412,4777,   4412,4736,   
2,-116.14656,20,1.5566540866437242E+23,0,0,511841,0,0,513.92444,0,0,1984869,-2202.5732422750207,-1495.5497222820563,3698.1229661773104,-31808.73712070296,-22240.481425953756,227000.26301232493,273.86722,29.358639,   7401,7765,   7401,8179,   7401,7769,   7401,8171,   7401,8155,   7401,7752,   7401,8167,   7401,8172,   7401,8168,   7401,7764,   
3,-87.746445,20,1.3726777898116853E+27,0,0,300174,0,0,518.58936,0,0,1038517.44,-1263.4533367620077,-648.4084694861219,1911.8618067748057,-24893.29529691003,-10923.601612840794,113953.40270721394,283.69577,32.704556,   8365,8094,   8365,8106,   8365,8363,   8365,7721,   8365,8151,   8365,7473,   8365,8429,   8365,8421,   8365,7484,   8365,7466,   
4,-91.08831,20,3.8907622267194936E+27,0,0,142407,0,0,621.6227,0,0,875036.2,-1178.9163186576518,-328.684356365804,1507.6006736931333,-24735.476626814067,-5152.459028124575,92300.82827482195,271.5549,29.616632,   5288,6013,   5288,6333,   5288,6010,   5288,2036,   5288,6350,   5288,6020,   5288,6330,   5288,6016,   5288,2865,   5288,5783,   
5,-62.34669,20,3.873246748301813E+24,0,0,425318,0,0,435.6334,0,0,4059400,-771.8113040236276,-312.3641226101597,1084.1754265465174,-16377.876588674433,-4527.295526761931,63333.24157085874,262.6904,33.204777,   2631,5659,   2631,4255,   2631,5629,   2631,5628,   2631,5627,   2631,5622,   2631,4258,   2631,5623,   2631,5626,   2631,4276,   
6,-175.64307,20,1.0137624524334624E+30,0,0,983591,0,0,397.07996,0,0,3407099.8,-2875.9002532591935,-1282.6119486837176,4158.512202032166,-48348.719159232,-18325.663627458274,285375.0846278379,275.26688,34.05937,   7866,7640,   7866,7447,   7866,8415,   7866,8366,   7866,8367,   7866,7641,   7866,8401,   7866,8062,   7866,8400,   7866,8365,   
7,-23.624723,20,7.990179272194817E+23,0,0,70543,0,0,736.14996,0,0,421380.2,-284.77010414066933,-94.79838009719575,379.5684847089947,-6793.9874292520335,-1441.4669178704016,19434.41888994121,287.57956,25.92632,   5617,5633,   5617,5634,   5617,2460,   5617,5652,   5617,2415,   5617,5646,   5617,2316,   5617,2306,   5617,2298,   5617,2300,   
8,-26.20889,20,60039060699340800,0,0,487872,0,0,518.4845,0,0,1378821,-309.23232998637064,-250.4119117892499,559.6442417047981,-7007.393553519027,-4213.453278467038,38773.150818304144,267.36703,27.9772,   7502,8245,   7502,8247,   7502,8246,   7502,7994,   7502,8248,   7502,7494,   7502,7503,   7502,7501,   7502,7490,   7502,7500,   
9,-174.79367,20,4.995287338521989E+24,0,0,1696833,0,0,283.38504,0,0,6696637,-2979.8204341036094,-1563.3815034511488,4543.201937097768,-49722.24940123891,-21321.17528642421,299198.50724982325,284.46252,22.934475,   8038,8066,   8038,8215,   8038,7512,   8038,8261,   8038,8203,   8038,8212,   8038,8208,   8038,8209,   8038,8201,   8038,8206,   
10,-170.27261,20,1.5566540866437242E+23,0,0,369035,0,0,556.36676,0,0,2801984.2,-2103.8650671516366,-977.7685847641291,3081.633654097486,-47118.11117706508,-14906.18623122086,163805.57763138736,276.7216,29.87604,   1277,6503,   1277,2962,   1277,6576,   1277,6573,   1277,6574,   1277,4542,   1277,6571,   1277,6623,   1277,4556,   1277,6577,   
11,-213.74136,20,4.896718127505052E+28,0,0,776173,0,0,487.30756,0,0,2263568,-3310.0403222531936,-1181.3899964179961,4491.430318774412,-59493.664457431696,-17208.00149761375,275267.36740914267,278.34418,27.11192,   6345,6558,   6345,6557,   6345,6363,   6345,5283,   6345,5279,   6345,2022,   6345,2018,   6345,6752,   6345,6758,   6345,5286,   
12,-111.72192,20,4.287476545455941E+23,0,0,1111305,0,0,329.4111,0,0,1825490.8,-1730.3446678170383,-840.1971653761982,2570.5418331693895,-31609.378438086238,-12315.621618570141,140961.15637818226,282.92908,17.861248,   8280,8188,   8280,8187,   8280,7529,   8280,8183,   8280,7512,   8280,7528,   8280,7521,   8280,8184,   8280,7522,   8280,7437,   
13,-4.935233,20,3.8499789387767635E+23,0,0,7142,0,0,859.6936,0,0,46352.43,-54.693944456018,-50.3091643917176,105.00310885105634,-1130.5177695415985,-785.7332925054949,2230.770036884605,229.0708,16.416521,   7341,7333,   7341,7332,   7341,8066,   7341,7335,   7341,7336,   7341,7337,   7341,8069,   7341,8068,   7341,8067,   7341,7973,   
