idx,score,depth,combs,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-567.0709,20,1.300019566809057E+61,0,0,2104346,0,0,360.395,0,0,9266013,-7479.132522243402,-2937.937945634393,10417.070464533088,-125424.62020223666,-38942.661037210724,569873.9817366836,221.17978,344.10977,   4180,4151,   8130,7808,   7922,7928,   4112,4108,   8289,7808,   4460,610,   7450,7808,   2157,2148,   1855,1897,   5165,1306,   
1,-456.5813,20,1.8878287831312705E+60,0,0,3458677,0,0,413.71533,0,0,16131238,-5044.230348112775,-1923.9825900870044,6968.212934775176,-85748.97396221354,-23356.426992389566,477685.7876529366,187.8066,187.5194,   3180,4151,   3473,3486,   2891,6768,   6089,2148,   5059,5039,   6376,6383,   3114,3115,   4485,5009,   4004,6728,   2369,2270,   
2,-1084.9294,20,4.722187189099086E+62,0,0,1925657,0,0,375.9841,0,0,8029057,-11789.039524464191,-3606.2808034956697,15395.320320793775,-196671.5383688332,-44956.63815666133,736163.8546212815,181.27588,291.5465,   7739,7693,   7844,7808,   7725,7693,   2617,2615,   3942,3147,   346,610,   952,1306,   2877,6763,   6384,1938,   8266,7455,   
3,-1861.9337,20,1.0349517731320536E+65,0,0,3797333,0,0,265.42108,0,0,8792891,-21353.07035875345,-5673.592625416355,27026.66296850255,-342286.1370466763,-62926.18334551276,1313293.535433831,183.83368,256.8844,   1970,2148,   8041,7808,   8075,7895,   1585,1429,   8428,7693,   788,610,   6336,1938,   6265,610,   7712,7693,   1036,1306,   
4,-1059.3148,20,1.0950623251972624E+63,0,0,2637623,0,0,341.3507,0,0,11062770,-12621.538008042106,-3423.4964474531694,16045.034456333276,-216428.24545966365,-35927.186748664644,916093.4542567108,204.30966,179.46837,   1049,1306,   2855,6763,   6042,2148,   1227,5968,   769,610,   3606,4621,   4923,610,   6984,6950,   5236,6763,   1143,1429,   
5,-411.5737,20,6.982409161242859E+61,0,0,952464,0,0,271.49002,0,0,2305001.5,-4113.944837019449,-1975.6166776077828,6089.561510434666,-67676.42773069235,-27495.61824120135,260897.55829171836,164.43332,293.1599,   6956,6950,   8099,7808,   1805,1897,   2106,2148,   4021,6763,   7726,7693,   8276,7513,   4713,4614,   4403,3321,   5800,5817,   
6,-469.0196,20,1.7752567466300366E+61,0,0,2510065,0,0,300.02417,0,0,10821135,-5988.905760622392,-2814.036749872895,8802.94251131168,-95127.31642100363,-41104.29540212274,367999.4797745147,202.82164,248.0854,   2560,2615,   4542,4565,   6939,6950,   2121,2148,   7605,7693,   3045,3115,   3055,3115,   5771,6763,   8277,7511,   2166,2148,   
7,-964.9301,20,1.7937702973064077E+63,0,0,2417615,0,0,294.60126,0,0,9770390,-10891.794861932201,-3307.3167763680044,14199.111635857516,-197889.21463586882,-45543.671830768646,857189.9559154904,205.0814,229.52794,   5769,6763,   7186,7091,   8134,7808,   4794,610,   1836,1897,   6021,3865,   143,610,   2884,6768,   2708,5147,   4837,22,   
8,-1233.3918,20,1.4051142158489096E+60,0,0,1664930,0,0,304.1692,0,0,6924320.5,-13267.386630515579,-4105.321173201381,17372.70779673953,-220944.6896792997,-68457.07817980822,818908.6780332178,179.13583,312.42694,   1124,1429,   5572,3486,   1493,1429,   637,610,   8145,8144,   4131,4135,   3410,3425,   4373,6779,   1570,1429,   2812,2770,   
9,-2826.6562,20,7.898758730573537E+63,0,0,1920673,0,0,176.59776,0,0,7271929,-19755.05872359856,-4524.551927816491,24279.610619928822,-298455.098193404,-43160.1314788422,1095998.1989742634,105.585915,272.64984,   1302,1306,   7893,7808,   8199,7808,   3133,3115,   2650,1291,   1035,1291,   4621,4614,   3180,4151,   856,610,   4680,4614,   
10,-1614.0496,20,1.3781262920745923E+63,0,0,2055608,0,0,356.61646,0,0,6523312,-21014.942194113435,-5079.776524281537,26094.71869876021,-340857.30035354116,-52492.81905945567,1249763.8480831045,211.18144,218.52518,   783,610,   1240,5955,   386,610,   6192,610,   5006,5039,   6572,4565,   4283,4302,   4349,738,   2862,6763,   8416,7693,   
11,-698.4805,20,9.495897704480444E+61,0,0,813791,0,0,407.07474,0,0,5094885.5,-7831.116065639229,-2045.0122810357088,9876.128348449009,-140753.38327433303,-28258.93266636953,488694.6414696045,201.51369,208.34804,   2825,2770,   1599,1429,   1442,1306,   267,610,   8258,8266,   5219,6768,   3631,3486,   6242,610,   1437,1291,   4207,4203,   
12,-1879.8201,20,1.9552767824004722E+64,0,0,3006863,0,0,229.41661,0,0,9470786,-17743.3954180779,-4004.6907623375264,21748.086161667623,-279365.5188663842,-39981.87599266933,1048043.2349336754,148.61292,229.58061,   5629,2615,   7049,7091,   1000,1291,   6841,6858,   2107,2148,   2094,2148,   534,610,   858,610,   453,610,   7860,7808,   
13,-1864.2654,20,1.85729319066061E+63,0,0,1764850,0,0,263.54883,0,0,7713843.5,-18846.75777342671,-4714.445515143981,23561.20328715557,-308768.60414117534,-44905.88553094398,1310655.1329052432,165.6248,279.48352,   2373,2270,   7261,7222,   1533,1291,   708,610,   1511,1429,   6951,6950,   6714,4302,   2422,2270,   8348,7808,   1080,1306,   
14,-851.6754,20,2.0739661000835056E+63,0,0,702923,0,0,274.1267,0,0,2565360,-8546.757965751329,-2036.636355077947,10583.394320085317,-149938.7316859185,-20344.187142221475,492868.5421161808,176.0515,289.89594,   4545,4565,   4789,610,   7265,7273,   2030,2148,   8213,7808,   303,610,   674,610,   4693,528,   7167,7091,   4307,6395,   
15,-537.8923,20,6.517444077678417E+59,0,0,556155,0,0,387.75067,0,0,2679394.2,-5864.41828288653,-1617.7886375709734,7482.206920500915,-120037.89100759404,-21615.55772358139,403212.0607580034,223.16345,277.91092,   5929,5968,   5298,5432,   6219,522,   1599,1429,   4150,4108,   3852,2657,   8023,8016,   2834,2838,   4450,835,   6760,1705,   
16,-680.4297,20,5.5788397779919986E+60,0,0,2730602,0,0,319.17087,0,0,10725927,-7731.402640269921,-2710.7146275579826,10442.117263072068,-135354.2589059526,-34738.21438311355,615020.9677046154,198.9247,312.0774,   3485,3486,   5378,5399,   4796,610,   3598,4614,   6599,1271,   8044,8200,   1395,1306,   7253,7222,   6537,3127,   7247,7222,   
17,-1333.563,20,6.765439044050946E+62,0,0,6050058,0,0,264.77,0,0,17542664,-13308.746585736597,-4307.706043239938,17616.452636028484,-228871.64949012594,-46454.930196232795,1155360.3028257547,171.62418,204.44936,   5249,6768,   2852,6763,   132,610,   2690,1306,   3937,3941,   1883,1897,   4642,4614,   1941,2148,   6251,915,   2154,2148,   
18,-1386.7058,20,7.6175479084035085E+62,0,0,2140190,0,0,319.25558,0,0,5427222,-14971.036183803637,-4404.3917204712825,19375.427900355844,-248196.73644125985,-55924.823378472436,1035306.2567022834,178.98297,293.58243,   4167,4108,   1021,1291,   4418,742,   3299,5011,   5803,5817,   2379,2270,   4927,610,   7814,7808,   798,610,   7337,7984,   
19,-489.83252,20,6.655559556082026E+60,0,0,1697181,0,0,310.70923,0,0,3174362.2,-4708.859082115543,-1646.7892044631915,6355.648289347485,-89074.7141166046,-20349.608215430053,310423.78705057147,181.84727,191.97772,   3491,3486,   5948,5954,   4147,3159,   2246,2148,   3654,3486,   5044,130,   5626,2615,   5276,6763,   3331,81,   1275,4565,   
20,-2475.3877,20,6.92035767015423E+62,0,0,4839247,0,0,228.46928,0,0,13317883,-22195.7382751419,-5875.734866048195,28071.473134993128,-400968.29692390456,-63006.35456846125,1651664.0363158414,161.98203,257.93384,   2253,2270,   193,610,   3341,81,   9,610,   1808,1897,   2989,2076,   435,610,   6489,6395,   4144,3173,   3914,3915,   
21,-1298.7363,20,2.924723589616576E+62,0,0,3143150,0,0,247.23898,0,0,8765478,-12900.247700364594,-4178.441555674835,17078.689264173718,-244842.58448627673,-70515.31650883389,1071678.4436815842,188.5237,297.50317,   4660,4614,   280,610,   4874,543,   985,1306,   1983,2148,   5745,6763,   8352,7808,   6934,6950,   7350,7348,   7481,7808,   
22,-1775.4154,20,2.2873494715919322E+64,0,0,1708609,0,0,250.12021,0,0,6202291,-17008.88990527357,-4255.683990097864,21264.573890088614,-270881.22535615147,-45108.331092336564,1044322.4354476373,152.57343,302.9604,   4605,4614,   8343,7808,   1984,2148,   8273,7455,   719,610,   955,1306,   819,610,   6944,6950,   8419,7693,   7522,7808,   
23,-1171.6864,20,7.1311765668215E+62,0,0,1799817,0,0,298.38672,0,0,4883016,-14402.225780213232,-4042.5727252035977,18444.798491391233,-240855.3165892919,-50325.6117678948,876198.9090584624,205.56296,254.06195,   4229,1897,   5343,6735,   5499,5555,   6650,610,   4413,456,   7651,7693,   1097,1306,   5140,1429,   3184,4151,   352,610,   
24,-347.91815,20,4.3490629515416404E+60,0,0,759033,0,0,357.2511,0,0,7364046,-3727.1718497128295,-1521.0769253059107,5248.248775195367,-67745.92615098864,-24683.831083419336,258294.37606880956,194.718,252.1302,   3775,3787,   6941,6950,   3266,3770,   5189,1291,   7167,7091,   4752,6739,   4407,3321,   4646,3425,   7955,7937,   5290,6768,   
25,-543.57367,20,5.73058171529181E+60,0,0,1323162,0,0,500.6777,0,0,6449426.5,-6049.625050727574,-2632.658583611655,8682.283631195221,-109985.07084532057,-33127.390517763146,433355.1865564044,202.337,268.8591,   1770,1897,   8245,8233,   1001,1306,   3599,4614,   4767,250,   5921,5968,   7447,7808,   5895,2992,   3786,3787,   4262,2615,   
26,-1511.6741,20,1.419125284854233E+61,0,0,1435424,0,0,368.6415,0,0,4615748.5,-11575.6427867762,-2698.970286726807,14274.613073499697,-201248.4231217228,-28191.159459956,729425.3144395007,133.1295,232.58142,   1735,1705,   5972,5968,   6944,6950,   6185,610,   335,610,   1785,1897,   2579,2615,   4626,4614,   6896,6898,   2272,2270,   
27,-1254.8726,20,3.6030576364947976E+61,0,0,2186728,0,0,362.89178,0,0,8425151,-15519.871530196056,-4762.094141757884,20281.9656706377,-272540.15948990587,-64441.51665697732,1295638.4314220557,217.18553,251.34334,   7393,7385,   3620,3486,   1851,1897,   2046,1938,   1857,1897,   34,610,   6494,3233,   3268,3770,   7542,7693,   457,610,   
28,-389.59644,20,2.676019049448301E+61,0,0,1348563,0,0,339.67947,0,0,3838669.5,-4398.115982652806,-1213.7391428784495,5611.855127659047,-69718.73211975876,-15023.954203739184,247418.4510421531,178.95116,230.90619,   2556,2615,   5445,5381,   5361,6735,   7913,7808,   6442,220,   571,610,   1304,1291,   5492,6768,   4585,3461,   4732,4614,   
