idx,score,depth,combs,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-442.3598,20,4.804379628255568E+18,0,0,550390,0,0,344.61984,0,0,2778047,-4058.650473330119,-1436.117929751819,5494.7684013037715,-82471.12135986082,-24646.01941783937,302407.1246422424,186.4345,65.204414,   5225,6763,   6763,5757,   5757,5751,   5751,5705,   5705,1648,   1648,2535,   2535,6709,   6709,2255,   2255,5621,   5621,5098,   
1,-1003.8524,20,1.1066438824011647E+21,0,0,3592920,0,0,198.71532,0,0,1660380.9,-5977.309877823426,-1346.5020824811043,7323.8119618792925,-104358.61032464537,-14796.511865470338,324833.6194946103,103.95812,34.754593,   113,610,   610,615,   615,620,   620,127,   127,151,   151,155,   155,5038,   5038,5037,   5037,5011,   5011,6713,   
2,-1274.8066,20,8.633250993641472E+17,0,0,2367099,0,0,220.37291,0,0,12460601,-9799.598115304905,-2992.108606975977,12791.706718540696,-181754.48427867444,-34599.77128092389,843544.0099333072,142.57416,50.000713,   4082,1705,   1705,2357,   2357,2270,   2270,2261,   2261,2255,   2255,5620,   5620,5154,   5154,5147,   5147,5148,   5148,5145,   
3,-962.1325,20,4.985376671857104E+17,0,0,1874194,0,0,318.40567,0,0,11485396,-8729.099131599993,-2717.959830943757,11447.058954242799,-159318.15499199321,-29242.19315135972,626790.3323992608,165.58858,51.7055,   6848,3853,   3853,2664,   2664,1291,   1291,984,   984,5100,   5100,5098,   5098,5159,   5159,5122,   5122,6728,   6728,1206,   
4,-3658.1536,20,6.227888245432118E+22,0,0,1976510,0,0,130.99045,0,0,4490579,-13305.307549262174,-2642.5864923351373,15947.894039805798,-233697.74867019468,-30091.668212362703,815375.735284853,63.884075,22.013979,   537,610,   610,915,   915,668,   668,672,   672,585,   585,6266,   6266,3425,   3425,3423,   3423,3420,   3420,3697,   
5,-834.3965,20,1.203109901616168E+20,0,0,1694360,0,0,271.08524,0,0,4472085,-7527.991928258307,-2887.1069958331223,10415.098922112582,-134577.83519276875,-44966.22882021921,509387.20437336765,161.28763,53.75429,   5875,2148,   2148,1991,   1991,1984,   1984,2047,   2047,2063,   2063,6356,   6356,6360,   6360,5550,   5550,3486,   3486,3283,   
6,-958.4818,20,8.230181441104001E+21,0,0,926469,0,0,159.8548,0,0,2111116,-5419.607424361396,-1168.6296575231486,6588.237083711137,-92609.86456013241,-15229.914920857831,295942.98989891185,96.621414,30.180473,   6694,610,   610,779,   779,835,   835,738,   738,732,   732,4464,   4464,4461,   4461,4471,   4471,4518,   4518,3795,   
7,-748.9435,20,22963681649491968,0,0,5067117,0,0,191.21686,0,0,24152158,-5120.573287970813,-1937.892808653359,7058.466094679274,-101081.67606838461,-24880.070446918537,451800.4372985074,134.9657,45.219696,   6012,2148,   2148,1983,   1983,6561,   6561,6566,   6566,6594,   6594,6604,   6604,6573,   6573,2963,   2963,2969,   2969,6897,   
8,-1500.4946,20,1.1139559517995776E+18,0,0,1500165,0,0,219.277,0,0,5179081,-9599.76334668044,-2664.1920146207117,12263.95536297484,-164364.76940346308,-26246.12170782414,621206.4869411231,109.54039,32.288136,   1495,1429,   1429,984,   984,1118,   1118,1087,   1087,1370,   1370,1380,   1380,4074,   4074,4076,   4076,4079,   4079,6072,   
9,-136.63661,20,665849349734400,0,0,584754,0,0,588.78455,0,0,2849238.8,-1573.5648235734234,-1620.213569018039,3193.77839161197,-29684.67102080281,-63785.12488686335,146637.34191850055,217.2527,83.759384,   5457,5470,   5470,5381,   5381,5436,   5436,5435,   5435,3751,   3751,3760,   3760,5503,   5503,5521,   5521,5496,   5496,6388,   
10,-479.51215,20,14674887127296000,0,0,1174327,0,0,342.18488,0,0,4130007.5,-4031.287599560848,-1690.4577914147717,5721.74538911421,-67889.0472183217,-19334.565151240702,296643.12783844565,141.5794,60.558556,   4631,4614,   4614,4611,   4611,4716,   4716,6521,   6521,6495,   6495,6511,   6511,3115,   3115,3117,   3117,3061,   3061,3088,   
11,-172.8247,20,675956352614400,0,0,769842,0,0,578.62726,0,0,3617448,-2250.0208665271625,-1987.1515528502105,4237.172419182363,-32784.76512565073,-67005.44602469495,194580.35150772738,189.69952,74.92165,   5416,5458,   5458,5470,   5470,5381,   5381,5436,   5436,5435,   5435,3751,   3751,3760,   3760,5503,   5503,5521,   5521,5495,   
12,-1823.0432,20,7.58581708387133E+22,0,0,1737749,0,0,184.69023,0,0,3351830.5,-12398.660704789701,-2408.3060745029698,14806.966771174055,-219156.96059103223,-23677.52524882854,681595.2095405005,120.2149,38.50386,   4488,3321,   3321,610,   610,897,   897,899,   899,903,   903,528,   528,3425,   3425,3436,   3436,3437,   3437,3410,   
