idx,score,depth,combs,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-100.361984,20,2.7677598861614423E+23,0,0,551011,0,0,260.55832,0,0,946544.25,-1361.9742138097529,-1405.7429841290223,2767.7171981993,-20192.520330816827,-31510.42949852948,135181.7754808711,201.1969,14.689352,   4445,6779,   4445,4434,   4445,6094,   4445,4432,   4445,6112,   4445,6117,   4445,6157,   4445,6114,   4445,6109,   4445,6113,   
1,-19.732616,20,1.4134982367326698E+22,0,0,101483,0,0,365.51767,0,0,346154.28,-358.93457814365644,-201.05162371243523,559.9862027143006,-4979.502666879775,-2281.0824354849133,19055.411586718572,252.34882,7.3007936,   7257,7222,   7257,7217,   7257,7233,   7257,7218,   7257,7244,   7257,7245,   7257,7216,   7257,7224,   7257,7234,   7257,7221,   
2,-72.67787,20,2.537570057657928E+22,0,0,2307214,0,0,242.43257,0,0,9362630,-1377.9679335956273,-873.3275344989988,2251.2954682717977,-16153.113277636387,-9581.667479301614,97952.89441277378,222.25627,6.9594603,   7272,7222,   7272,7217,   7272,7233,   7272,7218,   7272,7244,   7272,7245,   7272,7216,   7272,7224,   7272,7234,   7272,7212,   
3,-2421.331,20,2.158352315630278E+34,0,0,2312564,0,0,176.53189,0,0,3597482.5,-16172.902092098704,-2960.0337685756735,19132.935854912957,-251507.40808091508,-27872.646516901565,853789.7792371714,103.87155,8.328209,   641,610,   641,897,   641,779,   641,899,   641,250,   641,901,   641,891,   641,599,   641,859,   641,543,   
4,-499.03815,20,1.2144139780379275E+22,0,0,1125244,0,0,197.37592,0,0,3217445.8,-4984.857970061436,-2222.593105862297,7207.4510792061365,-79212.93625659817,-19842.280776774074,452424.50879026647,158.73123,21.370903,   4287,4302,   4287,4345,   4287,4287,   4287,4347,   4287,3519,   4287,3534,   4287,4293,   4287,6714,   4287,3518,   4287,4306,   
5,-265.6689,20,9.554133447449358E+25,0,0,1717562,0,0,239.091,0,0,4690178.5,-3383.599311064452,-1350.8670410239515,4734.466356208939,-43023.52987498088,-10640.574905118125,229574.35957304167,161.94417,8.920612,   4641,4614,   4641,4615,   4641,4617,   4641,4611,   4641,3572,   4641,4621,   4641,4732,   4641,4628,   4641,4612,   4641,4622,   
6,-438.36725,20,4.592441585415377E+24,0,0,1360361,0,0,164.72108,0,0,3252801.5,-1886.489920690514,-777.3262315637792,2663.816153878748,-29698.291148417098,-9049.654348613627,83460.17327371768,67.74751,9.346722,   2566,2615,   2566,2593,   2566,2566,   2566,6766,   2566,6668,   2566,2613,   2566,2597,   2566,2616,   2566,2606,   2566,2575,   
7,-459.79767,20,1.2076072403194303E+31,0,0,1127838,0,0,332.8198,0,0,2983384.2,-6105.258678441243,-1491.487552262211,7596.7462362516835,-125846.1966553425,-19832.109565663573,503750.15750624985,273.69907,8.336804,   4476,859,   4476,543,   4476,350,   4476,356,   4476,835,   4476,546,   4476,777,   4476,783,   4476,548,   4476,354,   
8,-431.68982,20,1.1459399735617487E+30,0,0,822763,0,0,248.7014,0,0,2067912.9,-4410.022568530303,-1063.530304222225,5473.552866699502,-73506.21873456727,-9412.743388411007,235520.24704355752,170.27554,10.655242,   1088,1306,   1088,1291,   1088,1299,   1088,984,   1088,1051,   1088,1298,   1088,1047,   1088,1037,   1088,1292,   1088,978,   
9,-5587.213,20,3.673530113178173E+34,0,0,5504007,0,0,180.39352,0,0,9607577,-31107.900838724978,-6009.864225769691,37117.76507910775,-521215.0806738012,-63889.78229915116,1824098.479084837,93.28714,8.135764,   172,610,   172,897,   172,779,   172,899,   172,250,   172,901,   172,891,   172,599,   172,859,   172,543,   
10,-534.75287,20,6.777867909435943E+29,0,0,5177682,0,0,316.2734,0,0,13349050,-7897.432160462529,-2243.09541410644,10140.527581885648,-149292.21082614473,-24376.19639790891,882910.0004487972,279.1798,7.569187,   6250,610,   6250,897,   6250,899,   6250,901,   6250,915,   6250,898,   6250,910,   6250,627,   6250,908,   6250,618,   
11,-637.01904,20,9.648547164910287E+29,0,0,1448404,0,0,201.55817,0,0,2148482.5,-5045.971487630418,-1222.0350320168568,6268.006519902159,-84551.48804804176,-11074.060359778287,279827.62713123433,132.72992,9.972596,   1093,1306,   1093,1291,   1093,1299,   1093,984,   1093,1051,   1093,1298,   1093,1047,   1093,1292,   1093,1037,   1093,978,   
12,-291.59323,20,2.0697777039723374E+30,0,0,317414,0,0,216.8054,0,0,711482.3,-2124.688709553349,-442.8085181934525,2567.497228039111,-40635.0128650872,-4326.159826225972,104609.71683220302,139.35513,11.383652,   1408,1306,   1408,1291,   1408,1299,   1408,984,   1408,1051,   1408,1429,   1408,1298,   1408,1292,   1408,1047,   1408,1037,   
13,-134.61795,20,8.900673876302822E+21,0,0,741299,0,0,643.6734,0,0,4806217.5,-2041.7570168821521,-1005.962854845582,3047.719872120484,-33850.75217639406,-12543.26355706803,186131.59185910926,251.45796,24.982607,   5928,7199,   5928,7020,   5928,7019,   5928,5968,   5928,7024,   5928,7021,   5928,7027,   5928,5967,   5928,5937,   5928,3097,   
14,-9.347858,20,30612556800,0,0,202206,0,0,596.901,0,0,2256039.5,-122.57691635323354,-128.0447607855984,250.62167713615037,-2882.0430671395957,-2971.099939695132,7182.199380041632,308.31052,32.77992,   5580,5578,   5580,8234,   5580,8229,   5580,8232,   5580,5579,   5580,5575,   5580,5574,   5580,8243,   5580,5580,   5580,5577,   
