idx,score,depth,combs,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-515.4834,20,2.705001477690229E+48,0,0,934553,0,0,257.17715,0,0,2744372.5,-4323.901563770231,-1563.359498699015,5887.2610591472585,-76036.66966826069,-23967.337946987027,267431.74890801235,147.50557,19.1465,   1657,1719,   1629,1719,   6760,1719,   1729,1719,   4035,1719,   1687,1719,   5707,1719,   1707,1719,   1622,1719,   1613,1719,   
1,-1553.7351,20,6.788225619721426E+61,0,0,3189849,0,0,249.3455,0,0,7043577,-14986.679470767298,-2892.336295192577,17879.015744482407,-210767.86707615014,-27981.69204044011,741520.0453571894,135.65237,16.203274,   920,0,   180,0,   712,0,   787,0,   529,0,   720,0,   670,0,   773,0,   767,0,   443,0,   
2,-1237.2163,20,1.1394228417327675E+55,0,0,4692939,0,0,313.35532,0,0,18906324,-22931.154673034845,-6356.044038330475,29287.19870454746,-380507.356293721,-59132.612121388236,2253896.309651479,307.55118,28.360462,   2653,6759,   5077,6759,   1130,6759,   2636,6759,   2640,6759,   1340,6759,   1415,6759,   1330,6759,   1545,6759,   1145,6759,   
3,-167.18207,20,1.8281370648767026E+32,0,0,199375,0,0,177.97798,0,0,753564.8,-1124.9074425148422,-563.8408762294516,1688.7483210865319,-20798.287542454233,-7210.059226848377,60256.1767652025,124.405014,16.324013,   6823,6838,   6830,6838,   6821,6838,   6841,6838,   6840,6838,   6846,6838,   6824,6838,   6835,6838,   6836,6838,   6818,6838,   
4,-1622.6688,20,5.583557390285441E+49,0,0,6316317,0,0,225.7064,0,0,23311608,-21753.38097079415,-8719.32494849765,30472.70591566324,-359674.31487501215,-134176.06837299198,2633396.226303397,221.65602,21.59465,   2070,6756,   2043,6756,   1973,6756,   2174,6756,   2022,6756,   1985,6756,   2067,6756,   5266,6756,   5219,6756,   2072,6756,   
5,-1237.9316,20,4.413740870298941E+61,0,0,2723625,0,0,288.405,0,0,8012151,-14710.139532563724,-2943.4956989521515,17653.63522463949,-224569.00662643148,-30780.633908542255,817691.8403048125,181.40662,23.921457,   654,0,   747,0,   626,0,   62,0,   6224,0,   6647,0,   828,0,   5041,0,   290,0,   443,0,   
6,-1780.5286,20,2.3330997337190628E+61,0,0,3265395,0,0,280.86807,0,0,10552219,-20142.60006875034,-3955.630168390673,24098.230208598772,-307000.24157866405,-39608.39583754386,1265783.0483052568,172.42085,20.89252,   440,0,   319,0,   762,0,   259,0,   293,0,   810,0,   294,0,   3420,0,   894,0,   817,0,   
7,-1285.1901,20,9.820387244459755E+44,0,0,2780542,0,0,213.83629,0,0,15389323,-14647.75754643055,-5286.728909888343,19934.48645992046,-287922.6784876742,-63779.79839388938,1683319.7996140537,224.03122,29.0484,   2977,2239,   2239,2239,   2245,2239,   5873,2239,   5898,2239,   2237,2239,   6035,2239,   2982,2239,   5899,2239,   
8,-332.13605,20,8.602545874620036E+42,0,0,614637,0,0,306.91086,0,0,3220539.5,-5212.320626239066,-2247.52279465262,7459.843422125289,-101413.35864459371,-28130.71013229205,534137.4090710708,305.3368,23.065573,   6617,4531,   6583,4531,   6594,4531,   1276,4531,   6609,4531,   6618,4531,   6589,4531,   6596,4531,   6593,4531,   
9,-379.00226,20,2.643255634044809E+50,0,0,2541157,0,0,252.38445,0,0,7382002,-3839.838262880202,-2128.158710235851,5967.996974929698,-58081.331903360384,-29640.145684455583,240181.40411871683,153.24799,15.371729,   7703,7563,   7693,7563,   7615,7563,   7567,7563,   7729,7563,   7722,7563,   7721,7563,   7696,7563,   7595,7563,   7629,7563,   
