idx,score,depth,combs,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-1341.7133,20,2.16273458028598E+63,0,0,1963479,0,0,177.78423,0,0,5397776,-11389.193389043465,-3344.5708450722973,14733.764215049376,-161244.66383336828,-34702.11716556757,547739.3665907067,120.17818,198.83824,   1897,1813,   2759,2738,   571,0,   687,0,   3536,3549,   1023,6759,   4803,4880,   2088,6756,   2711,2738,   6475,6436,   
1,-1269.9546,20,2.1716187294907166E+64,0,0,3253051,0,0,205.59386,0,0,10256069,-12490.511190418829,-3651.2712418387473,16141.7824288116,-190344.41626646274,-39786.96504735108,733880.583801142,149.88286,208.46565,   3046,1162,   899,0,   2309,6732,   6743,5812,   156,0,   2310,6732,   855,0,   1817,1813,   6395,3528,   5682,6732,   
2,-1453.8127,20,1.2625308031347479E+64,0,0,3074483,0,0,273.64862,0,0,9666060,-13608.483410016079,-4048.123008092822,17656.606405189086,-202326.54257869453,-44561.950643312615,715501.6086052374,139.1696,286.38895,   2685,1382,   8324,7855,   7571,7563,   7409,7401,   8149,7563,   599,0,   2186,6756,   4410,4419,   4260,2558,   750,0,   
3,-1275.1034,20,5.203455990353898E+63,0,0,4507801,0,0,245.59465,0,0,13810124,-12635.498688194806,-4011.328499485616,16646.827177556657,-208760.08629439818,-44317.32166318176,826575.0724594155,163.72012,184.41069,   3022,3014,   3333,3321,   5279,6761,   479,0,   698,0,   3840,3014,   6642,0,   5824,5812,   5598,1813,   7131,7176,   
4,-1064.0928,20,3.918314245918975E+61,0,0,1772252,0,0,192.17116,0,0,5903421.5,-8507.112734516957,-2979.2379634184,11486.35069996515,-144267.12332633635,-37065.140130194275,579947.705764853,135.57758,269.32578,   4083,1719,   6587,6756,   4440,4419,   2106,6756,   1578,6790,   4270,2558,   3544,3549,   7953,7942,   6963,6972,   1007,6759,   
5,-589.5379,20,3.506404835096471E+62,0,0,3383757,0,0,368.94446,0,0,16636533,-8225.912404035806,-3121.2126311730453,11347.125024320365,-118736.5920120057,-40323.70059869541,444377.06849625835,201.4062,281.44345,   4256,2558,   8311,7855,   6223,0,   7531,7563,   1848,1813,   756,0,   7740,7593,   3374,504,   6178,5410,   3999,5117,   
6,-1116.5977,20,2.387955303059533E+61,0,0,3620633,0,0,179.68414,0,0,10362476,-8676.140116485934,-3404.7319570426343,12080.872074363291,-141070.40751246785,-52819.797575153265,718912.1227682185,126.339516,262.07053,   4567,4562,   7180,7176,   7666,7563,   4814,4867,   5926,1162,   4165,4108,   3548,3549,   3261,3263,   7802,7855,   2250,6756,   
7,-1144.2842,20,4.503597300560521E+62,0,0,3154204,0,0,205.80737,0,0,7756635.5,-10532.071062412055,-3566.034183842312,14098.105235468183,-187074.63129660737,-48522.87605955126,852833.6227801364,163.48616,224.22289,   7421,7401,   1276,4562,   4649,3410,   2162,6756,   4793,0,   2120,6756,   5828,3410,   6273,0,   1415,6759,   6926,6931,   
8,-980.19434,20,7.76913240332831E+62,0,0,1069231,0,0,214.82358,0,0,2979934.8,-8758.843738208314,-2799.139444088908,11557.983171874233,-135015.217027209,-34744.59840798624,509827.3754374801,137.74332,273.38965,   5804,5812,   759,0,   7495,7563,   6099,4435,   8351,7855,   5922,5955,   2553,2558,   1284,6759,   6021,3014,   585,0,   
9,-1167.5751,20,1.0586267274279573E+63,0,0,2415581,0,0,249.2362,0,0,15059748,-10578.106175337429,-3771.413070433623,14349.519224584337,-172751.36563500468,-54906.07473275987,633763.6014994959,147.95738,233.95303,   1718,1719,   3624,3483,   5349,3263,   8321,7855,   8396,7855,   4016,6761,   3448,504,   6396,3528,   4604,3549,   800,0,   
10,-1360.5698,20,6.065975112807372E+60,0,0,3149006,0,0,117.13293,0,0,5889227,-6425.3739595338575,-2264.78436328643,8690.158332811357,-101667.90459734666,-28296.32923106587,409554.24799568584,74.7245,215.06697,   6902,6901,   1960,6756,   6685,6761,   1113,6759,   960,6759,   880,0,   3998,3996,   2131,6756,   5432,5435,   7410,7401,   
11,-1142.3844,20,6.39023117873335E+60,0,0,1649710,0,0,310.88425,0,0,6061966,-10112.693637623684,-3091.318351978561,13204.011984382254,-186870.1391048882,-36011.15356586821,563732.739315398,163.57904,262.30283,   5101,966,   3053,1162,   3869,6759,   2298,6732,   3781,3733,   4542,3232,   8027,8023,   6140,6140,   2485,6732,   5013,4961,   
12,-1095.9224,20,6.655808127249085E+60,0,0,3613183,0,0,291.495,0,0,12545456,-14060.616043126867,-4890.417249153357,18951.033272097786,-225244.0567061623,-68988.33475469744,948931.5355387201,205.52922,273.17978,   892,0,   1850,1813,   5422,5464,   727,0,   6212,504,   2875,6761,   7922,7928,   4505,4435,   6037,2239,   2981,2239,   
13,-1017.7768,20,1.8220194308472675E+62,0,0,1922279,0,0,198.1008,0,0,6112171,-9163.695306300642,-4871.945592293237,14035.640895220506,-143744.03800594903,-93620.66594732442,741629.9829665285,141.23335,163.19441,   4017,6761,   1813,1813,   2527,6732,   2940,6761,   6121,4435,   380,0,   2427,6732,   6104,3788,   2945,6761,   6570,2965,   
14,-1140.7672,20,7.228896387357686E+63,0,0,7002073,0,0,283.7539,0,0,8392968,-9559.075446413586,-2447.398510586862,12006.473967793812,-154361.39267204562,-27647.02802931868,559964.5422441877,135.31366,151.70636,   1977,6756,   6376,6388,   44,0,   1145,6790,   4852,0,   4968,4961,   3736,3733,   4958,3321,   2420,6732,   307,0,   
