idx,score,depth,combs,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-992.7384,20,2.729584826348203E+28,0,0,1362472,0,0,334.7436,0,0,5154302,-8914.027722908748,-3334.7405649200095,12248.768279176817,-164493.70375624808,-36365.73495691562,586379.5393877893,165.69693,19.124973,   3854,6790,   3854,6788,   3854,2665,   3854,3809,   3854,6789,   3854,1130,   3854,1453,   3854,2640,   3854,1525,   3854,7197,   
1,-613.77814,20,4.525219118577376E+26,0,0,1480124,0,0,278.1691,0,0,12712741,-6373.426366633222,-2577.1910635256204,8950.61742813374,-95266.15244574219,-26423.605891498595,360007.9148026513,155.21269,17.481524,   7052,7176,   7052,7011,   7052,7144,   7052,7199,   7052,7200,   7052,7162,   7052,7060,   7052,7138,   7052,7064,   7052,7056,   
2,-738.5092,20,5.299128314608466E+23,0,0,2869222,0,0,246.73367,0,0,13032354,-6167.845929819859,-2118.7805781042757,8286.62649819415,-144202.11215448953,-26807.00403549277,627600.8872189189,195.26108,19.265623,   3396,3410,   3396,3396,   3396,4581,   3396,3388,   3396,3455,   3396,5855,   3396,3386,   3396,3416,   3396,4650,   3396,4578,   
3,-1130.3201,20,9.05845905372869E+28,0,0,2329551,0,0,299.99042,0,0,12499976,-12697.258529971708,-3739.7361859290218,16436.994719160986,-215834.99537970484,-38098.54558925848,1011180.8622756077,190.95033,22.52386,   2294,6732,   2294,2290,   2294,2320,   2294,6733,   2294,2368,   2294,2518,   2294,2457,   2294,1103,   2294,2465,   2294,5065,   
4,-1447.2053,20,1.9652842349576242E+26,0,0,8071042,0,0,197.26141,0,0,36972040,-12012.373646091419,-5072.176996273633,17084.55062978176,-175006.1488417568,-53341.16690085225,979724.508362413,120.92697,16.145733,   7183,7176,   7183,7011,   7183,7144,   7183,7199,   7183,7200,   7183,7162,   7183,7060,   7183,7138,   7183,7056,   7183,7010,   
5,-857.3042,20,6.437753252842013E+29,0,0,1133844,0,0,281.44656,0,0,2917142.8,-9481.996949947685,-2636.98630714019,12118.983245904818,-152321.3223758872,-23346.18545110733,725352.2019543243,177.67477,23.530169,   1544,6790,   1544,6788,   1544,1382,   1544,2665,   1544,3809,   1544,966,   1544,6789,   1544,1130,   1544,2651,   1544,1453,   
6,-1570.24,20,2.9955004323010213E+27,0,0,4953407,0,0,276.98917,0,0,16084045,-15148.211390115357,-4369.580854324615,19517.792236834215,-335379.3171373157,-54587.880149633296,1382910.076010579,213.58475,24.651934,   3460,3410,   3460,3718,   3460,3396,   3460,3436,   3460,3431,   3460,3419,   3460,6267,   3460,3369,   3460,6322,   3460,6286,   
7,-439.0507,20,7.422467925417981E+25,0,0,804379,0,0,338.37012,0,0,4817556.5,-3550.9745444873447,-1695.5149237647959,5246.489467537593,-74528.1190651787,-30092.628112959872,284441.53363976575,169.74832,24.171165,   3491,5549,   3491,3483,   3491,5546,   3491,3287,   3491,3486,   3491,3283,   3491,3676,   3491,3290,   3491,3615,   3491,3492,   
8,-43.226078,20,3.3581772902338744E+22,0,0,130724,0,0,988.4537,0,0,2265300.2,-544.4377693273988,-338.0541116570344,882.4918810748338,-11312.605533096517,-5606.239791009282,45680.170762894195,261.7079,27.593882,   4556,3123,   4556,4562,   4556,3117,   4556,3111,   4556,4565,   4556,7128,   4556,3115,   4556,3063,   4556,1279,   4556,1260,   
9,-294.25092,20,1.3488173503574748E+33,0,0,771645,0,0,348.22485,0,0,1623535.2,-4249.841199182646,-815.9190605774638,5065.760265156188,-69418.45927516908,-8937.189639171134,254532.98592872778,235.91588,9.604386,   489,0,   489,944,   489,939,   489,946,   489,187,   489,778,   489,504,   489,937,   489,185,   489,6658,   
