idx,score,depth,combs,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-725.1307,20,3.8425527086249426E+63,0,0,474371,0,0,122.23293,0,0,1502286.4,-3663.121255763968,-769.2384895702053,4432.359746202377,-58496.87791962875,-7307.255752611133,203947.93276509052,80.67081,254.30865,   559,6787,   3306,3306,   4339,4336,   26,6787,   386,6787,   7565,7626,   5165,5162,   1171,1179,   3984,3981,   5724,6763,   
1,-717.23737,20,1.1903566327289586E+64,0,0,778375,0,0,122.82462,0,0,1671802.8,-3920.8872418019796,-1366.7960946295777,5287.683338393261,-62217.856291975826,-16985.41091421042,224067.83599813408,86.74654,252.96857,   6183,6694,   2251,6758,   1119,6774,   2166,6758,   2621,2631,   3124,3118,   3064,3118,   8131,8435,   2561,6767,   7833,7859,   
2,-109.47121,20,1.764745706088859E+58,0,0,419121,0,0,178.007,0,0,1783088.4,-667.7058939486147,-376.25559653066955,1043.9614912799923,-10214.72533486985,-5446.594847133227,29524.942233045997,93.3097,335.50275,   5544,5551,   2785,2801,   1664,6760,   7287,7291,   7350,7348,   5970,5968,   6409,6406,   8291,8428,   7648,8435,   1826,5591,   
3,-204.59842,20,3.6884525021399224E+58,0,0,245362,0,0,132.3117,0,0,597062.25,-1035.909117670841,-516.6078493295873,1552.516966660528,-14755.146598711097,-10361.97135365437,49811.52763945966,72.1176,261.75476,   5132,5130,   962,6774,   5950,5950,   5300,5299,   5971,5968,   3548,4632,   3966,3969,   3952,3952,   6217,6217,   2589,2581,   
4,-582.60785,20,3.5748304848361926E+60,0,0,138646,0,0,74.565445,0,0,387062.62,-1604.4895534854184,-337.1349471418498,1941.6245000683998,-27091.51900495498,-4790.215903798938,99798.25401278173,46.500435,289.88916,   4613,4613,   4310,4310,   6106,6683,   2799,2801,   508,6787,   8166,8165,   7222,7222,   1489,1489,   2028,6758,   5450,5450,   
5,-1046.8236,20,3.822182199912598E+63,0,0,1107451,0,0,143.68405,0,0,1999177.5,-5680.375984730258,-1221.1069884308474,6901.482973338665,-102659.55332875326,-14695.08597227624,320705.3661429034,98.06767,247.3291,   298,878,   2358,2357,   5959,5959,   7255,7270,   3538,4664,   3717,6739,   6406,6406,   6204,6694,   2434,6733,   582,6786,   
6,-199.22623,20,1.2239034528717737E+61,0,0,117901,0,0,170.8611,0,0,250878.83,-657.7120128976572,-356.96816131070904,1014.6801738301907,-12847.452737683912,-7620.969157775658,22081.1336539623,64.486755,191.2503,   5501,5365,   5801,5799,   4005,4005,   6092,6096,   7557,7626,   2671,2668,   3779,6731,   5165,5165,   1421,1427,   5533,5551,   
7,-886.02985,20,1.0179492748622828E+63,0,0,637398,0,0,82.1819,0,0,813484.75,-1984.5274256742246,-661.9587077035593,2646.486133205449,-35222.56592841036,-9839.09620174244,100399.49221437125,39.75325,159.41864,   3026,6078,   1979,6758,   4421,4419,   5538,5550,   754,6650,   6308,6308,   5457,5401,   6242,6244,   5119,5119,   1115,6774,   
8,-110.17507,20,2.1043810199984752E+62,0,0,121577,0,0,145.28197,0,0,238913.89,-448.5692643493601,-169.7159867554614,618.2852508964185,-9190.220658576489,-1944.9439615475985,16761.941388501167,83.4147,281.71765,   4942,4941,   8185,8401,   2427,6709,   4583,6696,   1140,1142,   1439,1442,   2315,2315,   2586,2581,   7746,7757,   3354,3342,   
9,-1018.6062,20,4.021237167093403E+60,0,0,433497,0,0,139.19633,0,0,1170865.1,-3724.7671148640898,-716.5704641350653,4441.337578899262,-60018.296886253804,-7631.736364661639,180883.84354295974,58.92198,333.80127,   4444,4446,   6197,6787,   7280,7283,   4663,6679,   2983,2982,   6951,6951,   8016,8018,   73,6787,   5687,5688,   2925,6763,   
10,-1404.2672,20,2.4985407457226735E+61,0,0,1795092,0,0,79.21182,0,0,3440533,-4053.1693077305163,-1140.7148098836076,5193.884116763232,-68344.43151946068,-11408.028171233831,251865.1585252353,48.669106,156.45633,   5164,6741,   1284,6773,   7133,7133,   1808,6750,   7195,7195,   1205,1205,   1171,1179,   1476,1489,   4049,4050,   1049,6774,   
11,-154.03664,20,1.528355572110258E+60,0,0,319850,0,0,258.15973,0,0,899412.6,-965.5202492480395,-521.654702877106,1487.174950962142,-15714.063356120176,-8999.04309880634,62719.6928549699,102.01511,315.77847,   7313,7313,   4140,3181,   5560,3479,   3664,3497,   5436,5434,   4321,4293,   7466,8401,   7473,8401,   3891,6074,   1795,6750,   
12,-235.37047,20,1.2852286320852028E+62,0,0,248535,0,0,202.19998,0,0,1023147.5,-1542.1128318670624,-565.957812884879,2108.07064213594,-26574.284601177533,-6759.199325457138,73828.31993904573,112.904076,249.01404,   6684,4019,   5181,5184,   4951,6787,   5666,5665,   8080,8435,   7109,7200,   2544,2545,   3510,3518,   4218,4218,   1060,1060,   
13,-602.2263,20,9.824222728160665E+61,0,0,623504,0,0,150.04227,0,0,1817153.1,-3335.091186997365,-1171.073450593976,4506.164637905148,-47703.53540730388,-12669.77031457599,202085.23159073124,79.211975,284.57663,   905,6787,   4454,4471,   1855,6698,   5640,5642,   7820,8415,   5818,5844,   7404,8173,   5629,5629,   5405,5458,   8411,8408,   
14,-583.9983,20,4.917055836387094E+61,0,0,469561,0,0,78.81755,0,0,512681.2,-1920.9969939300504,-604.7796283499997,2525.7766208144117,-31878.545239138064,-6727.443231078364,90854.2699781384,54.586708,265.00323,   7313,7313,   3057,3059,   2697,5213,   3116,3127,   7398,7398,   1811,1808,   23,6787,   3311,3324,   260,250,   4894,4895,   
15,-466.0861,20,4.018114647976467E+63,0,0,607243,0,0,139.58817,0,0,754875.94,-1902.4345144957047,-730.4515039135491,2632.8860177096158,-34091.686046499985,-11583.607022785487,100519.38037905733,73.144615,236.34462,   6583,6587,   3282,3280,   2925,5738,   7462,8415,   3361,6782,   7552,7626,   6325,6322,   5218,5217,   5992,5990,   4635,4628,   
16,-298.92297,20,4.194221664984217E+61,0,0,580756,0,0,71.40359,0,0,562206.7,-700.2798451988468,-235.21072333331966,935.490568236867,-13944.411358740444,-2707.5760165400366,40867.55251502815,46.64884,241.94669,   2372,2372,   1243,1243,   3579,3578,   4449,4449,   3464,6696,   3844,3843,   2438,2431,   5132,5130,   7659,7677,   3712,6681,   
17,-1634.2802,20,1.1093551416868794E+62,0,0,346363,0,0,75.80597,0,0,700697.7,-5093.4709035756,-1013.9759221619385,6107.44682503528,-73603.88020184512,-9381.899721046753,211389.6427863793,45.037495,215.71411,   372,6785,   5056,5056,   5343,5344,   1208,1208,   2423,6709,   1586,1471,   3157,3159,   7033,7033,   5725,6763,   617,6787,   
18,-477.89264,20,1.362071559490933E+61,0,0,560265,0,0,298.5478,0,0,1668956.6,-3489.9272402413862,-1194.815706775351,4684.742944197785,-59412.51258465373,-20456.0997074112,256493.06523028508,124.321884,264.53925,   8131,8435,   2247,6758,   5503,5521,   4389,4395,   2592,2581,   684,6787,   4048,4079,   3592,3592,   2109,2105,   7960,7960,   
