idx,score,depth,combs,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-180.6942,20,23180143852800,0,0,110516,0,0,330.33395,0,0,315781.03,-1001.8835096211461,-485.09046812799255,1486.9739776671402,-20728.6703276507,-8350.013031379212,49977.07916419373,114.71685,47.56315,   1166,1165,   1165,3135,   3135,3130,   3130,6503,   6503,4547,   4547,4543,   4543,4540,   4540,4539,   4539,6376,   6376,6374,   
1,-350.60632,20,7859972940019200,0,0,292414,0,0,155.83652,0,0,656073,-1206.5780339977719,-499.4533474603315,1706.031382636445,-22550.497993611116,-6206.087065873788,53273.345149575434,64.31857,27.657743,   5913,5916,   5916,6523,   6523,4206,   4206,4208,   4208,4210,   4210,4203,   4203,3210,   3210,3211,   3211,3212,   3212,3215,   
2,-132.03708,20,436115959488,0,0,692546,0,0,255.13629,0,0,5410237,-581.6123890335285,-273.90948124644814,855.5218701847461,-11959.56009415163,-4766.466269532787,34930.9429658956,90.577286,37.356136,   8402,8412,   8412,8425,   8425,7642,   7642,8378,   8378,8379,   8379,8383,   
3,-121.8985,20,6731928,0,0,15767,0,0,83.82134,0,0,43053.16,-71.92893866029708,-28.897465104813303,100.82640392753632,-1290.7842110030026,-363.64450558805737,1566.1517672861316,10.589008,6.983763,   6459,6461,   6461,6396,   
4,-171.81145,20,425832910110720,0,0,245924,0,0,302.0385,0,0,1497763,-976.5847172240839,-1055.3855153087006,2031.9702327573057,-19228.620702501645,-39188.97486587195,89848.28537757763,111.917,42.42022,   3746,3745,   3745,3741,   3741,3759,   3759,3762,   3762,3760,   3760,6735,   6735,6720,   6720,6719,   6719,5512,   5512,5491,   
5,-636.26556,20,1.0570092087293706E+20,0,0,742394,0,0,129.81387,0,0,2697417,-2272.5940431667022,-670.662864004765,2943.256901503217,-42916.48592919067,-7316.26555625789,171182.32993585535,67.450584,24.163385,   6593,6637,   6637,6632,   6632,6626,   6626,6050,   6050,2091,   2091,6751,   6751,2220,   2220,6042,   6042,6037,   6037,6066,   
6,-255.45392,20,8.573279537129472E+18,0,0,143752,0,0,249.32301,0,0,504029.34,-626.97882882067,-196.21424633290573,823.1930752706063,-16022.786064628799,-2681.597095369907,26448.678294594763,62.722805,23.792246,   6431,6426,   6426,6424,   6424,6422,   6422,6419,   6419,6313,   6313,6696,   6696,6304,   6304,6301,   6301,4654,   4654,4652,   
7,-1199.4435,20,1.4233271161332787E+18,0,0,3816076,0,0,156.75777,0,0,8110217.5,-6959.919824169823,-1883.3088228576034,8843.22864528903,-125418.49284259582,-25670.575116352462,555221.7425620474,104.5639,40.072178,   183,6787,   6787,6783,   6783,6690,   6690,5040,   5040,4963,   4963,4964,   4964,4968,   4968,4887,   4887,4997,   4997,4996,   
8,-68.08883,20,6734762496,0,0,90081,0,0,134.72917,0,0,553152.4,-379.16167089894833,-269.85288294932417,649.014553987067,-5473.427055648576,-4297.529765002439,29054.430747832685,80.386566,36.992813,   7726,7735,   7735,7751,   7751,7761,   7761,8173,   8173,7323,   7323,7329,   
9,-182.40044,20,264968686080,0,0,46442,0,0,125.34983,0,0,71756.33,-280.12923808899416,-99.8830129656976,380.0122509597738,-7033.084212361686,-1499.1985632573292,10058.717447441015,38.558483,17.46256,   4967,4970,   4970,4972,   4972,4974,   4974,4897,   4897,4899,   4899,4318,   4318,4320,   
