idx,score,depth,combs,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-1133.8857,20,7.667664636789578E+33,0,0,1259656,0,0,160.8777,0,0,3164307.8,-6467.035607733525,-1331.4040309004704,7798.439638329577,-109870.39091429331,-14883.402505511494,344898.93514109164,96.89723,10.291341,   740,6781,   740,6780,   740,6787,   740,6786,   740,6785,   740,6657,   740,6784,   740,6783,   740,6782,   740,6778,   
1,-501.6896,20,1.3012407860513323E+25,0,0,650350,0,0,51.83473,0,0,675262.56,-1492.2406697644572,-606.1312822940303,2098.3719473835567,-21452.26419701095,-7071.2084479259665,62155.435873939285,42.760033,5.4254193,   2556,2593,   2556,2556,   2556,2555,   2556,2547,   2556,2548,   2556,6766,   2556,2557,   2556,2553,   2556,2594,   2556,2552,   
2,-1085.4304,20,6.169509626748048E+28,0,0,1200732,0,0,83.406586,0,0,3880270.5,-2904.426215392717,-793.4237151318762,3697.84992968579,-55799.47705158332,-8496.962153203825,274303.16129504767,51.407696,8.213174,   3873,3875,   3873,3877,   3873,3873,   3873,3876,   3873,3878,   3873,3871,   3873,3874,   3873,6774,   3873,3870,   3873,3872,   
3,-2870.7073,20,2.70304419141276E+34,0,0,2949446,0,0,122.50267,0,0,7053199.5,-14050.246971178876,-2847.877133531297,16898.124104830393,-225755.92449902048,-30506.539182992736,774946.6810386347,78.64122,9.926472,   850,6787,   850,6786,   850,6785,   850,6784,   850,6783,   850,6782,   850,6781,   850,6780,   850,6778,   850,6775,   
4,-706.61707,20,1.1459399735617487E+30,0,0,1735944,0,0,136.79869,0,0,2736878.8,-3953.9029940322835,-1218.8013674700676,5172.704362599786,-60150.44519518633,-12356.981769435242,272914.19510990405,85.12453,9.005212,   2082,6758,   2082,2130,   2082,6751,   2082,2136,   2082,6667,   2082,6755,   2082,6757,   2082,6756,   2082,2135,   2082,6666,   
5,-156.48045,20,4.1379285645877475E+28,0,0,61032,0,0,157.0317,0,0,141013.4,-481.81769386270815,-139.7834465477814,621.6011401976439,-9722.285337547666,-2072.855777234763,17843.765553027217,62.13099,8.50973,   2535,2535,   2535,2513,   2535,2525,   2535,5688,   2535,2528,   2535,2516,   2535,2524,   2535,5687,   2535,2546,   2535,2543,   
6,-484.33698,20,1.0780558160014494E+27,0,0,121846,0,0,44.26667,0,0,88344.195,-1229.8932832769879,-585.4910957499951,1815.3843788707984,-15214.858697607904,-5856.8842018699,50611.699169543346,31.413786,4.224412,   1851,1850,   1851,1852,   1851,1868,   1851,1851,   1851,1858,   1851,1860,   1851,1855,   1851,1854,   1851,1878,   1851,1867,   
7,-743.87177,20,3.6963195428209503E+30,0,0,765633,0,0,54.816128,0,0,796041.06,-1517.240940636286,-380.9090005644202,1898.1499407837612,-26904.786852338362,-3605.850379418973,69822.60184765166,36.168583,4.0099587,   2656,2657,   2656,2656,   2656,2663,   2656,2664,   2656,2665,   2656,2658,   2656,1541,   2656,2655,   2656,2662,   2656,2654,   
8,-583.80396,20,1.2325000074336627E+30,0,0,709249,0,0,122.23123,0,0,1266979.6,-2856.729914246964,-770.7410868819012,3627.471000268964,-48828.973235490885,-7252.959912747789,145441.83260398766,83.639336,11.614986,   5198,6790,   5198,5195,   5198,6789,   5198,5199,   5198,5197,   5198,5198,   5198,5194,   5198,5193,   5198,6788,   5198,5196,   
9,-1373.144,20,3.103290091775723E+30,0,0,2107024,0,0,196.3239,0,0,5183728.5,-7009.2662973830675,-1991.2755399741993,9000.541838873702,-125263.58384657367,-20728.171461539925,419683.4709851721,91.22392,11.744457,   1015,6774,   1015,6773,   1015,6772,   1015,6771,   1015,6770,   1015,6769,   1015,6759,   1015,6741,   1015,6738,   1015,6717,   
10,-741.81213,20,1.6210622306417733E+34,0,0,1055279,0,0,248.81808,0,0,1731924.5,-7502.847421325422,-1523.1013357954128,9025.948757672071,-133615.45331849673,-18941.996667651176,489694.1718336125,180.12035,16.848473,   231,6739,   231,6653,   231,6654,   231,6786,   231,6787,   231,6785,   231,6784,   231,6783,   231,6650,   231,6781,   
11,-346.9967,20,1.0814130631642625E+26,0,0,362422,0,0,114.590324,0,0,861967.44,-919.2475203074193,-420.538451140049,1339.7859702862954,-21250.841521041533,-5890.081467218209,45439.542575347485,61.2422,7.5348306,   5007,5009,   5007,5006,   5007,5011,   5007,5007,   5007,5005,   5007,5013,   5007,5008,   5007,5014,   5007,5010,   5007,5003,   
12,-13043.402,20,3.397917023022572E+34,0,0,27784277,0,0,90.61856,0,0,51859516,-31371.503383171676,-6936.446347373636,38307.949734326874,-494365.6121679353,-87912.69918185017,2472163.317153073,37.901585,4.83614,   553,543,   553,350,   553,779,   553,942,   553,546,   553,940,   553,948,   553,548,   553,943,   553,933,   
13,-115.58697,20,1.0137624524334624E+30,0,0,928422,0,0,330.63803,0,0,2536222.2,-1710.1512531132084,-775.7633914672452,2485.9146441313633,-28776.082864142896,-10926.41038241152,154170.09781334637,248.95612,16.561712,   8354,8415,   8354,8399,   8354,8397,   8354,8396,   8354,8395,   8354,8394,   8354,8393,   8354,8392,   8354,8391,   8354,8390,   
