idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
0,-177.44116,20,0,0,478887,0,0,433.48972,0,0,1676295.5,-1998.304456,-830.9706818,2829.275135,-33740.62997,-12067.89949,120654.8577,190.15108,285.4179,8338,7912,6721,5314,1377,960,4499,6121,5623,2583,3222,3210,5407,5403,3098,7025,3002,6059,7353,8365,   
1,-516.97107,20,0,0,700708,0,0,376.95108,0,0,2394736.2,-5516.145477,-1493.060363,7009.205842,-100843.7834,-17216.33037,285207.1673,195.06659,188.3324,4751,4835,6589,6598,2474,2339,3308,4951,6042,2008,3430,3687,3437,3404,171,567,7899,8187,6562,2204,   
2,-1370.9156,20,0,0,5057945,0,0,320.9801,0,0,10409612,-14615.42358,-4405.590445,19021.01401,-266346.9478,-56731.00557,1009484.276,194.28397,270.7282,8185,7458,939,601,3611,3625,5669,2744,3169,3898,2992,2251,1844,4230,3738,3731,5976,7029,364,4746,   
3,-1164.453,20,0,0,3758521,0,0,303.51974,0,0,12066460,-13909.94376,-4002.802155,17912.74591,-242367.4014,-46339.92455,1165922.946,208.13841,264.32266,5169,5101,532,546,7875,8133,7403,7404,895,4867,5560,5533,812,245,6832,3848,6325,669,3568,3540,   
4,-229.01212,20,0,0,623287,0,0,370.19293,0,0,1680448.4,-3130.351026,-1429.444135,4559.795157,-47556.75376,-17176.91697,216441.7565,207.66043,319.0212,5430,5348,4103,3173,7603,7495,4205,5949,7723,7775,6571,6638,5624,5656,280,344,8337,8194,4956,4921,   
5,-1226.3988,20,0,0,1479786,0,0,255.57254,0,0,4573337,-11600.35741,-2891.590652,14491.94807,-193394.81,-28915.57361,737021.0619,157.69325,305.13782,3207,3218,337,574,7767,7761,2354,6718,7996,8413,3184,4140,4409,445,1718,1699,1557,5189,4294,5002,   
6,-1275.4764,20,0,0,2073846,0,0,212.05957,0,0,6402330,-11792.03012,-4147.673755,15939.70387,-194761.4761,-56346.39653,769370.9548,152.69704,224.38612,1402,1054,3094,3062,851,758,8260,7435,1623,2311,4415,450,5673,5673,5528,3634,1738,6726,1818,1801,   
7,-527.002,20,0,0,644125,0,0,382.23013,0,0,1842134.2,-5182.167073,-1403.685949,6585.85302,-97083.67367,-15541.11002,301982.52,184.21878,205.01785,6346,2179,5919,6552,4349,744,3947,3939,6130,6131,966,981,1618,2457,5036,4909,194,925,3330,472,   
8,-440.69556,20,0,0,1552751,0,0,447.50378,0,0,4494817,-5047.697586,-1712.462355,6760.15994,-80862.26011,-21268.66883,327345.8994,183.4878,157.41418,6154,4501,6753,2118,3441,521,6546,6541,2973,7117,1355,1031,6000,4018,1265,4553,4439,4449,5884,6870,   
9,-812.57715,20,0,0,1971045,0,0,405.95303,0,0,11049630,-8927.933136,-2195.303171,11123.2363,-158452.3177,-24312.89852,597302.2651,194.99971,267.99234,1691,1678,3704,757,3342,4399,7229,7278,528,636,1948,2092,5026,6712,3905,3901,5947,5929,4860,264,   
10,-563.0358,20,0,0,1103793,0,0,355.7278,0,0,5522351.5,-5852.071134,-1553.792886,7405.864021,-98284.94371,-16748.05128,388266.5944,174.56252,191.71678,4678,4632,2585,2630,4267,4278,2954,5909,4515,6145,5281,5280,1091,1370,436,565,5687,2357,346,6181,   
11,-413.6589,20,0,0,1616822,0,0,228.7847,0,0,2858627,-3366.142246,-1128.572494,4494.71474,-56056.60335,-13727.4434,182100.3732,135.51407,295.75693,3978,3989,6751,6044,6064,6011,5045,4984,7201,7235,8061,7797,6803,6803,1821,1877,116,806,169,561,   
12,-1083.6272,20,0,0,1250275,0,0,267.92743,0,0,4666129,-10854.8771,-2521.110261,13375.98736,-184288.91,-27903.86495,706941.1051,170.06671,266.46588,941,6652,3812,1456,7398,7437,2107,6664,7688,7494,8139,7873,1885,1898,6034,6036,6787,524,489,3431,   
13,-559.46313,20,0,0,1156807,0,0,393.96252,0,0,3571995,-5690.895021,-1538.134192,7229.029209,-98067.33608,-17965.70367,288094.5251,175.28828,271.39438,2720,2771,183,27,8274,8033,7035,7094,3444,3377,3335,9,2147,2182,7039,7059,2840,5631,8203,7486,   
14,-465.71454,20,0,0,1491501,0,0,385.57144,0,0,7668574,-6142.085462,-1753.565342,7895.6508,-100126.547,-24300.69223,462525.5249,214.99553,241.56577,4485,4437,7058,7155,4607,4627,322,187,6709,2392,6673,5253,5097,1099,1292,1359,8097,7878,1227,5950,   
15,-697.2972,20,0,0,1437335,0,0,322.90457,0,0,7402021,-6969.423589,-2764.15823,9733.581821,-131730.154,-47220.23815,549710.0174,188.91537,146.58829,6382,6334,4751,3285,5552,5568,1484,1594,6712,4910,3619,3473,4088,5756,1624,2487,6457,6220,4033,1749,   
16,-380.15448,20,0,0,1710238,0,0,385.80994,0,0,12052191,-4768.539241,-1957.47173,6726.01097,-83014.90195,-26472.11888,356789.3322,218.37149,222.17935,2751,2755,6945,6994,5609,5589,3439,6316,3477,3634,4471,4790,4458,555,3136,6540,533,443,1196,3974,   
17,-1129.3184,20,0,0,1835613,0,0,355.8464,0,0,9599899,-15474.0615,-3403.500194,18877.56168,-259845.3159,-38279.32251,878688.122,230.09041,246.43494,2945,4022,3211,4192,178,767,608,772,870,520,6276,3437,8010,8022,1572,1150,6814,6831,6667,6047,   
18,-871.48846,20,0,0,2359751,0,0,289.9198,0,0,6705590,-8629.232373,-2270.345386,10899.57776,-166181.7851,-33059.36346,543380.3247,190.6873,212.94205,4598,4596,2073,2147,5864,5822,5078,959,4706,4585,5336,5330,674,6194,898,6260,2336,2259,7905,7339,   
19,-1453.1412,20,0,0,1916653,0,0,336.7731,0,0,13159797,-15589.02489,-4113.733716,19702.7586,-270475.3634,-43561.52464,1127972.522,186.13152,311.01248,6466,6292,7218,7275,4900,4996,8093,8326,2306,2318,782,519,4985,474,405,149,1132,6836,7381,7384,   
20,-1051.6202,20,0,0,1027031,0,0,320.11484,0,0,4709781,-9680.927915,-2967.802706,12648.73063,-181535.4563,-41205.9516,603817.3975,172.62453,235.81487,494,95,984,2675,6956,6961,5553,3478,4919,341,6935,6967,5634,5648,447,4395,3049,3053,7506,8246,   
21,-272.17096,20,0,0,1024281,0,0,354.69186,0,0,1530115.1,-2764.502947,-1119.326454,3883.8294,-49212.65152,-13830.6575,187258.7498,180.81522,237.58018,4728,4712,6338,2040,1680,1643,6690,4972,7058,7189,6848,1503,3190,3223,7978,8188,5201,1551,1099,1051,   
22,-704.4872,20,0,0,522858,0,0,232.82576,0,0,2138449.2,-5589.80764,-1793.563013,7383.370653,-97863.74687,-19401.7814,329575.6439,138.91487,186.33455,1126,6833,2156,1923,3801,1589,6667,6041,2271,2323,6499,6542,169,6289,7935,7935,2496,2518,5162,2674,   
23,-516.0407,20,0,0,863955,0,0,479.17844,0,0,5142011.5,-5212.034165,-1665.607385,6877.641552,-92130.51986,-21789.99385,332004.4261,178.53345,176.34912,4781,4837,1923,2192,3615,3636,1488,1457,7088,7062,1648,1670,1354,1389,6493,6500,4281,4249,7039,7085,   
24,-397.06845,20,0,0,1622905,0,0,418.72455,0,0,4557034,-3925.719912,-1494.122121,5419.842034,-64265.39796,-19315.87994,276975.8239,161.84967,198.10802,3239,6743,4119,4115,1721,6660,2926,4029,4178,4176,3570,4690,3648,3650,5518,5491,5623,2614,5100,6741,   
25,-1021.64185,20,0,0,1005414,0,0,306.22543,0,0,4606960,-10464.72594,-2478.050416,12942.77636,-183036.5339,-28966.88177,737713.7119,179.1592,241.04285,3051,3115,8138,8384,344,523,5760,5332,1704,1688,6646,664,8411,8422,2247,2194,3478,3677,3412,3461,   
26,-423.2277,20,0,0,3130933,0,0,309.2107,0,0,3704811.2,-4202.334049,-1122.47415,5324.808196,-69156.25334,-13628.23714,231634.6934,163.402,286.18906,912,898,6214,3445,7680,7703,7461,8185,124,632,8429,8303,959,5099,2525,2501,196,625,4722,4711,   
27,-1119.1576,20,0,0,3989278,0,0,272.73477,0,0,12497910,-12916.26458,-4396.227628,17312.49221,-212585.0091,-56700.33015,1059210.928,189.95093,305.93353,2408,6732,1724,1674,7274,7278,6646,561,1801,1775,6922,6911,2045,1959,7485,8100,6932,6989,211,745,   
