idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
0,-1010.5923,20,0,0,2029831,0,0,235.70685,0,0,10745575,-10097.20262,-4335.050403,14432.25302,-149818.8467,-45811.21075,804507.4616,148.24855,14.378969,3086,3078,1162,3053,3132,3059,1182,3121,3121,3128,7142,3129,7138,1164,3066,3067,1171,3118,3135,1160,   
1,-136.49794,20,0,0,896227,0,0,695.26294,0,0,7251622,-2222.676539,-1713.847211,3936.52375,-46150.84523,-56924.58715,277283.5207,338.1065,31.994432,3771,3783,3639,3268,3794,3738,3775,3637,3631,3265,3730,5510,3614,3773,5506,3771,3257,3784,3758,3734,   
2,-47.82136,20,0,0,190624,0,0,660.905,0,0,433071.3,-699.3286906,-588.4884343,1287.817126,-8816.374788,-20689.48199,35811.19237,184.3606,19.56455,2784,2797,2764,2731,2794,2771,2716,2723,2785,2715,2714,5366,2737,2710,2730,2786,2719,5301,2766,2732,   
3,-79.548096,20,0,0,984034,0,0,506.4091,0,0,8782095,-1263.479584,-1279.196739,2542.676324,-22504.57911,-34228.42713,206699.7185,282.90533,27.400412,5386,6101,5403,6102,5392,5377,5392,5378,5484,5377,5480,5473,5473,5474,5393,5391,5383,5392,5400,5393,   
4,-746.31433,20,0,0,1482598,0,0,299.37402,0,0,4852313,-8205.37375,-3171.979182,11377.35294,-167065.1447,-38301.14654,721464.5915,223.85359,23.189913,2991,2986,5895,2194,2078,2247,5871,2200,2244,2231,2231,2990,2989,2085,2236,2213,5984,2979,6056,5893,   
5,-199.71126,20,0,0,894910,0,0,337.84625,0,0,3236896.8,-2710.879974,-1732.100087,4442.980063,-51761.33107,-52681.08918,313744.6477,259.18085,29.689041,5254,2893,5254,5573,5537,5538,5553,2883,5242,5511,5222,2894,5501,2893,6672,2902,2906,5220,5571,6360,   
6,-239.41566,20,0,0,246875,0,0,561.5777,0,0,1379500.8,-2891.286821,-1321.188313,4212.47514,-62090.73114,-19133.11215,222609.4141,259.3428,24.408566,3379,5845,5832,3394,3238,3246,6743,6507,5828,3242,3387,5854,3232,5848,5849,3246,3233,5870,3390,3248,   
7,-473.54144,20,0,0,770653,0,0,376.35712,0,0,4855709,-5647.284762,-1720.368624,7367.653389,-106512.1313,-18235.55059,399110.2063,224.92674,22.26923,5076,2700,5172,5161,959,1552,2689,1419,1423,5066,1431,964,5081,952,1427,5190,1554,5178,5085,1541,   
8,-56.743618,20,0,0,342335,0,0,413.75626,0,0,2658636,-861.6142882,-1475.701244,2337.315533,-14024.96197,-41352.24178,117530.1276,247.16368,24.390387,6121,6155,6090,4436,4442,6095,6162,6131,4507,6115,4431,4505,6132,6100,6132,6129,4506,6132,6093,6122,   
9,-75.19917,20,0,0,176160,0,0,285.15723,0,0,687543.2,-851.8862304,-1000.947666,1852.833898,-12553.87707,-24434.4942,82286.91339,166.94168,19.678722,6100,6121,6114,6161,6159,4506,4441,4439,4512,6131,6134,4496,4442,4432,6110,6120,4444,6133,6119,6107,   
10,-621.1935,20,0,0,1233387,0,0,359.89685,0,0,5508583,-7288.193157,-2450.959455,9739.152617,-130547.1087,-32247.57785,542081.238,210.15532,20.793768,4036,4086,5754,4030,4029,6726,1703,1682,1682,4044,4042,1758,1749,5759,4048,6760,1705,1756,1681,5690,   
11,-669.1894,20,0,0,3185603,0,0,347.06766,0,0,10044296,-10175.31436,-4524.808558,14700.12292,-175955.0911,-82417.70836,1152196.421,262.93765,27.211266,2882,6334,5224,5254,5780,5728,2904,5775,5775,1221,6676,5267,5274,6777,2887,6338,2952,6676,5218,6675,   
12,-1023.5122,20,0,0,2182800,0,0,285.5418,0,0,7646109.5,-13066.79743,-3443.186146,16509.98358,-222640.0126,-32122.00475,1034949.506,217.52551,21.51678,1055,6773,1301,3886,1416,1011,2636,1038,1089,1380,1329,1426,1425,3872,1048,1386,1295,1291,2647,2667,   
13,-62.044533,20,0,0,161240,0,0,463.75598,0,0,916363.7,-484.105628,-285.4170769,769.5227046,-8470.995245,-4002.419128,30258.8086,136.53088,19.67112,6928,6936,6928,6924,6928,6929,6951,6926,6943,6940,6945,6947,6927,6928,6944,6933,6937,6936,6952,6945,   
14,-161.1512,20,0,0,792913,0,0,183.56715,0,0,1176685.9,-1242.867828,-587.6441802,1830.512009,-18363.22815,-6919.45018,68428.44216,113.9503,14.341722,8401,8395,7877,7838,7479,8391,7479,7977,7822,7486,7974,7914,7891,7851,7796,7876,8199,7834,7472,7888,   
15,-139.01411,20,0,0,110454,0,0,549.226,0,0,617348.3,-1729.235299,-768.311024,2497.546323,-31032.93378,-7553.758614,184754.7029,223.23584,25.403135,4338,4303,4338,4290,4334,4341,4324,4307,4340,4336,4305,6464,4295,6478,6297,6297,6474,5060,6474,6467,   
16,-140.75215,20,0,0,797350,0,0,423.4823,0,0,4239609.5,-2020.6809,-877.0197085,2897.700605,-31469.21165,-9967.706567,157080.1622,223.5789,21.756186,6955,6971,7008,6935,6935,7041,6948,6999,7194,6988,6976,6940,6959,6959,6946,6996,6972,7015,7040,7006,   
17,-309.91397,20,0,0,710403,0,0,420.86923,0,0,4466503,-3674.555752,-2072.060256,5746.616012,-73711.86435,-43805.49407,318409.9308,237.84622,26.489235,3478,5539,5556,5539,3653,3667,5550,3473,3679,3501,5529,5573,3638,3488,5524,3278,3630,3645,3630,3673,   
18,-665.56366,20,0,0,3384371,0,0,240.59003,0,0,8693940,-6396.483705,-2061.565489,8458.049195,-105043.5549,-24960.2142,469133.4617,157.82646,15.032563,2221,6044,2126,2017,2084,1927,2223,1986,6084,1940,2095,1914,6039,1941,2137,1916,2191,1939,2192,2219,   
19,-438.43454,20,0,0,2216895,0,0,255.21663,0,0,4470230,-5101.755757,-2186.048564,7287.804321,-77862.58206,-27801.20422,347362.9334,177.59227,18.2741,7796,8337,7451,8217,7810,8078,8190,7518,8114,7514,7887,7454,8097,7862,8105,8076,7860,8116,7904,7898,   
20,-328.67838,20,0,0,2486051,0,0,358.6395,0,0,10048860,-5035.786464,-2218.623166,7254.409631,-77241.38729,-28334.55035,488585.4179,235.00601,19.22492,7839,8130,7787,8076,8344,8192,7512,7843,8188,8136,7915,7824,8334,8187,8132,7868,8321,8130,7457,8292,   
21,-373.263,20,0,0,2043438,0,0,290.8033,0,0,6362668.5,-3823.371753,-1575.124584,5398.496334,-73402.01682,-21790.71233,402542.1811,196.64958,20.444115,2845,2837,2845,2437,2842,5648,2848,2757,2848,5685,2832,2837,2835,5686,5631,2504,5632,2835,5680,2837,   
22,-336.75696,20,0,0,718231,0,0,487.87042,0,0,3978715.8,-4013.524208,-2238.51151,6252.03572,-81520.54868,-47164.6234,329605.7395,242.07532,27.069044,3495,3633,3636,5557,3672,3474,3475,5546,3679,3487,3680,3679,3663,3675,3288,3637,3287,3628,5550,3662,   
