idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
0,-938.52435,20,0,0,4963631,0,0,316.91394,0,0,13803692,-9598.734978,-3136.884556,12735.61954,-190108.375,-46145.81622,771000.5937,202.56094,75.107635,5170,1423,1423,2666,2666,3894,3894,3831,3831,6029,6029,5996,5996,1220,1220,5278,5278,2884,2884,5254,   
1,-252.9064,20,0,0,359775,0,0,449.99942,0,0,1401433.1,-2489.738806,-681.2511521,3170.989957,-54278.50572,-10450.39722,175966.0714,214.61894,80.23797,4990,6648,6648,912,912,4853,4853,3687,3687,3677,3677,3671,3671,5860,5860,4542,4542,1263,1263,1267,   
2,-406.7399,20,0,0,369988,0,0,299.22162,0,0,1070552.8,-2867.143763,-863.3028958,3730.446662,-62025.20944,-17021.62172,147479.2908,152.49355,57.513977,870,4738,4738,4786,4786,4781,4781,4805,4805,3622,3622,3613,3613,3626,3626,5517,5517,5248,5248,5258,   
3,-244.08113,20,0,0,343391,0,0,570.36633,0,0,2535662.2,-2439.833142,-1763.736498,4203.569643,-48620.87853,-54864.47658,203275.1769,199.19966,71.33524,5344,5364,5364,5486,5486,5495,5495,5536,5536,3488,3488,3664,3664,3674,3674,3720,3720,3367,3367,6221,   
4,-1440.7848,20,0,0,2741091,0,0,296.76797,0,0,6701529.5,-13277.10965,-3038.88776,16315.99741,-252494.863,-34606.28177,891857.24,175.24814,65.17566,395,350,350,621,621,6200,6200,6220,6220,6221,6221,4578,4578,3390,3390,3379,3379,3230,3230,4544,   
5,-286.5415,20,0,0,1604324,0,0,126.58932,0,0,5423900,-1756.885134,-1303.118714,3060.003848,-30217.40167,-20543.80287,241288.8614,105.45559,51.403595,3968,3972,3972,5600,5600,5602,5602,1767,1767,1894,1894,1896,   ,,,,,,,,
6,-237.49937,20,0,0,1348969,0,0,402.49734,0,0,8064419,-2545.962423,-1160.137713,3706.100135,-42560.98908,-13971.0891,216597.7075,179.20464,68.824684,6928,6937,6937,6945,6945,6965,6965,6975,6975,7009,7009,7189,7189,3101,3101,5926,5926,5939,5939,4218,   
7,-366.1759,20,0,0,561618,0,0,215.47598,0,0,2993084.2,-3367.579138,-1486.37799,4853.957131,-53923.20969,-13545.05568,348294.0401,147.2604,65.84349,3551,3556,3556,6416,6416,6490,6490,3534,3534,6715,6715,4297,4297,4320,4320,5002,   ,,,,
8,-674.53107,20,0,0,3206067,0,0,399.551,0,0,15655953,-6467.604357,-2381.067758,8848.672122,-126970.1052,-34302.38591,599746.9783,188.23462,70.78227,4050,4017,4017,6777,6777,6083,6083,6664,6664,6584,6584,6612,6612,6576,6576,6577,6577,4551,4551,4558,   
9,-627.5676,20,0,0,497371,0,0,102.5448,0,0,1516874.2,-2598.46419,-656.3941442,3254.858333,-44521.50033,-6113.801473,162470.3987,70.942955,38.884277,4071,1024,1024,1441,1441,1580,1580,1577,   ,,,,,,,,,,,,
