idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
0,-20.94691,20,0,0,213850,0,0,348.4346,0,0,1010864.56,-235.5205126,-187.4212355,422.9417481,-3911.998684,-2603.005659,19158.97175,186.7578,23.135647,7297,7283,7297,7280,7297,8020,7297,8010,7297,7291,7297,7287,7297,8028,7297,7297,7297,7279,7297,8021,   
1,-1975.1719,20,0,0,4130980,0,0,214.7885,0,0,14265006,-17346.3904,-4424.018584,21770.40899,-303905.1557,-43547.75222,1216983.545,153.86264,21.582394,6772,1319,6772,1340,6772,1041,6772,5166,6772,1377,6772,1094,6772,1015,6772,2661,6772,1419,6772,1100,   
2,-1582.8534,20,0,0,1779775,0,0,304.99475,0,0,5214239,-16880.27212,-3265.821819,20146.09394,-289799.5812,-30566.94407,1200341.9,183.08682,15.325377,924,713,924,76,924,302,924,792,924,6780,924,639,924,718,924,425,924,333,924,16,   
3,-249.54454,20,0,0,901973,0,0,262.0127,0,0,4282784.5,-3026.058347,-1543.390666,4569.449002,-36352.86867,-13797.25456,208418.3117,145.67686,18.332048,4159,4168,4159,3185,4159,4141,4159,4109,4159,4104,4159,4111,4159,3173,4159,3179,4159,3176,4159,4096,   
4,-293.3731,20,0,0,650688,0,0,341.45703,0,0,2417461.8,-1848.445197,-841.927231,2690.372428,-38215.29715,-12717.49108,123352.5033,130.26176,16.837738,4536,4553,4536,4563,4536,6623,4536,1263,4536,4561,4536,4529,4536,4526,4536,1268,4536,4537,4536,4564,   
5,-317.38876,20,0,0,2278167,0,0,324.98962,0,0,7368405,-4027.091337,-1745.582263,5772.673593,-58945.18949,-18461.16843,312718.9433,185.71921,25.365673,6994,6945,6994,7026,6994,7039,6994,6983,6994,6996,6994,7033,6994,6943,6994,7044,6994,6968,6994,7004,   
6,-948.6559,20,0,0,2406626,0,0,119.401306,0,0,11326291,-5854.019146,-2962.783625,8816.802779,-83329.56635,-37962.54505,376523.8818,87.83961,13.247933,7581,7602,7581,7581,7581,7603,7581,7624,7581,7709,7581,7596,7581,7687,7581,7622,7581,8412,7581,7592,   
7,-908.40234,20,0,0,1640330,0,0,263.9342,0,0,3925565,-8979.539397,-3292.69723,12272.23662,-160827.4676,-34931.72807,589614.1605,177.04431,22.120451,1515,1494,1515,3813,1515,1409,1515,1449,1515,6858,1515,1496,1515,2672,1515,1537,1515,1540,1515,5192,   
8,-41.20485,20,0,0,166650,0,0,355.05743,0,0,650878.3,-587.5114271,-253.8490339,841.3604612,-8855.379968,-2876.284569,38844.72064,214.91112,24.33948,4237,1852,4237,1836,4237,1827,4237,2553,4237,1768,4237,1864,4237,2625,4237,1908,4237,1854,4237,1894,   
9,-968.1247,20,0,0,2343089,0,0,307.47275,0,0,9080826,-9366.612221,-2616.230017,11982.84224,-170303.5687,-27432.94579,699132.8023,175.91077,23.144156,1065,1021,1065,1067,1065,1041,1065,5063,1065,984,1065,1289,1065,1330,1065,2392,1065,4070,1065,2382,   
