idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
0,-398.29495,20,0,0,1215423,0,0,276.5882,0,0,7441256.5,-4166.363768,-2399.918819,6566.282589,-69602.82181,-37009.2461,358160.2675,174.75195,19.214174,4225,1816,1816,5602,5602,5597,5597,5588,5588,1906,1906,1892,1892,1848,1848,5595,5595,1815,1815,1792,   
1,-2382.234,20,0,0,2439564,0,0,262.47977,0,0,8786710,-23186.02422,-4575.990968,27762.01518,-408569.7986,-48119.66574,1421658.625,171.50702,22.443102,4930,639,639,914,914,397,397,6739,6739,524,524,685,685,6258,6258,564,564,128,128,149,   
2,-576.6789,20,0,0,845884,0,0,362.2095,0,0,5321799.5,-5913.498995,-4279.804318,10193.30331,-117239.5974,-132679.3951,453581.2735,203.30135,36.09642,5517,5490,5490,5511,5511,2914,2914,3260,3260,3763,3763,5515,5515,5541,5541,3491,3491,3637,3637,3614,   
3,-1729.7826,20,0,0,4250346,0,0,349.76093,0,0,17775700,-21777.11009,-4494.79463,26271.90473,-392850.5593,-51621.68613,1669151.329,227.10979,20.893553,363,478,478,402,402,13,13,557,557,864,864,6653,6653,6202,6202,490,490,537,537,207,   
4,-99.96985,20,0,0,222120,0,0,320.9088,0,0,437372.22,-1030.297599,-632.7362745,1663.033877,-13075.41107,-12002.56352,45115.73316,130.79355,13.299479,5410,5462,5462,5401,5401,5382,5382,5398,5398,5399,5399,5463,5463,5459,5459,5404,5404,5413,5413,5457,   
5,-536.6313,20,0,0,1331460,0,0,190.16418,0,0,3860766.8,-2789.688348,-1309.366602,4099.05495,-62662.54836,-22597.78226,230396.2001,116.77021,22.08483,4563,1279,1279,1277,1277,1278,1278,4534,4534,4533,4533,6623,6623,6576,6576,6572,6572,6608,6608,6620,   
6,-1571.4487,20,0,0,3077757,0,0,345.3591,0,0,15950252,-18011.19329,-5108.492817,23119.68611,-317759.4676,-51871.85555,1274501.362,202.20798,38.042896,6738,1002,1002,5102,5102,971,971,2664,2664,1284,1284,1089,1089,2329,2329,2299,2299,2479,2479,5647,   
7,-425.10693,20,0,0,2256632,0,0,345.30878,0,0,8967265,-5248.442951,-2281.18633,7529.629275,-84400.01028,-22819.39022,508568.8758,198.5383,29.365765,4660,4726,4726,4712,4712,6529,6529,6528,6528,4717,4717,4620,4620,4658,4658,3599,3599,3561,3561,4675,   
8,-254.59952,20,0,0,731809,0,0,320.71664,0,0,4256388,-3101.77684,-2300.149814,5401.926654,-41834.49603,-48800.33036,243149.9937,164.31491,26.372196,5446,5449,5449,6764,6764,5401,5401,5420,5420,5421,5421,6165,6165,5414,5414,6765,6765,5419,5419,6172,   
9,-2965.895,20,0,0,14585026,0,0,313.47525,0,0,56548688,-34238.77835,-7810.671929,42049.45025,-573927.1369,-102722.924,2855323.352,193.50891,27.906988,4651,6215,6215,828,828,893,893,181,181,312,312,210,210,866,866,3321,3321,191,191,553,   
