idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,gameState20,gameState21,gameState22,gameState23,gameState24,gameState25,gameState26,gameState27,gameState28,gameState29,gameState30,gameState31,gameState32,gameState33,gameState34,gameState35,gameState36,gameState37,gameState38,gameState39,gameState40,gameState41,gameState42,gameState43,gameState44,gameState45,gameState46,gameState47,gameState48,gameState49,gameState50,gameState51,gameState52,gameState53,gameState54,gameState55,gameState56,gameState57,gameState58,gameState59,gameState60,gameState61,gameState62,gameState63,gameState64,gameState65,gameState66,gameState67,gameState68,gameState69,gameState70,gameState71,gameState72,gameState73,gameState74,gameState75,gameState76,gameState77,gameState78,gameState79,gameState80,gameState81,gameState82,gameState83,gameState84,gameState85,gameState86,gameState87,gameState88,gameState89,gameState90,gameState91,gameState92,gameState93,gameState94,gameState95,gameState96,gameState97,gameState98,gameState99
0,-787.5653,100,0,0,10191229,0,0,1719.1174,0,0,38165452,-42166.68632367833,-12391.839073157895,54558.52539944299,-769596.0365247381,-162504.7703993001,3138026.297519989,977.1838,215.97194,   3511,6457,   20,792,   3316,784,   6454,4308,   4723,4728,   4579,5842,   5288,5242,   3096,7131,   1761,5748,   1761,1612,   7353,7704,   6032,6074,   3309,713,   6380,2035,   4549,4551,   1959,6581,   4349,4413,   3150,4138,   6078,6033,   4877,179,   4454,290,   4198,4691,   1550,5187,   2703,5091,   6596,6612,   6436,6295,   2905,5217,   203,540,   3051,3134,   3965,4000,   6187,491,   5648,6733,   5574,5593,   2962,6617,   1182,3105,   5,625,   2888,5276,   8030,8020,   3899,3164,   1192,3899,   6159,4511,   5198,2657,   6741,1363,   4932,4915,   5681,5681,   3493,3276,   2010,2009,   3824,1331,   4635,4613,   2059,2161,   
1,-661.15393,100,0,0,6317130,0,0,1592.9077,0,0,19814450,-32356.963960049357,-9822.26973231064,42179.23369694722,-567814.1570458219,-126058.75264561358,1977837.879672058,858.823,223.97026,   4503,4503,   2223,1986,   6652,301,   3246,6498,   2626,2624,   8387,8337,   4520,4379,   5166,1121,   6332,6556,   1677,1642,   244,175,   2157,2011,   1492,6848,   2211,1953,   1951,6040,   7985,8397,   2051,5215,   6663,2028,   751,463,   8110,8079,   1014,4073,   7938,7929,   7784,8081,   4281,1897,   5256,2049,   3463,4693,   2538,1641,   4564,4532,   1142,1133,   116,4464,   3,322,   3613,3728,   4904,4888,   5324,6723,   3006,3818,   2460,2349,   8083,8126,   299,113,   1330,998,   2534,2421,   3794,3733,   4080,1655,   3206,3214,   5581,1790,   254,412,   1717,1609,   3472,3481,   4523,6578,   4190,3225,   4759,4842,   
2,-966.0628,100,0,0,9327321,0,0,1663.0131,0,0,36074260,-50891.36553501012,-14980.90431102939,65872.26984678718,-881829.1469433971,-173550.24884996406,3714828.437695278,912.80725,271.0132,   7665,8079,   6205,756,   6587,1946,   5667,5669,   446,637,   2339,990,   6241,593,   3217,4670,   6700,1673,   1185,1191,   3122,3073,   7881,7338,   590,308,   7706,8381,   1063,1040,   5123,5130,   4606,4613,   6146,6144,   3666,3485,   3188,3211,   5440,3254,   858,673,   652,188,   2606,2550,   6316,4646,   405,260,   2360,2300,   4393,738,   5135,5100,   2358,2394,   1449,3856,   4324,4348,   7000,7044,   4042,1734,   5467,5449,   3337,4929,   7520,8316,   5228,2941,   3159,3158,   7797,8337,   7878,8339,   668,487,   1224,4102,   3859,1074,   7497,7566,   2514,2463,   7208,7266,   1037,1543,   4305,4283,   6438,6237,   
3,-725.24066,100,0,0,7931873,0,0,1574.9407,0,0,24303850,-35557.346502884924,-10850.831960840576,46408.17847038003,-635065.430001784,-145649.1567888219,2360872.492092502,875.6617,211.13065,   5898,6884,   3263,3265,   2618,2608,   2832,2843,   5733,2921,   486,392,   6830,6829,   5095,2695,   6449,3515,   6028,3841,   695,251,   3725,3418,   1488,2637,   6795,6792,   6097,6132,   7059,7004,   4875,426,   1622,4084,   4148,4162,   925,857,   374,26,   4782,4756,   2013,1922,   7517,7911,   1991,6340,   309,468,   4449,4432,   3838,3838,   4530,1259,   823,715,   4913,4915,   6000,6058,   2841,5684,   5817,5814,   1651,1757,   6760,5763,   8290,8419,   3419,103,   5615,5618,   954,1016,   6781,360,   6878,6876,   6596,6564,   5104,1072,   7861,8196,   3527,4340,   5968,5940,   1473,2657,   2633,2639,   3191,3213,   
4,-588.3598,100,0,0,11636119,0,0,1770.323,0,0,61002292,-29928.449716614417,-11089.534006732865,41017.98372530598,-522040.3719294737,-151570.40770945328,2614028.7398184063,887.2808,279.53186,   2876,4061,   2283,2432,   239,127,   3670,3717,   7660,7731,   6756,6086,   7777,7781,   6847,1484,   3955,3954,   666,6239,   2700,5095,   4140,4138,   1945,2070,   2125,2150,   6603,6602,   6300,6325,   2937,5742,   6791,6795,   576,262,   7294,7296,   8299,7519,   3005,3874,   7800,8108,   4510,6113,   5758,5767,   2456,2403,   5287,2908,   8379,8376,   8246,8246,   3008,6023,   6963,7015,   6641,281,   5476,5481,   3901,3139,   1237,4209,   1476,1458,   8044,8041,   7879,7836,   581,6293,   4601,4726,   6832,3847,   6799,6809,   2986,2990,   2809,5371,   6801,6828,   3020,3033,   7352,7653,   7417,7307,   2090,1947,   7480,7512,   
5,-763.55774,100,0,0,8289954,0,0,1779.3792,0,0,23198618,-40971.38018117395,-13115.904658484553,54087.284846208,-686114.5251622488,-167688.2789083219,2831146.3333570883,898.5758,263.05203,   1224,4104,   5137,2687,   6379,1935,   4558,2976,   4439,6094,   7143,3066,   2152,2248,   7372,7369,   1185,3948,   7666,7652,   4286,4306,   2666,1381,   996,5097,   3114,3136,   4177,4181,   314,6648,   575,542,   4031,2953,   7483,8106,   802,343,   6010,1923,   3049,1170,   359,387,   106,190,   2589,2591,   7565,7589,   1557,1555,   4854,790,   812,396,   744,4368,   5747,5735,   6387,6333,   5660,5677,   8051,8203,   2157,2129,   3729,3783,   7091,7111,   5769,5690,   1798,1805,   1811,4239,   7546,7565,   3928,3955,   8435,8106,   6671,2772,   7478,8358,   2541,2373,   4312,3527,   5249,6662,   2728,2795,   3602,3560,   
6,-644.7664,100,0,0,5038085,0,0,1633.287,0,0,20563586,-32932.56778735437,-10130.747636928325,43063.315407166396,-548364.8350844549,-121247.32105502214,1975633.915119271,850.48596,255.34737,   3214,3204,   7442,8319,   910,402,   3976,3976,   6804,6797,   3014,6064,   1154,3053,   8051,8044,   2547,4247,   5311,6721,   678,420,   7649,7671,   1476,5085,   250,736,   8292,8293,   877,555,   6673,2887,   3387,4710,   2944,5691,   7062,7091,   2141,1997,   6505,6505,   4641,3604,   3362,3325,   2460,2299,   5422,5461,   862,553,   767,25,   2637,1532,   5530,3628,   2751,2772,   5032,4904,   370,4855,   734,96,   7626,7580,   852,756,   8224,8238,   5836,5849,   5107,4003,   6732,2489,   4285,4336,   2554,4251,   813,685,   3197,3213,   8035,8042,   3058,5926,   8262,8054,   2680,1286,   5186,5082,   5859,5844,   
7,-750.4406,100,0,0,7650712,0,0,1988.8885,0,0,37826656,-40085.609541064274,-12072.944002844213,52158.55354817611,-707922.2760765352,-150319.37449860564,2504562.2533523105,943.34216,259.76306,   2834,2834,   2544,1603,   599,6648,   4524,1268,   6658,253,   3365,514,   6208,6306,   5849,5817,   4842,4823,   8191,7903,   4192,4687,   1188,3910,   7733,7580,   5799,5560,   5634,5628,   2144,6583,   3995,3992,   3509,3528,   4407,3312,   6240,178,   475,376,   4391,4410,   8421,7590,   667,85,   7949,7958,   6774,2654,   6182,361,   1494,1560,   1385,2644,   807,884,   2431,2305,   3785,3771,   8163,7768,   5658,5655,   4112,4106,   8264,7452,   388,4460,   3331,3310,   2165,2097,   4290,4323,   1745,1753,   3347,5004,   4316,4288,   1424,1089,   7987,8363,   325,832,   1642,5712,   7022,7171,   6863,1131,   6436,6202,   
8,-792.146,100,0,0,5368186,0,0,1543.0807,0,0,22104260,-40306.20020602629,-12003.411978574642,52309.61216955819,-708212.8456085518,-149035.2260109309,2947919.7975891605,894.04333,251.05107,   4617,4611,   4963,4926,   7052,7091,   6606,6615,   7158,7182,   2548,4237,   2413,2378,   4877,4469,   6751,2204,   8122,8081,   2770,2755,   5611,1864,   3812,1499,   749,94,   151,650,   3551,3571,   5460,5377,   1275,6575,   196,6267,   136,6780,   5416,5416,   3218,3187,   4683,3584,   3725,4856,   3175,3181,   495,359,   701,245,   1456,1152,   6765,6174,   8435,7705,   3633,4811,   7293,7285,   4399,462,   899,318,   2074,6042,   5511,5564,   4895,6713,   7596,7498,   498,906,   633,188,   6834,1149,   6031,6061,   4023,1680,   1075,1292,   7043,6988,   7910,7479,   7972,7882,   4736,4869,   3557,3545,   4072,1322,   
9,-416.59045,100,0,0,5365748,0,0,1683.068,0,0,18508282,-21636.552933507806,-7005.1936082726625,28641.74653370772,-360275.93026505073,-92265.02270559747,1336528.0058745274,864.82043,265.85254,   1501,1431,   4653,4652,   4238,1810,   5372,2818,   2698,2691,   401,166,   7449,8266,   6528,4196,   8239,7530,   7052,7052,   8130,8140,   3742,3739,   7598,7703,   7679,7643,   3451,6299,   5233,6768,   1502,1582,   8345,8128,   6238,221,   3033,3030,   4783,28,   902,829,   8410,8128,   1537,1011,   5552,5496,   8213,7886,   1963,1986,   4218,5923,   6069,3820,   5375,5760,   2473,2397,   5934,5928,   4304,3510,   8123,7820,   7115,7062,   3374,6263,   5423,5465,   6332,6582,   4832,3687,   1725,1620,   3423,4855,   4133,4175,   8237,8224,   6392,3503,   937,568,   7825,7875,   4553,4526,   8270,7436,   2627,4265,   1638,5705,   
