idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9
0,-3023.4888,10,0,0,1477916,0,0,165.06447,0,0,5307409,-17196.114785154597,-3644.04595669962,20840.160732886772,-289511.96503902966,-39940.00419564211,1205470.6012979462,95.75427,265.81787,   843,896,   496,416,   7755,7748,   3609,3733,   4268,4273,   
1,-350.71524,10,0,0,83372,0,0,173.32108,0,0,520614.25,-1348.9722052693849,-378.5252956745742,1727.4975008697575,-24872.896265512183,-4354.174030696007,58657.74371977929,70.92049,155.27602,   2111,2196,   4912,4905,   1702,2382,   2252,2300,   5221,2908,   
2,-456.54785,10,0,0,191477,0,0,302.71426,0,0,532442.25,-2548.2703473440133,-574.5372214870683,3122.8075675154664,-44926.346677200214,-5764.287195539489,150963.37201266282,98.404465,221.38142,   4116,4098,   647,70,   2699,5200,   6694,698,   5385,5436,   
3,-1549.3354,10,0,0,752683,0,0,179.44748,0,0,2748925.5,-8797.731825561761,-2644.120448362864,11441.852276280635,-157876.07103298523,-33327.98666193938,682641.2384553337,101.89922,241.55486,   6776,6086,   4018,2947,   7648,8411,   701,613,   76,3333,   
4,-2362.4333,10,0,0,4702214,0,0,105.27879,0,0,10522609,-10554.018961437083,-2268.574291892324,12822.593258447527,-175525.0873506831,-27088.223089116957,630941.2853199892,74.29843,250.32782,   535,258,   7799,8086,   5318,5760,   835,187,   5161,5102,   
5,-291.8532,10,0,0,182487,0,0,177.04593,0,0,653197.56,-1822.711531163243,-430.56028774979666,2253.271818715651,-32539.90658680453,-4704.402821030209,97014.4236145363,111.49409,232.27539,   78,278,   5903,2979,   6198,6188,   6048,6756,   8259,7431,   
6,-812.9049,10,0,0,1295163,0,0,126.408356,0,0,2446690.5,-4125.165770993151,-1063.6327492810235,5188.798519785647,-71538.82190551044,-12271.625004997764,258717.79253901148,88.00392,258.6705,   7658,8368,   7392,7374,   709,412,   1036,1067,   2250,2024,   
7,-405.70523,10,0,0,589375,0,0,146.13457,0,0,716692.1,-2023.576320851078,-1182.2045494140764,3205.7808688328228,-32748.23682874638,-35954.45895362328,118532.11731273023,80.719284,156.01688,   5055,5057,   1651,2539,   2094,2017,   2812,2773,   3664,3653,   
8,-303.05063,10,0,0,497014,0,0,184.57568,0,0,2048129.9,-1220.6662403781254,-490.2163408333796,1710.882581170002,-19483.196292978977,-4976.412157911886,66246.40445069346,64.29024,277.96707,   6501,6499,   8263,8267,   4097,4106,   1470,1515,   4858,106,   
9,-476.32056,10,0,0,611761,0,0,111.93455,0,0,2458632.2,-2278.2749373040215,-1208.683273932888,3486.9582108485993,-35895.07257909052,-23739.389281382537,172445.2924094163,75.35907,342.24234,   1787,1779,   4691,4715,   7809,7808,   2920,5773,   3948,1190,   
10,-327.67126,10,0,0,558634,0,0,165.85376,0,0,1679008.5,-2215.5810663301045,-1023.1138920246523,3238.694962521251,-32099.240362923232,-10984.608635071927,106330.21512207773,97.961716,314.57895,   5977,7016,   7594,7603,   1801,1818,   132,5039,   6794,6795,   
11,-687.7093,10,0,0,471701,0,0,76.24817,0,0,1568681.2,-2053.9846568504463,-673.5718610678521,2727.5565178394527,-31977.745044577616,-8122.923611579342,112045.85162980239,46.498928,336.11258,   4290,4287,   4721,4608,   2353,2308,   7228,7204,   4431,4504,   
12,-582.9273,10,0,0,2108656,0,0,172.14449,0,0,9833103,-3423.470789710811,-1014.6344074435666,4438.105196676276,-57468.66329169563,-11771.509439923537,230313.59360863065,98.58633,285.17358,   1703,2389,   5870,3245,   515,647,   1481,1450,   7251,7202,   
13,-302.76498,10,0,0,323004,0,0,198.77295,0,0,2027499.4,-1617.368864344721,-554.0965897469881,2171.4654540559236,-29568.465998175765,-7489.016964222351,79720.54685092441,97.661446,260.1708,   7754,7687,   477,266,   6580,6626,   6127,6128,   5163,1030,   
14,-842.12177,10,0,0,706950,0,0,154.9149,0,0,1594148.2,-4016.761274150104,-906.8055214172687,4923.566793910558,-77893.11754396418,-13282.06569479997,258420.718996116,92.49626,182.30772,   4861,354,   5206,2682,   4691,3189,   4466,63,   5740,5703,   
15,-1005.03345,10,0,0,575880,0,0,209.18863,0,0,3494252.8,-5654.0614677936765,-1461.0637413504994,7115.125208664512,-95118.03552833771,-14862.821602222257,402347.4443408883,94.64166,167.39087,   3122,3044,   3275,4880,   441,29,   1108,2306,   2342,2453,   
16,-1186.0557,10,0,0,344617,0,0,90.86203,0,0,757912.4,-3385.3071971275494,-977.10510058125,4362.412298124015,-55572.6955124134,-9399.634299782942,144489.75079119654,46.85505,167.31284,   859,883,   462,4390,   4639,3549,   1145,1517,   5993,2080,   
17,-432.60294,10,0,0,471670,0,0,140.60077,0,0,1383274.5,-2305.657103768124,-772.2470661374456,3077.9041709286794,-37186.418125934906,-9553.500909127895,148861.48819160572,85.9597,267.57898,   4680,3572,   3700,486,   7726,8003,   700,676,   5450,5395,   
18,-551.94006,10,0,0,395958,0,0,238.89154,0,0,1892206.8,-3164.369749300137,-882.9827439404044,4047.3524952329494,-54671.22855119693,-8935.614634647449,236095.7286376618,99.05284,260.44806,   8273,7439,   4688,3559,   5491,5529,   265,131,   1078,2338,   
19,-928.6327,10,0,0,879241,0,0,136.56354,0,0,3135338.2,-5174.045312984798,-2083.974925000999,7258.020232026884,-86040.2835906046,-23215.270364762608,409137.8823731534,92.65265,171.83769,   6850,1130,   3061,7125,   896,925,   1728,4042,   4695,4591,   
20,-3674.346,10,0,0,4897564,0,0,128.76466,0,0,13189935,-18304.613617239786,-3886.1343175332568,22190.747929470705,-303730.0333914401,-45570.4687352978,1222676.9873110298,82.66234,342.62195,   7455,7519,   2996,2227,   756,178,   7228,7206,   505,181,   
21,-1365.3805,10,0,0,785091,0,0,160.95816,0,0,4088208.5,-8443.86751919392,-2808.7329050809594,11252.600426134153,-143468.42994406648,-34829.58899461419,649056.8440597216,105.07579,291.26025,   7806,8067,   437,356,   6095,6779,   1885,4250,   1124,6834,   
22,-1005.7298,10,0,0,527265,0,0,92.49698,0,0,3215655,-3926.660346006117,-1299.5939665249412,5226.254311238728,-76964.09944573486,-16434.484889224866,295368.393773593,76.52563,222.23953,   482,101,   2122,6606,   4416,4395,   7198,6902,   1778,1786,   
23,-1090.3927,10,0,0,535797,0,0,151.53548,0,0,2538871.8,-6510.546745154565,-1668.989452284228,8179.536197182859,-125109.95238692468,-19222.457461467082,564516.5635433753,114.73844,147.55936,   6218,3467,   275,194,   1331,2664,   6367,2007,   1057,1325,   
24,-1465.9822,10,0,0,2091825,0,0,202.14198,0,0,15418290,-10219.422615507161,-2596.081794037879,12815.504411967468,-172272.8470448494,-27903.372509335357,851736.5033997728,117.513596,272.68408,   6469,6479,   175,20,   7140,7051,   8237,8222,   1570,1410,   
25,-250.42717,10,0,0,230872,0,0,209.61047,0,0,1470343.9,-1209.7322896274611,-386.0532067304356,1595.785496108355,-24904.26253170949,-6165.101597880037,85269.02097583261,99.44712,269.19434,   4836,4472,   5901,5885,   3460,6254,   7578,7608,   6929,6936,   
26,-427.4922,10,0,0,1585757,0,0,203.96483,0,0,14496604,-3586.0560448463566,-1723.321391333173,5309.3774368135655,-55315.36705113821,-20731.35658130376,380051.8302445486,129.39503,389.58502,   2536,2299,   7257,7268,   3146,3907,   4297,5000,   660,4946,   
27,-696.53064,10,0,0,1298720,0,0,153.09018,0,0,2339693.2,-3270.735090197145,-704.9939121479104,3975.7290035823034,-56909.58458794651,-7579.135659447831,156811.4113660571,81.70435,134.3386,   2000,1914,   6026,5881,   1344,997,   289,278,   778,289,   
28,-262.93665,10,0,0,207264,0,0,148.5324,0,0,1279041.9,-1700.032353735349,-841.803597026453,2541.8359489728587,-23735.42406124144,-8350.99708744332,107267.40280578623,90.27051,97.90954,   4640,4662,   2899,2891,   4603,4625,   4644,3599,   6483,4309,   
29,-500.8605,10,0,0,626856,0,0,182.91556,0,0,1943491,-2685.43359905514,-763.8950401300575,3449.328636719201,-45738.2286110428,-14492.767593643415,157513.06450184187,91.3193,242.30623,   7866,7854,   3285,4774,   1656,1694,   843,89,   5438,3755,   
30,-426.50955,10,0,0,516528,0,0,130.41464,0,0,632238.3,-2165.212636263543,-900.6269592196892,3065.8395986777346,-33414.59055574582,-13026.159777002467,140054.37171897554,78.34429,304.2663,   6415,3545,   409,338,   7399,7752,   5489,2918,   3972,3971,   
31,-388.90634,10,0,0,208836,0,0,266.67822,0,0,1118753.1,-2816.318151370589,-772.2222442368358,3588.5403954097615,-50003.99959336851,-9064.308006095192,184152.22905548124,128.57594,293.31345,   6702,7022,   2735,2777,   110,705,   8294,8216,   3333,66,   
32,-1142.5017,10,0,0,448977,0,0,74.898895,0,0,1186716.5,-3100.769871395664,-709.955019873986,3810.7248912623727,-53495.987981887156,-7477.519078306102,126615.47650987907,46.82355,238.86102,   1052,998,   881,857,   8092,8345,   5257,2892,   3711,3726,   
33,-595.353,10,0,0,460981,0,0,130.90997,0,0,2195507.2,-2850.669066291627,-1092.5438713807844,3943.2129357539297,-47994.75687163431,-13162.355702391871,205361.04144817064,80.61563,327.94742,   8409,8424,   4971,5054,   4159,4100,   5719,2853,   1851,5613,   
34,-1073.4857,10,0,0,3307118,0,0,121.85484,0,0,10182060,-5343.058275864727,-1862.157234469915,7205.215511379423,-94673.79147940171,-26627.580974115805,580881.8650663934,88.19287,274.1755,   6084,2147,   7857,7899,   4509,4447,   117,3696,   4633,4635,   
35,-924.85535,10,0,0,384921,0,0,166.53905,0,0,982704.7,-4529.221306048816,-1352.97467078982,5882.195975679557,-81437.96121349598,-17579.053090915666,243300.92588887413,88.05481,229.03659,   3852,1513,   5776,5698,   391,746,   8425,7630,   2827,5684,   
