idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,gameState20,gameState21,gameState22,gameState23,gameState24,gameState25,gameState26,gameState27,gameState28,gameState29,gameState30,gameState31,gameState32,gameState33,gameState34,gameState35,gameState36,gameState37,gameState38,gameState39,gameState40,gameState41,gameState42,gameState43,gameState44,gameState45,gameState46,gameState47,gameState48,gameState49,gameState50,gameState51,gameState52,gameState53,gameState54,gameState55,gameState56,gameState57,gameState58,gameState59,gameState60,gameState61,gameState62,gameState63,gameState64,gameState65,gameState66,gameState67,gameState68,gameState69,gameState70,gameState71,gameState72,gameState73,gameState74,gameState75,gameState76,gameState77,gameState78,gameState79,gameState80,gameState81,gameState82,gameState83,gameState84,gameState85,gameState86,gameState87,gameState88,gameState89,gameState90,gameState91,gameState92,gameState93,gameState94,gameState95,gameState96,gameState97,gameState98,gameState99,gameState100,gameState101,gameState102,gameState103,gameState104,gameState105,gameState106,gameState107,gameState108,gameState109,gameState110,gameState111,gameState112,gameState113,gameState114,gameState115,gameState116,gameState117,gameState118,gameState119,gameState120,gameState121,gameState122,gameState123,gameState124,gameState125,gameState126,gameState127,gameState128,gameState129,gameState130,gameState131,gameState132,gameState133,gameState134,gameState135,gameState136,gameState137,gameState138,gameState139,gameState140,gameState141,gameState142,gameState143,gameState144,gameState145,gameState146,gameState147,gameState148,gameState149,gameState150,gameState151,gameState152,gameState153,gameState154,gameState155,gameState156,gameState157,gameState158,gameState159,gameState160,gameState161,gameState162,gameState163,gameState164,gameState165,gameState166,gameState167,gameState168,gameState169,gameState170,gameState171,gameState172,gameState173,gameState174,gameState175,gameState176,gameState177,gameState178,gameState179,gameState180,gameState181,gameState182,gameState183,gameState184,gameState185,gameState186,gameState187,gameState188,gameState189,gameState190,gameState191,gameState192,gameState193,gameState194,gameState195,gameState196,gameState197,gameState198,gameState199,
0,-660.4558,200,0,0,13713964,0,0,3416.0552,0,0,50396872,-71309.63674,-22262.97641,93572.61316,-1253820.459,-278444.6082,4805750.009,1898.4169,252.17093,6952,6989,1626,1620,675,99,6902,6901,4880,934,2525,1622,7282,7290,732,629,948,777,2793,2734,5172,1561,128,162,7366,7373,891,310,2078,2167,4285,4306,3823,6069,419,6188,2633,1392,6670,2766,8424,7663,3815,2643,8294,8294,1439,1528,4253,2605,6729,2391,634,6191,4627,4607,6833,1128,2447,2349,8308,8085,1378,982,868,898,5157,5175,5149,986,1894,4277,7470,8332,2587,2561,7742,7728,1406,985,4970,4925,6474,6401,6092,6130,3826,3838,3380,4578,1166,3047,7535,7619,4195,4187,2184,2107,1854,1804,1569,1460,736,388,3842,6027,7467,7797,5245,5222,4524,1268,7390,7376,6167,6149,6573,6598,2837,2471,2674,972,4331,3503,1,4951,301,463,2966,6573,7860,7987,3987,5605,7506,7500,2706,5090,935,4746,7188,7025,7617,7503,499,41,3318,3359,6237,6290,5675,5674,484,4794,7555,7535,6268,118,3083,3118,7026,7049,7377,7386,3593,3536,5439,5441,2737,2758,2159,2082,4099,4107,4332,4295,1549,1505,8061,8390,4738,414,5699,4032,1534,1389,3937,3942,493,3690,4974,3357,305,718,173,446,2976,1277,5204,1551,   
1,-483.52728,200,0,0,9349449,0,0,3478.3865,0,0,41330056,-50894.84722,-15997.7456,66892.5928,-879542.5044,-216042.4186,3114297.426,1819.0132,251.15215,3171,4104,2990,2978,5605,3987,1484,1567,2873,5740,7725,7582,986,1123,7918,7918,6701,1713,4936,4903,4601,3538,7283,7295,6822,6795,2878,5782,3898,3146,6215,518,7200,7176,5090,1552,19,369,6467,6462,6462,813,790,4918,2345,2302,7377,3975,1108,1408,5668,5670,4957,5045,4646,4576,4230,1836,5129,5126,4491,4401,8048,8034,948,240,582,6190,3534,3525,6603,6623,3997,4002,5707,4023,527,891,6312,6305,5565,5510,7391,7389,1716,4084,4588,4712,4192,3225,3433,3369,4067,2885,6767,2559,7866,8300,6577,1277,1548,953,7575,8417,7315,7424,595,174,1965,6340,3359,5009,5073,6741,1355,969,6585,2008,818,214,5611,1804,3130,1158,6760,1748,3090,3068,5548,5521,7370,7371,3604,4635,5008,5018,6952,6956,7146,7070,5013,4913,8391,8082,5502,3780,179,891,2778,2808,5872,2233,3405,6279,5359,5361,1026,1090,3856,3849,3965,5117,727,123,8219,8355,4809,4755,3770,3787,3700,3709,2932,2937,5462,5469,264,283,7396,7397,2282,5073,2002,1950,4835,3658,2325,2261,151,839,7013,7033,7786,7468,7981,8389,4711,6527,4930,4349,   
2,-674.3788,200,0,0,14227318,0,0,3075.3896,0,0,54761668,-67521.32627,-22145.39195,89666.71823,-1177249.39,-299453.2624,4663245.065,1745.6797,244.83041,7716,7682,2652,1398,1948,6666,2002,1975,2482,2848,7091,7171,3890,2666,4285,4310,3618,6730,4687,4217,5452,5379,4129,4170,8402,8423,6698,1821,2554,4235,1415,1034,5550,3488,8155,7779,4907,5016,7301,7296,433,202,1613,1631,7433,8277,209,387,4727,4598,4210,4195,2617,4280,708,945,206,680,4266,2570,1560,5194,7186,7108,6252,6201,1866,1827,5135,5104,8368,8121,1048,4077,5350,5352,7536,7600,7119,3084,7826,7892,6062,6060,1859,1888,7214,7260,527,201,6177,6178,1938,2183,3451,3373,2270,2442,3102,3084,6166,6167,6230,6251,3208,4217,3749,3750,2232,2189,7902,8123,6287,4583,2957,2974,2021,6593,2989,2220,6917,6915,2127,2146,160,6787,3910,3163,4659,4625,2161,2031,108,800,2639,1439,5973,5973,4640,3605,1303,1354,4172,4136,1686,1620,2085,5984,1995,2227,7199,7052,2211,2001,3257,3265,3862,1078,6664,2086,2886,6336,6719,5539,2550,2620,5323,5321,1257,1267,255,390,3131,6546,8331,7843,8161,8157,2296,5129,6346,5286,2536,2512,5802,5862,124,890,2123,1927,6408,6405,1008,1029,610,280,5988,5994,1700,1742,   
3,-538.45325,200,0,0,12072340,0,0,3233.032,0,0,46091440,-56029.79553,-19829.87282,75859.66833,-935861.453,-282957.28,3729210.27,1738.0552,263.43365,3858,1458,5220,2057,5403,5453,5403,5472,8237,8227,2007,1939,2542,2484,8387,8331,5302,5302,5118,5210,299,450,5441,5441,7218,7208,3149,3900,1776,1805,7317,7426,5092,1575,4612,4673,3992,3993,649,217,2034,1971,7862,8193,4632,3565,6264,95,3773,3640,4561,4533,6205,6254,7550,7701,2397,1716,6159,4435,2638,2663,3837,3863,3955,3926,1373,1073,3257,2917,4804,3780,5683,2845,3895,6030,2485,2462,3058,3058,1192,3958,5578,8243,841,918,3886,3816,7062,7116,2769,2771,3939,3902,7185,7012,2004,1932,5991,2230,7485,7796,7372,7370,7224,7217,1022,2661,2918,6675,2689,1534,1275,4541,7680,7691,954,956,3356,4951,5435,5388,3585,4624,5802,3663,7951,7951,163,357,6031,3029,8151,7762,3677,5825,646,149,4937,5033,5799,5808,3315,4477,4563,4560,3476,3280,2352,2381,374,257,5513,3626,8377,7676,6413,4666,7058,7165,2432,2476,7130,3075,1917,1940,5410,5455,8191,8363,2409,5653,3610,3767,8206,7453,259,676,8313,8429,5012,5009,1734,1735,2192,2143,4973,5051,6174,6764,1652,2513,2530,2460,4896,4888,6334,2069,5630,5627,   
4,-564.141,200,0,0,12371909,0,0,3450.245,0,0,46112196,-57628.15504,-19355.24905,76983.40409,-1010391.417,-295093.3921,4008594.465,1791.0265,240.34349,668,6658,751,344,1719,1614,6717,1004,652,6237,3650,3488,3053,6518,2158,2093,3637,3498,6594,6601,4100,4122,5855,6743,6397,6415,5706,5326,8002,8413,2507,2450,7278,7240,7490,7629,6693,6236,2750,2758,5857,5808,7077,7157,4552,7120,3096,3117,4042,1701,5226,4060,4805,4876,8260,8257,2462,2267,4776,4734,3302,3307,1484,1427,5463,5470,3097,7163,8281,8291,5165,1396,8345,8104,356,24,7476,8349,3871,3861,1597,1480,1802,4235,2552,4257,925,6248,4564,4542,2668,1521,2655,1527,6753,2190,2438,2472,1176,3133,5051,4973,3785,6103,4743,58,3765,6734,7495,8001,3945,1193,5327,5713,3862,1032,7506,7502,7192,7096,5430,5427,2536,2347,2795,5301,1985,2056,6656,548,6175,5417,6475,6445,1633,2528,6726,1701,1784,1811,3503,3520,367,695,557,6203,602,616,1864,1902,5914,5934,7010,7020,1201,1197,1894,1250,4218,5944,7035,7000,1610,1755,1907,1822,5206,5209,4894,5009,2935,5229,1606,2394,3126,3084,3303,4480,3219,3219,7068,7113,754,153,6328,6018,3134,3071,4473,16,3707,4768,7440,8058,3367,771,7919,7919,3010,6052,   
5,-704.60065,200,0,0,16837892,0,0,3446.3608,0,0,74189130,-81800.19043,-28044.41445,109844.6049,-1424448.483,-429227.2718,6183187.108,2021.6395,259.24872,2652,1007,8105,7881,2591,2564,5876,2098,8291,8318,6512,3235,5224,2052,6875,3811,392,64,5794,5797,7538,7556,3615,3652,2988,5876,5278,5268,1857,1778,4852,3712,3045,3117,721,842,6187,824,6973,6977,1251,1795,3637,5541,2177,6579,1493,2668,6272,434,1963,6377,1963,5266,7756,8168,7655,7630,5770,5329,615,857,4788,91,8363,8355,448,6716,448,662,1230,1225,124,94,3426,575,1943,1965,6510,3236,2463,2384,3159,4145,7493,8417,7242,7253,7303,7290,5679,5687,348,369,4970,3332,8344,7511,1422,1520,7159,7043,6637,2010,6471,6435,7198,6925,5494,5568,6266,240,2864,2873,1000,1420,3214,4209,1488,1130,279,443,1020,1443,3083,1162,408,95,6708,2905,1188,1187,4766,259,5719,1214,5354,5334,648,260,905,12,354,87,5419,5459,5353,5776,1722,4087,5821,5796,7653,7647,4273,4264,1269,1158,6520,6528,5107,5154,5471,5461,5135,993,4043,1689,141,166,5457,6164,7789,7450,2680,963,996,5068,3425,361,7416,8166,3958,3946,2040,2050,6121,4446,7341,8200,3907,3151,5306,5304,8072,8092,3609,3276,7512,8062,   
6,-659.67896,200,0,0,13809645,0,0,2945.7866,0,0,52451124,-65185.89285,-22119.92133,87305.81418,-1110186.584,-274670.1008,4580698.03,1682.9196,255.72943,3413,3383,7769,7737,5217,6676,1809,1863,1443,1003,7661,8380,2703,5095,7514,7793,191,867,2968,2961,3220,3210,1920,2095,5749,2948,2640,1529,557,903,5202,1553,8229,8245,6409,6456,7900,8354,2167,2027,1794,1809,152,908,5907,5907,252,268,3767,3782,4448,4447,5877,5873,1227,1229,7411,7424,7286,7285,5503,5512,3521,4314,4127,4172,7856,7898,5747,1747,2185,1946,4353,70,8173,7399,2294,2381,5973,1229,2249,1960,1176,3054,2028,6636,3144,3154,6186,840,7544,7615,508,6260,5265,5252,6956,6982,2321,2531,5272,5256,4274,4230,4237,1871,1169,3106,6242,82,7107,7096,6787,835,466,719,4125,4126,1373,1330,3931,3933,5974,1224,1885,4249,324,674,3807,1524,2656,1548,1587,3847,4219,5945,5216,6339,6769,2339,6944,6976,4441,6095,6771,1315,5224,2905,7422,7312,803,804,3812,3883,3336,5045,7425,7421,886,765,3290,4765,1434,1338,5829,3415,1916,6587,2011,2089,7668,8114,2618,2603,5939,5944,1166,7135,1968,5992,1820,1897,5915,3061,2442,2451,1731,1715,3805,2632,6731,3630,5952,4204,3558,3580,4904,4905,307,713,   
7,-662.73114,200,0,0,12351824,0,0,3104.4302,0,0,47735244,-69280.69204,-21346.49642,90627.18844,-1209841.634,-271162.5658,4631809.936,1825.5391,293.66537,2125,2224,702,584,1584,1512,3387,3230,369,804,6933,6990,2001,2085,3807,3815,7225,7264,555,101,8268,8263,4275,4244,4884,3694,8205,7524,7837,7892,1123,5189,7965,7967,4155,4107,5343,3260,1406,3824,1698,1623,3345,4967,6056,6057,7680,7687,5769,5756,3451,5831,889,4945,5374,5334,1303,1296,7792,7894,3748,3743,1450,1569,4619,4713,8059,8056,7322,7425,337,762,5473,5389,7479,8342,3292,4429,8271,8059,7177,7126,4143,3155,247,513,7268,7283,8259,7431,3374,3427,2316,2445,3612,5510,7863,8303,1878,4252,7956,7937,4024,5701,5975,5963,987,5155,521,949,631,469,3410,3413,4856,3726,6203,6711,4858,290,8378,8379,5416,6170,4191,4675,3234,6514,6454,6477,7962,7962,4334,3520,6220,6218,1270,4543,3984,1201,2110,6630,7879,7809,8037,8305,7122,1159,1388,1392,2020,6625,1815,1769,7338,8399,5460,5462,2448,2543,3100,3087,1240,1237,6893,6891,7626,7582,4266,1252,5618,2256,4378,4415,7845,7476,214,527,7488,7579,7990,7586,6276,217,5670,2741,3238,4547,2088,5872,7711,7700,3491,3652,7683,7493,6770,1531,3382,3462,   
8,-917.6173,200,0,0,18146619,0,0,2868.8376,0,0,72111024,-88140.06108,-25792.08186,113932.1429,-1546061.864,-357182.0605,6040964.998,1684.8656,243.8092,658,634,4434,4386,7976,7792,3558,6425,947,947,8083,7791,6317,6214,8180,8171,3918,3959,4030,5732,775,545,331,860,844,173,5208,5210,3263,5364,2034,2005,194,459,3683,3689,6971,6980,1755,1725,4902,4942,3029,3832,6711,782,6455,6435,4940,5033,4869,3720,2584,2594,3248,6495,4370,4481,424,3693,4984,696,696,288,4476,303,4935,5023,1690,1680,2859,5231,1596,5195,6625,1921,1965,2203,620,700,8068,8042,3262,6734,3189,4186,2624,2612,7888,7897,216,922,7353,7361,4583,3467,7364,7364,7893,7648,7054,6998,4137,4123,2525,1601,5955,5948,200,326,2984,5992,4824,4839,6893,6894,3431,922,675,42,7701,7573,6593,6606,2635,1541,5975,1231,2762,2739,1187,1187,5820,5866,6594,6621,7751,8166,5735,4018,6628,2221,3444,3701,1850,5611,1987,6567,65,307,362,4883,1874,1905,2507,2466,968,2665,2508,2411,3196,4199,1279,1276,587,777,998,5102,6091,6095,7861,8189,2136,2078,6283,595,5749,1697,2770,2806,7599,7627,3062,6746,564,933,6043,1948,4895,4899,7126,7180,632,241,1904,4237,4141,4162,1657,1736,   
9,-664.01715,200,0,0,17671615,0,0,3326.7593,0,0,64405324,-67602.47129,-20946.75315,88549.22445,-1141143.326,-269216.7447,4850705.345,1718.545,274.0681,7197,3848,1520,1574,2778,1666,5427,5452,5427,5432,7915,7785,378,78,3570,4632,5641,5652,2445,2331,1492,1476,7735,7493,3031,4055,5081,952,5338,5294,695,6716,5467,5479,7168,7146,7454,8064,2066,6353,4640,4663,1263,4568,1351,1290,1245,4212,1245,1235,4260,2593,4617,3582,3926,3915,5581,5598,5643,5618,7901,8128,8083,7834,5926,5914,7015,7150,4303,4292,1846,1902,5711,1646,5978,5967,6091,6095,1067,1013,7251,7261,3221,4214,4206,4198,4131,4172,4420,4349,1528,5171,619,56,5636,5637,7121,3034,245,662,8189,7802,7693,8420,4701,6284,7062,7073,4752,5825,4188,3209,6694,659,8215,8401,2267,2291,2267,2459,6976,6976,982,961,3585,3549,175,338,5123,5100,3337,3299,3510,6393,1213,5719,213,533,2372,1016,2082,2177,7870,8388,1147,1565,644,757,2746,5673,3352,3328,3603,4687,6633,6593,7803,7824,1829,1801,741,512,2822,6671,6750,1803,3463,3442,8217,8320,7282,7274,2554,1899,6532,6529,1292,993,4643,4658,6653,6192,845,6644,1314,1030,7271,7215,4312,3502,3860,1010,7747,7753,1782,5601,1389,3885,916,859,   
