idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19
0,-902.8764,20,0,0,3637382,0,0,320.07053,0,0,10986275,-10396.240955339454,-3565.0359052434537,13961.276861192315,-187110.07674870917,-46809.87494349014,745751.6058308361,207.23775,206.6842,   2680,1296,   5968,1226,   4619,4721,   7002,7033,   1938,6084,   3614,3290,   7817,7515,   3282,4867,   1941,2152,   2182,2227,   
1,-514.49286,20,0,0,985449,0,0,292.32504,0,0,3874947,-5608.828602908108,-2329.130535904433,7937.959137663143,-86310.33618042668,-27514.56466884486,374310.12663863343,167.75809,314.94107,   7328,7321,   7864,8116,   3561,4636,   6054,6074,   7964,7964,   6159,4500,   4387,4424,   4533,4568,   4015,2932,   5079,1421,   
2,-766.81866,20,0,0,815154,0,0,455.4696,0,0,3121946,-10503.139457236995,-2350.802338479932,12853.941796926807,-180834.2212784918,-22813.675628296653,747381.4895844184,235.82397,283.44162,   6407,4305,   6318,829,   7198,6900,   736,316,   7433,8040,   8179,7329,   2244,6061,   608,693,   4034,1663,   5395,5480,   
3,-909.87805,20,0,0,2143616,0,0,303.77368,0,0,11203955,-10614.605353039413,-3978.3203250874935,14592.925677347073,-193342.31067665413,-52794.37598952741,920308.3213253397,212.49255,287.41226,   1487,3852,   4982,66,   827,256,   5269,2901,   5011,4948,   3763,2917,   7529,8347,   7786,8062,   8133,7891,   6540,1164,   
4,-1254.0217,20,0,0,1739713,0,0,283.3006,0,0,6034935.5,-11995.293150668807,-2963.3768286912796,14958.669973298413,-207097.54981607568,-34456.21270752648,870596.2954249217,165.1467,256.58618,   4236,1861,   696,446,   1826,1876,   7806,8125,   4227,5585,   2043,2066,   4976,4976,   1405,3862,   6184,850,   3072,3109,   
5,-386.87323,20,0,0,771689,0,0,326.6593,0,0,2038354,-3669.0553547537215,-1367.7079708024035,5036.763326887827,-64082.624669460616,-19568.278782015303,177516.53187029317,165.64244,213.43636,   6087,5269,   5909,5875,   725,6641,   2082,2095,   7894,8078,   5402,5377,   2561,2611,   3846,6024,   6612,2014,   6978,6971,   
6,-1533.5547,20,0,0,11102257,0,0,354.8084,0,0,47654512,-19347.1935859676,-6146.278824547196,25493.472391645922,-322803.68195437855,-84220.00741348816,1800433.1696198995,210.49376,200.17987,   2629,5659,   7189,7134,   3597,3541,   3465,3427,   6320,214,   6850,1483,   892,182,   2988,5901,   6096,6140,   2749,2726,   
7,-752.53723,20,0,0,2216982,0,0,290.9593,0,0,6287288,-7634.44623316293,-2468.6383065646082,10103.084542517445,-127179.31844435343,-32182.35737565819,501289.980990794,169.0007,257.16254,   2900,5261,   6119,6162,   2466,2311,   788,29,   1585,1511,   922,636,   7407,7780,   2569,4253,   7438,7431,   6630,1948,   
8,-1029.7761,20,0,0,775281,0,0,323.28598,0,0,3723669.8,-9346.492832356766,-2651.5833176356086,11998.076152868607,-171220.0436633609,-30816.860940493407,462738.81452373316,166.2692,221.6247,   4707,6533,   5070,5153,   6031,3830,   7613,7554,   1767,1904,   258,6198,   7193,7033,   1379,1391,   2007,6582,   3111,1267,   
9,-1040.0674,20,0,0,1996602,0,0,278.5023,0,0,7273376.5,-10331.659777929437,-2905.219511021589,13236.879291456851,-167142.88877684023,-35092.601599726266,686775.9158639928,160.7039,338.88684,   8060,8035,   512,396,   7765,7422,   3212,3207,   7207,7243,   7478,8183,   709,316,   5817,5807,   8216,8310,   2185,6080,   
10,-337.55307,20,0,0,667097,0,0,342.9885,0,0,2761116,-3305.866188220846,-1265.649905215171,4571.516094258232,-58752.396194791625,-22092.966636870067,172991.65457147078,174.0538,274.11533,   2796,5303,   6890,6888,   3228,3237,   5919,3051,   5848,5830,   4388,3291,   5654,4263,   688,195,   7908,7824,   8313,8111,   
11,-761.10364,20,0,0,1626324,0,0,273.83698,0,0,4623226.5,-8994.58472200394,-2313.685075991915,11308.269798292502,-146249.83060613417,-24482.490242418822,549729.8447333372,192.15495,304.57956,   6,787,   2447,2450,   6759,1097,   6998,7031,   7508,7758,   6433,831,   5221,5235,   7262,7201,   4790,757,   8041,8193,   
12,-664.1091,20,0,0,2774966,0,0,335.47906,0,0,16620040,-7376.658003531358,-2219.289481288043,9595.947488797889,-124800.6180199909,-24696.85329151418,654283.3697107671,187.92188,210.68509,   4689,3198,   4687,3561,   639,4799,   110,609,   1748,1735,   3443,3722,   7036,7159,   7677,8114,   5557,3494,   5895,2978,   
13,-389.86157,20,0,0,706404,0,0,334.43503,0,0,4253547,-4367.871075798319,-1518.4636609852732,5886.3347369976045,-78440.4231325301,-19442.186965340763,328123.2182359951,201.2007,245.21729,   3088,1180,   3445,6217,   6793,6791,   3245,3240,   6181,124,   5108,5106,   2631,2580,   7605,8412,   825,8,   4535,6618,   
14,-554.8676,20,0,0,1020283,0,0,367.60413,0,0,5393282.5,-5376.321168371001,-2260.033935537073,7636.355104352808,-97206.13911464863,-45625.60958997997,310358.4553806604,175.18799,223.3038,   2818,2740,   3008,3832,   3457,3372,   4930,4919,   4622,3566,   2933,4016,   7270,7276,   3025,3833,   5686,2811,   4059,6691,   
15,-318.91318,20,0,0,773316,0,0,366.28394,0,0,3846116.5,-3726.9301692193726,-1484.9200866534243,5211.8502559568215,-67794.21915577509,-18056.877121901412,242248.7457734158,212.57892,325.0686,   4201,4217,   6392,3518,   7681,7490,   3348,4399,   7593,8433,   4894,4993,   5615,5620,   5918,1166,   6590,1932,   3926,3949,   
16,-385.41663,20,0,0,795966,0,0,401.8258,0,0,2937306,-3740.6402189582773,-1710.550528398713,5451.190745691895,-67405.31216747496,-24458.299574126933,212470.95365654086,174.88948,273.89984,   4363,3358,   5603,1865,   6136,5443,   4344,4297,   7609,7630,   2061,2057,   4407,4390,   3546,4616,   4903,4910,   3909,3159,   
17,-444.76187,20,0,0,455784,0,0,303.10712,0,0,1502897.5,-3827.946611724054,-1463.849996020217,5291.796609539867,-74936.7316548094,-19398.70421457145,170107.43101038047,168.48732,204.26196,   5541,3471,   7736,7691,   5083,2676,   5895,2981,   1822,1824,   5372,5376,   1812,4231,   3853,6860,   1152,1474,   3414,4585,   
18,-1058.2441,20,0,0,1663247,0,0,331.72003,0,0,5043355.5,-11714.27807107192,-3615.1062007178707,15329.384278283636,-203349.02326483707,-76393.2098690933,767259.923320575,192.157,209.18076,   4356,1,   5664,2839,   6305,4596,   1119,1002,   3036,1182,   3761,3773,   4817,53,   798,576,   5487,3258,   7992,7495,   
19,-416.55072,20,0,0,1992594,0,0,222.06682,0,0,16442085,-3556.0108906940395,-1343.9524166233825,4899.963304463909,-62605.331792186495,-16292.620422321506,226722.25595217256,150.29462,258.28015,   4574,4528,   1503,1570,   7141,7118,   1708,2540,   900,585,   3345,3343,   6915,6920,   7272,7259,   2863,4063,   6822,6824,   
20,-523.98566,20,0,0,1125312,0,0,332.41162,0,0,3953335.8,-5685.263351397872,-1777.0130758720868,7462.276426718148,-101640.0874807748,-24021.41313759648,413405.925204165,193.97493,215.77263,   4722,4626,   6086,1919,   7471,7483,   578,158,   5357,5365,   2362,1602,   2197,2097,   1073,990,   6954,6936,   4809,3611,   
21,-364.23456,20,0,0,943180,0,0,310.42233,0,0,2288269,-3777.9990757744736,-1270.723706180129,5048.722781813759,-66516.85788741676,-15480.867511719875,215376.19438396944,182.62094,226.96317,   8100,7843,   8396,8218,   6510,1264,   6216,6275,   1897,1861,   1407,1020,   2524,2416,   4008,5777,   6007,2187,   5776,5738,   
22,-520.8342,20,0,0,1599692,0,0,350.65833,0,0,6381170,-6272.946047650602,-1998.3816073035878,8271.327655672229,-110478.63862577674,-22402.539362880707,442401.5776385909,212.11864,180.74342,   4523,1263,   1330,1016,   1770,1838,   952,1336,   5624,4270,   7001,6978,   7846,8139,   4045,1717,   5074,5164,   2328,2492,   
23,-567.0131,20,0,0,1602321,0,0,238.26202,0,0,3241736.2,-4725.582969142926,-2027.5285276738812,6753.111496813809,-86167.15077870207,-29312.532818995805,343560.83513282053,151.96677,254.31737,   2895,5218,   7618,7559,   6610,2003,   6152,6174,   7547,7554,   3127,3124,   3512,6468,   5116,5209,   1536,2672,   5568,5494,   
24,-1725.5944,20,0,0,2769196,0,0,226.51517,0,0,12053964,-16467.919943237095,-5091.453420044192,21559.37336387004,-279580.7968513856,-69553.47847201841,1346658.7170841282,162.01999,305.48233,   8093,7819,   930,527,   5150,5198,   1856,1894,   237,344,   2900,6334,   7208,7269,   3570,3586,   1447,5191,   3143,3143,   
25,-404.12558,20,0,0,648735,0,0,298.19873,0,0,2308107.5,-4608.380014818804,-1309.8384644830694,5918.2184857308885,-82048.49691599747,-17045.333786585834,267464.3917280954,203.02724,258.77756,   5388,5389,   4684,3602,   3445,268,   6934,6932,   502,814,   317,864,   1613,2534,   7203,7204,   1528,1477,   4928,4400,   
