idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,gameState20,gameState21,gameState22,gameState23,gameState24,gameState25,gameState26,gameState27,gameState28,gameState29,gameState30,gameState31,gameState32,gameState33,gameState34,gameState35,gameState36,gameState37,gameState38,gameState39
0,-1052.7904,40,0,0,4633931,0,0,700.1826,0,0,33704068,-22138.236334175497,-6660.611348929127,28798.84768332988,-375615.06245650986,-89161.76227563409,1554985.9200260497,356.78046,300.5262,   6001,5988,   8159,8167,   3270,4753,   7342,7342,   747,376,   7766,7400,   1018,1386,   4766,4756,   2933,5752,   4822,3283,   8174,8152,   8310,7850,   106,6227,   7221,7278,   4943,4896,   1478,1525,   518,538,   7794,7790,   7368,7384,   2051,5216,   
1,-787.8966,40,0,0,3552706,0,0,733.61145,0,0,18947054,-16351.230248975833,-5372.440088993382,21723.670336855357,-289050.0577471466,-71776.93346580042,1174999.4863584798,366.86295,253.68073,   8124,7512,   4664,4723,   6378,2014,   185,282,   797,934,   4550,4560,   6543,3125,   1416,2637,   5873,5874,   7060,7071,   5976,7028,   1234,5961,   1529,1471,   8132,8141,   6090,6096,   7565,7754,   4901,6713,   5656,5633,   3812,1467,   4837,4808,   
2,-677.7771,40,0,0,4656063,0,0,547.3094,0,0,23711146,-14618.811225801537,-5149.341251965349,19768.15247450559,-246836.46145633058,-68506.64049497434,997403.5855753969,364.1853,309.60434,   7771,7747,   7621,7751,   4665,4630,   5727,5282,   2129,2000,   4098,4092,   6116,6131,   7282,7270,   7889,8086,   5263,2062,   2845,2754,   4406,4486,   7829,8214,   738,890,   6473,4311,   2148,2162,   542,146,   4412,458,   8173,7421,   3738,3792,   
3,-497.70883,40,0,0,3419182,0,0,744.46545,0,0,19940124,-11657.388657235742,-4595.928505008014,16253.317164014385,-192867.69393875386,-53413.12949992769,783524.3860287708,387.51108,299.22757,   6639,6639,   3778,3765,   7566,7717,   513,3363,   1153,1591,   8033,8268,   4689,3225,   3154,3900,   754,219,   7027,7162,   3535,6418,   7223,7276,   8120,8415,   1445,1461,   2325,2386,   1027,1344,   958,5185,   4242,6766,   7371,7364,   6874,3850,   
4,-504.67056,40,0,0,1522546,0,0,567.7498,0,0,5098598,-8602.100780203982,-3234.4739334713963,11836.574712931715,-157480.78076062136,-49599.17848864212,586165.2953495987,312.0467,208.22041,   5843,5812,   5389,5389,   2768,2740,   8103,8310,   6341,6389,   60,926,   4658,4639,   2155,6364,   4085,4009,   4572,4574,   4131,4133,   4273,4242,   3863,1307,   6594,6582,   6584,2081,   6121,4436,   3178,4139,   901,129,   2231,2233,   5430,5433,   
5,-818.55023,40,0,0,4055536,0,0,596.5154,0,0,14144258,-15275.981876786569,-5337.4360265647965,20613.41791502344,-293365.10538474,-87817.80783860038,1155326.6585666533,358.39597,227.63876,   75,473,   7150,7057,   6405,6401,   8416,7667,   5852,5829,   4323,4314,   4012,5759,   6556,2001,   6737,4910,   6154,6159,   4874,411,   3,409,   1669,4082,   3377,6325,   4528,1272,   5223,6341,   7020,7182,   7749,7567,   5179,997,   5153,2681,   
6,-918.3055,40,0,0,4278269,0,0,712.75507,0,0,16365579,-21987.26032524897,-6084.888334962836,28072.148654387936,-403222.7989954276,-68691.58268554826,1673036.7099375958,439.09442,342.56403,   3413,3429,   7700,7555,   7293,7285,   5028,4938,   6655,4745,   2658,6788,   7922,7928,   213,761,   3290,4739,   1301,2660,   7965,7963,   7872,8085,   8435,8091,   4772,4521,   8172,7783,   5206,5146,   5549,5523,   4397,458,   3721,4856,   4302,4899,   
7,-395.51538,40,0,0,1450742,0,0,858.22186,0,0,4081529.5,-9314.94246545884,-3532.100267258928,12847.042733772509,-159635.87153911678,-49176.76537801009,610706.3970155822,403.61484,231.0228,   2862,5997,   1663,1758,   6973,6982,   7393,7373,   7706,7661,   5984,1949,   1,943,   1426,1449,   3193,3217,   1361,1019,   6427,3541,   4392,278,   2180,2199,   2851,2948,   1657,2528,   1803,1872,   8123,7825,   4088,1692,   6870,3848,   6119,4510,   
8,-569.43945,40,0,0,2697601,0,0,563.3223,0,0,13489864,-11365.243409187178,-4334.674928850135,15699.918338991754,-195283.72959297604,-66630.32357857526,752734.5872098925,342.9403,239.79045,   6921,6917,   5258,5290,   8169,8149,   5433,5440,   3771,3269,   7487,7487,   5717,5328,   912,318,   3292,3304,   3396,3389,   2406,2424,   7743,7576,   420,273,   1502,2647,   2550,1898,   4880,114,   5360,5357,   2928,2950,   3677,4851,   1203,3982,   
9,-650.9308,40,0,0,3277663,0,0,698.4332,0,0,12430614,-12843.213070991831,-4250.541074914791,17093.75414655152,-218085.00132228248,-78009.44982518218,860791.6437013787,335.0356,289.81287,   225,611,   7388,7368,   7353,7642,   7366,7373,   1483,1449,   5424,6167,   7334,7334,   770,339,   4500,4504,   5527,5551,   2514,2539,   4796,437,   4638,4672,   3753,5435,   8396,8197,   7120,6747,   7957,7955,   1088,2372,   5718,5752,   2383,2523,   
