score,depth,netChgRoad,netChgBus,netChgRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,
-137.81929,20,0,0,9426711,0,0,127125520,-12615.361771022213,-3196.688997316957,15812.050766245524,-201482.00709303492,-36599.16791822946,2003747.3603046553,1461.929,233.46902,   2029,6932,   6692,3407,   7826,1908,   945,882,   6470,4994,   5413,1917,   4148,2,   4247,2834,   6762,201,   213,598,   
-2.5136697,20,0,0,9871668,0,0,402678560,-552.6142637725721,-345.0233131015962,897.6375765893251,-8679.516531184074,-10035.365360364814,267484.9832502405,3452.9263,298.47867,   7415,6497,   1711,3047,   1767,7029,   7348,2800,   5486,2361,   3163,5091,   2365,3587,   3038,3166,   8020,3611,   2824,2894,   
-30.051903,20,0,0,24276837,0,0,923830460,-4400.096527010757,-1753.7979016039378,6153.894429007533,-78240.93649357028,-30532.115496807608,2151508.1637854604,2603.5269,330.45743,   8051,6268,   7206,6494,   291,6237,   927,8402,   7401,7732,   7953,7249,   5690,4506,   7721,3968,   5220,3645,   1639,797,   
-11.870724,20,0,0,22928779,0,0,795210560,-1920.1505454609553,-650.6655800974557,2570.816125352519,-32664.28556053303,-6884.713979747528,437875.08705167257,2751.6675,246.88327,   2996,6581,   3831,4109,   1830,322,   7988,560,   5399,1081,   3250,3150,   5812,5754,   982,1146,   7726,3653,   2755,3966,   
-8.665572,20,0,0,23243753,0,0,684820030,-1648.8546942761295,-571.9285164678332,2220.7832108315324,-29552.691051098645,-7343.161442656933,515946.19190509716,3410.3564,275.3746,   6101,7382,   3834,6190,   2844,4349,   7837,6294,   4301,7506,   6381,4375,   1971,2027,   8334,1470,   2436,3097,   4663,8405,   
-56.438255,20,0,0,17821576,0,0,381754080,-6903.383152194875,-5556.370974682442,12459.754146260828,-101558.6623404994,-117934.02055134237,2627413.53663368,1799.465,203.8265,   6685,366,   3002,6320,   4482,4802,   1437,8371,   3524,6575,   4677,1567,   889,6109,   3131,4050,   2746,6077,   1264,5916,   
-18.871319,20,0,0,11419640,0,0,319467330,-3013.7408160333007,-1087.8546152298945,4101.595430420267,-54954.39835080211,-16821.824103247243,1162727.782287421,2912.0593,269.87402,   920,1693,   4694,6329,   3136,7310,   1179,3785,   5856,7947,   7145,4629,   7425,2786,   5716,5735,   4379,5950,   1708,6477,   
-3.7073655,20,0,0,19742896,0,0,756243200,-880.570366450947,-366.3333037710658,1246.9036697999934,-14433.301789690755,-4242.091866890931,521707.0227122492,3893.1423,311.15228,   2912,7901,   2770,6162,   2828,4813,   3486,4297,   7332,4284,   7160,4795,   1832,7182,   7484,4991,   4107,5109,   3183,5607,   
-128.63342,20,0,0,21021061,0,0,876154430,-16770.668745628558,-6474.355663610197,23245.02441900491,-309410.77419428725,-86856.31337593093,4208048.322730571,2405.3684,239.2104,   3623,6087,   2515,4012,   7865,48,   2577,6538,   392,5832,   8107,5231,   4369,3222,   3004,1455,   7359,6968,   3500,6758,   
-78.96227,20,0,0,13383937,0,0,278639800,-8071.9408161162455,-3959.0034477405825,12030.94426197877,-157769.74518212143,-82528.56458065493,2498875.753349865,1998.0396,191.53651,   3824,5317,   4889,1571,   787,2350,   2796,243,   3738,725,   1627,7705,   2766,4536,   2854,5261,   5386,7193,   6733,2780,   
-4.8536873,20,0,0,8411980,0,0,218042540,-724.420655538887,-234.4528480891759,958.8735036928779,-11866.664926979262,-2680.6455473528026,349756.2057137136,2444.8762,229.26205,   2236,5383,   3904,1500,   4613,1928,   425,7045,   4178,6028,   6067,5575,   1609,4861,   1783,6741,   1198,943,   3224,5514,   
-49.153347,20,0,0,6555471,0,0,162421940,-5978.661971613192,-1979.3083320005928,7957.970304484112,-102879.18133619531,-31327.98910133468,879735.5444406128,2093.025,262.05612,   5688,2334,   2799,8103,   4204,401,   2464,8268,   368,6179,   4505,165,   235,720,   4521,6876,   1412,3389,   5394,7294,   
-3.827852,20,0,0,16960570,0,0,430515780,-500.21781143184,-327.71998317312364,827.9377945956154,-7946.411555377614,-6030.556209772724,224941.99909983782,2075.9453,222.44046,   1924,4186,   4500,6145,   3093,4488,   6096,6340,   2753,4549,   4062,4442,   3968,1218,   5528,8337,   2583,4237,   5731,4211,   
-62.36189,20,0,0,14851281,0,0,653511230,-9394.141920288948,-3766.407407302533,13160.549328509158,-180290.2702714383,-70005.03476090434,1767222.128497648,2891.0327,238.76321,   7900,593,   6677,6435,   1523,5901,   5340,889,   340,3342,   5328,6245,   3985,4366,   3590,1501,   6269,5090,   5009,8152,   
-32.859356,20,0,0,18504177,0,0,584861950,-6794.333389708832,-1753.2436240989894,8547.577014522432,-103738.86475776187,-16660.905183906718,2651898.721210749,3157.0571,274.58588,   2741,4559,   5514,4254,   2116,62,   4632,7452,   3627,4620,   4292,5611,   6093,1183,   7830,1331,   5945,6501,   4621,5627,   
-2.5810854,20,0,0,30539020,0,0,988431740,-511.101996428928,-206.98604961618304,718.0880462029559,-8822.744759445997,-2563.395544554655,316014.06673172733,3418.2305,275.2245,   7583,5207,   6000,7847,   7657,6253,   457,8038,   6063,4027,   2068,5929,   7663,6015,   1469,3340,   3514,2423,   4318,1460,   
-21.601727,20,0,0,15023791,0,0,706533500,-3110.414220330235,-1689.3305376008977,4799.74476145351,-52173.36233399638,-26454.296242891523,1485423.698800137,2415.2405,307.5775,   1269,6323,   5697,4155,   7485,8152,   151,2801,   4971,2259,   3992,8204,   468,7817,   568,5970,   6994,6103,   5033,4298,   
-22.592712,20,0,0,13667970,0,0,489821340,-4891.4352242934565,-1884.3550375342634,6775.79026285787,-79495.91361482553,-20922.67206855808,985930.6872020497,3518.6528,351.02182,   8041,5030,   1388,8036,   2552,6799,   6383,77,   8149,4490,   6252,3522,   2183,3161,   4358,1260,   7945,1844,   361,7940,   
-14.206905,20,0,0,9348995,0,0,261665520,-1872.789599001969,-680.4922282147123,2553.2818275328164,-35226.31780796605,-10806.050027306132,815005.6438431474,2479.5208,233.6778,   6101,6091,   3066,3804,   34,2299,   5460,8282,   5447,3935,   4781,5847,   5825,19,   1855,4674,   4934,6096,   1603,685,   
-47.95092,20,0,0,23913899,0,0,687796500,-6416.632578014629,-3261.8758975741052,9678.508473590553,-107031.00546356133,-65184.46729773045,1360994.3180865226,2232.095,215.64651,   1768,74,   3088,481,   4442,469,   6020,5743,   3458,7743,   6460,5149,   5741,5528,   6633,1950,   1963,6020,   8001,252,   
-8.56688,20,0,0,28229741,0,0,1.0810456E+09,-1897.786693655854,-911.7348878976994,2809.521581831567,-26389.27697893561,-12133.545086807842,678907.2156417891,3080.3835,311.6801,   1339,6537,   3066,4214,   8144,405,   6132,2163,   1306,8120,   4761,1849,   241,8112,   6171,6027,   3003,2585,   7797,8000,   
-13.996031,20,0,0,11955499,0,0,442465760,-2672.446980480723,-958.9523975191381,3631.3993806674507,-46909.15152469301,-17864.168878434535,473058.49736199045,3351.604,314.82562,   4715,8153,   4823,6139,   5910,8068,   105,297,   1822,8340,   2711,7350,   6530,1351,   7782,3667,   5444,7309,   773,4037,   
