score,depth,netChgRoad,netChgBus,netChgRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,gameState20,gameState21,gameState22,gameState23,gameState24,gameState25,gameState26,gameState27,gameState28,gameState29,gameState30,gameState31,gameState32,gameState33,gameState34,gameState35,gameState36,gameState37,gameState38,gameState39
-34.3454,40,0,0,36943420,0,0,910496450,-9264.745657485022,-3220.456398083803,12485.202053554778,-157119.78887768893,-40600.88334921468,3553974.8491678163,4574.6963,242.37352,   7855,4305,   1609,2227,   6367,4757,   6942,7385,   976,7613,   8303,1461,   1475,479,   1211,2327,   1196,3859,   6095,3442,   7497,1037,   5380,7277,   3417,1261,   3627,6567,   7461,2392,   6202,5275,   616,1672,   386,6687,   7144,1760,   4454,2045,   
-33.92693,40,0,0,35155719,0,0,1.0280954E+09,-11656.540297331549,-4173.530043080389,15830.070339614136,-196171.59549899749,-55152.349318463,4403883.510107376,5782.1797,271.02722,   2912,1748,   317,7963,   7815,3853,   1637,1444,   2858,112,   4684,5763,   1633,7135,   678,6817,   7360,2767,   7246,5105,   1130,375,   8359,7020,   1410,3027,   845,8238,   93,2960,   3619,7871,   7840,4050,   529,5749,   720,5853,   7897,8000,   
-26.110447,40,0,0,35032798,0,0,839788030,-7805.847232103777,-3158.979317497244,10964.826551192195,-138032.95833239268,-52765.31205342076,2627554.687926012,5286.503,238.49942,   8059,2182,   3708,7349,   6143,439,   3642,1917,   993,2004,   7762,4376,   2949,7785,   914,2537,   1824,1732,   6552,4788,   3008,1834,   1351,8334,   4929,5249,   6358,6019,   6605,3365,   6097,1507,   3306,7682,   5482,7384,   5103,1010,   876,971,   
-18.106348,40,0,0,25721222,0,0,746235970,-5518.783268993257,-1935.3035190253374,7454.08678747747,-94215.24133211988,-29782.956069053722,2297445.17037563,5203.437,266.06305,   7821,7363,   7245,6524,   3633,7678,   4921,55,   3135,6428,   3924,7423,   7736,3109,   4992,6224,   830,3809,   2419,894,   2516,6058,   3748,6063,   4343,6255,   1070,3703,   2303,1966,   5870,814,   856,5580,   5402,4080,   3025,3263,   4701,5686,   
-115.95437,40,0,0,32132928,0,0,656406200,-23946.024121995746,-8242.81910491482,32188.84322599429,-419419.1111763854,-114153.13812751247,7276317.475364164,3617.105,210.61258,   327,6303,   2883,176,   7877,7109,   2207,196,   2690,7693,   6554,1293,   7026,8417,   6891,1762,   3615,1181,   2180,5814,   6608,1218,   6188,1169,   558,3110,   6566,2155,   6142,911,   3199,6003,   7544,5169,   567,4649,   3175,3571,   6622,5669,   
-55.612892,40,0,0,38519466,0,0,1.079071E+09,-15748.72313154834,-4841.94942270816,20590.67255758777,-249598.5283056142,-49542.35609161711,3869866.0457330546,4488.1416,241.18724,   4048,873,   1012,3045,   3847,4576,   2223,875,   7125,3640,   465,1843,   1082,7322,   7514,7544,   114,1713,   8054,4767,   542,51,   2489,1779,   4494,551,   2185,1857,   7849,2242,   7023,43,   2995,4946,   1766,5734,   205,3142,   5757,4417,   
-16.848574,40,0,0,23102999,0,0,492730700,-4954.649842903783,-1691.0253698965798,6645.675212132763,-95725.71156571267,-22831.796598484725,1726088.066729175,5681.532,257.9758,   886,5691,   3466,2502,   446,1355,   4920,221,   6090,1458,   4534,1461,   1461,4883,   3953,1855,   5127,3996,   6819,7669,   6987,3296,   2391,366,   5053,421,   7283,4571,   5556,1780,   7339,5408,   4391,3636,   3880,3286,   5021,8423,   1333,3138,   
-42.226475,40,0,0,36542406,0,0,994815800,-15419.049675815,-5451.376425675286,20870.42610054369,-251005.09504076935,-91270.69423441865,5128691.051923344,5944.259,287.94125,   4066,1963,   4202,6391,   6143,5561,   4526,1140,   8255,6205,   7350,971,   4591,2461,   2025,520,   4230,7019,   5885,24,   2507,348,   3101,4310,   2555,7562,   5506,316,   6410,1840,   7411,6832,   6336,3848,   7666,428,   4599,3506,   7175,7927,   
-23.736637,40,0,0,25201061,0,0,975768400,-6651.9793539751245,-2174.7928963883533,8826.772248297542,-121021.69625826318,-31184.847321441186,1799465.8765487203,5098.519,264.19092,   4331,6143,   4752,7786,   2866,6367,   817,1930,   1611,3359,   7492,6438,   2538,1308,   630,3717,   7298,8328,   3835,7017,   55,4209,   3165,6415,   7230,518,   3071,742,   3230,1597,   4357,723,   8279,6393,   4129,4800,   4032,3750,   1444,4623,   
-37.974194,40,0,0,28723012,0,0,973049400,-10117.152178219822,-4257.993768463394,14375.145941282482,-167100.35551902704,-83758.39128541862,2872837.2183157853,4400.366,250.84523,   6744,3575,   7141,3050,   2783,973,   4293,5027,   3218,3948,   1566,4706,   8106,157,   7872,121,   2977,6772,   556,2348,   3296,74,   7135,13,   7438,6768,   6594,4580,   5615,4265,   8120,3547,   6884,7648,   272,4915,   5504,114,   3631,6257,   
-14.326693,40,0,0,26063156,0,0,1.1516265E+09,-5070.17669937447,-2090.054366530542,7160.23106291367,-77997.57563502892,-22356.9044893218,1223909.1359852545,5444.214,289.96143,   4660,6479,   5959,7718,   30,8086,   1053,8122,   6956,4007,   1823,5695,   3194,7532,   1327,6669,   4876,7127,   4048,4451,   2814,8149,   7848,7388,   4263,6454,   6258,457,   8320,2957,   3052,2862,   3141,2734,   6123,5253,   2551,7853,   8418,7788,   
